1932	Zemřelé ženy podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
												
	CELKEM ZEMŘELÝCH ŽEN	70654	9420	2198	2096	3009	3838	4010	5446	9109	31524	4
												
I	Nemoci nakažlivé a cizopasné	10045	683	873	1204	1552	1666	1105	928	926	1108	-
1	Tyf břišní	194	1	4	24	46	39	22	33	18	7	-
2	Paratyfy	6	-	-	-	1	1	1	2	-	1	-
3	Tyf skvrnitý	-	-	-	-	-	-	-	-	-	-	-
5	Horečka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalničky	150	67	69	13	1	-	-	-	-	-	-
8	Spála	178	7	68	94	5	1	2	-	-	1	-
9	Kašel zádušný	248	164	79	3	-	1	-	-	-	1	-
10	Záškrt	1058	28	307	695	6	7	5	8	-	2	-
11a	Chřipka neboli influenza s komplikacemi dýchadel	249	33	10	7	9	13	15	18	40	104	-
11b	Chřipka neboli influenza bez údaje takových komplikací	185	24	8	8	8	8	8	12	17	92	-
13a	Úplavice střevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice střevní bacilární	1	-	-	-	-	-	-	-	1	-	-
13c	Úplavice střevní nerozlišená nebo z jiné příčiny	3	-	1	-	-	-	-	-	-	2	-
15	Růže	235	65	7	3	5	6	13	30	27	79	-
16	Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové	16	1	2	7	1	4	1	-	-	-	-
17	Zánět mozku lethargický neboli epidemický	39	1	-	1	8	8	7	7	4	3	-
18	Epidemický zánět plen mozkových a míšních	19	4	5	4	3	1	2	-	-	-	-
19	Ozhřivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	2	-	-	-	-	1	1	-	-	-	-
21	Vzteklina	-	-	-	-	-	-	-	-	-	-	-
22	Ztrnutí	86	22	3	9	7	6	9	12	9	9	-
23(4)	Tuberkulosa ústrojí dýchacího	5972	74	89	167	1337	1430	901	689	685	600	-
24	Tuberkulosa plen a ústřední soustavy čivové	410	56	171	117	27	23	7	4	2	3	-
25	Tuberkulosa střev a pobřišnice	148	3	10	15	23	23	22	21	16	15	-
26	Tuberkulosa páteře	92	2	2	3	4	10	2	14	24	31	-
27	Tuberkulosa kostí a kloubů	198	5	4	7	8	11	8	20	34	101	-
28	Tuberkulosa kůže a podkožního tuku	25	-	-	-	4	1	1	4	5	10	-
29	Tuberkulosa soustavy mízní	19	5	2	1	1	-	1	3	1	5	-
30	Tuberkulosa ústrojí pohlavního a močového	23	-	-	1	5	9	5	1	2	-	-
31	Tuberkulosa jiných míst	9	-	-	-	2	-	2	-	3	2	-
32	Tuberkulosa roztroušená	90	9	14	12	19	14	8	7	4	3	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Příjice vrozená	40	34	2	1	3	-	-	-	-	-	-
34b	Příjice získaná	22	-	-	1	-	2	8	6	4	1	-
34c	Příjice nerozlišená	66	-	-	-	2	9	25	15	8	7	-
35	Kapavka a jiné nemoci pohlavní	3	2	-	-	-	-	1	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	232	67	13	9	14	34	26	21	21	27	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	13	4	1	2	1	1	1	1	-	2	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová	2	1	1	-	-	-	-	-	-	-	-
38a	Zimnice malarická	1	-	-	-	-	1	-	-	-	-	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zaviněné cizopasnými prvoky	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel měchožilová jater	-	-	-	-	-	-	-	-	-	-	-
41b	Boubel měchožilová jiných míst	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zaviněné červy	1	-	-	-	-	-	1	-	-	-	-
43	Mykosy	4	-	-	-	2	1	-	-	1	-	-
44	Jiné nemoci nakažlivé nebo cizopasníky působené	6	4	1	-	-	1	-	-	-	-	-
												
II	Rakoviny a jiné nádory	8247	5	11	28	67	219	665	1352	2172	3727	1
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	69	-	-	1	-	5	4	10	22	27	-
												
46a	Rakovina a jiné zhoubné nádory: požeráku	160	-	-	-	1	3	3	17	42	94	-
46b	Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku	2944	-	-	-	3	28	101	354	798	1660	-
46c	Rakovina a jiné zhoubné nádory: konečníku	275	-	-	-	1	9	15	35	67	148	-
46d	Rakovina a jiné zhoubné nádory: jater a žlučovodů	769	-	-	-	-	4	36	82	227	420	-
46	Rakovina a jiné zhoubné nádory: slinivky břišní	57	-	-	-	1	-	7	13	23	13	-
46f	Rakovina a jiné zhoubné nádory: pobřišnice	112	-	-	2	1	2	10	21	36	40	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice	464	-	-	1	3	9	27	57	125	242	-
47	Rakovina a jiné zhoubné nádory: ústrojí dýchacího	134	-	-	-	2	8	12	20	40	52	-
48	Rakovina a jiné zhoubné nádory: dělohy	1346	-	-	1	2	64	210	372	362	334	1
49	Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských	270	-	-	-	5	16	45	75	60	69	-
50	Rakovina a jiné zhoubné nádory: prsů	555	-	1	-	-	11	67	140	155	181	-
51	Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: kůže	216	-	-	-	4	3	6	14	32	157	-
53	Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených	485	-	3	7	21	20	46	71	123	194	-
												
54a	Nádory nezhoubné: pohlavních ústrojů ženských	85	-	-	-	-	5	32	33	8	7	-
54b	Nádory nezhoubné: jiných ústrojů	10	-	1	-	1	2	-	3	2	1	-
												
55a	Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských	41	-	-	1	1	2	9	4	7	17	-
55b	Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů	255	5	6	15	21	28	35	31	43	71	-
												
III	Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové	1241	80	41	44	47	54	77	153	275	470	-
56	Rheumatismus kloubní prudký, horečnatý	68	-	1	20	16	7	8	6	7	3	-
57	Rheumatismus vleklý, osteoarthritis	178	-	1	2	3	5	7	12	33	115	-
58	Dna	26	-	-	-	-	-	-	5	3	18	-
59	Úplavice cukrová	664	-	5	17	15	18	28	83	195	303	-
	Kurděje	-	-	-	-	-	-	-	-	-	-	-
60a	Dětské kurděje	1	-	1	-	-	-	-	-	-	-	-
60b	Kurděje	2	-	-	-	-	-	-	1	1	-	-
62	Pellagra	-	-	-	-	-	-	-	-	-	-	-
63	Křivice	68	33	28	1	-	2	2	1	1	-	-
64	Měknutí kostí	5	2	-	-	-	-	-	1	-	2	-
65	Nemoci podvěsku mozkového	1	-	-	-	-	-	-	-	-	1	-
												
66a	Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté	34	1	-	2	-	2	6	4	7	12	-
66b	Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické	104	-	-	-	10	14	20	29	21	10	-
66c	Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus	6	1	-	-	1	1	1	2	-	-	-
66d	Nemoci žlázy štítné a přídavných žlázek štítných: tetanie	29	27	1	-	-	1	-	-	-	-	-
66	Nemoci žlázy štítné a přídavných žlázek štítných: jiné	4	1	-	-	1	-	1	1	-	-	-
67	Nemoci brzlíku	19	15	2	2	-	-	-	-	-	-	-
68	Nemoci nadledvinek (nemoc Addisonova), neoznačené za tuberkulosní 	12	-	1	-	-	3	2	3	1	2	-
69	Jiné nemoci rheumatické, výživové, endokrinních žláz	20	-	1	-	1	1	2	5	6	4	-
												
IV 	Nemoci krve a ústrojů krvetvorných	350	17	21	12	17	44	46	69	77	47	-
												
70a	Stavy krvácivé: purpury prvotní	10	2	1	-	1	3	1	1	1	-	-
70b	Stavy krvácivé: vrozená krvácivost	8	4	1	1	-	1	1	-	-	-	-
71a	Postupná zhoubná chudokrevnost	145	1	4	2	3	13	17	34	46	25	-
71b	Jiné chudokrevnosti	22	6	1	2	1	2	2	1	1	6	-
72a	Bělokrevnost pravá	114	3	11	7	9	14	19	26	18	7	-
72b	Bělokrevnost nepravá	33	-	2	-	2	10	5	3	6	5	-
73	Nemoci sleziny	16	1	1	-	1	-	1	4	4	4	-
74	Jiné nemoci krve a ústrojů krvetvorných	2	-	-	-	-	1	-	-	1	-	-
												
V	Otravy vleklé a prudké	17	-	-	-	1	1	2	3	5	5	-
75	Alkoholismus vleklý nebo prudký	15	-	-	-	-	-	2	3	5	5	-
												
76a	Vleklé otravy látkami anorganickými: živnostenské	-	-	-	-	-	-	-	-	-	-	-
76b	Vleklé otravy látkami anorganickými: jiné	1	-	-	-	1	-	-	-	-	-	-
