1959	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1955)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš-tìno
																	
VN	Úrazy a otravy podle vnìjší pøíèiny	2262	70	33	18	22	12	74	110	126	165	285	305	340	516	186	-
																	
D1	Úrazy na železnicích	45	-	1	-	1	-	-	4	6	2	13	6	6	6	-	-
E800	Úraz na železnicích postihující železnièní zamìstnance	6	-	-	-	-	-	-	1	2	-	3	-	-	-	-	-
E801	Úraz na železnicích postihující cestující	3	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-
E802	Úraz na železnicích postihující jiné osoby	36	-	1	-	1	-	-	3	4	2	9	5	6	5	-	-
																	
D2	Dopravní úrazy motorovými vozidly	189	1	2	5	4	4	17	26	16	17	20	22	22	29	4	-
E810	Dopravní úraz   pøi srážce s vlakem	3	-	-	-	-	-	-	-	-	1	1	1	-	-	-	-
E811	Dopravní úraz   pøi srážce s poulièní drahou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E812	Dopravní úraz   zpùsobený chodcùm	116	1	2	5	4	3	15	8	2	3	12	13	18	26	4	-
E813	Dopravní úraz   zpùsobený cyklistùm	4	-	-	-	-	-	-	-	-	1	1	2	-	-	-	-
E814	Dopravní úraz  motocyklem pøi srážce s vozidlem nemotorovým a jinými pøedmìty	2	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-
E815	Dopravní úraz motocyklem pøi srážce s motorovým vozidlem 	6	-	-	-	-	-	-	4	-	2	-	-	-	-	-	-
E816	Dopravní úraz pøi srážce  motorových vozidel 	2	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-
E817	Dopravní úraz  posádky motorového vozidla pøi srážce s chodcem, cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E818	Dopravní úraz   pøi srážce se zvíøaty nebo vozy taženými zvíøaty	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E819	Dopravní úraz   pøi srážce s pøedmìty pevnými nebo blíže neurèenými	3	-	-	-	-	-	-	2	-	-	1	-	-	-	-	-
E820	Dopravní úraz  pøi nastupování nebo vystupování	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E821	Dopravní úraz  øidièe motocyklu, nejde-li o srážku	8	-	-	-	-	-	-	2	3	3	-	-	-	-	-	-
E822	Dopravní úraz   pøi pøevrhnutí na silnici	2	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-
E823	Dopravní úraz   pøi vyboèení ze silnice	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E824	Jiný dopravní úraz   bez srážky	2	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-
E825	Dopravní úraz   neurèené povahy	38	-	-	-	-	1	2	5	9	6	3	5	4	3	-	-
																	
D3	Nedopravní úrazy motorovými vozidly 	14	-	-	-	-	-	1	3	1	1	5	1	1	-	1	-
E830	Nedopravní úraz   zpùsobený chodcùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E831	Nedopravní úraz   zpùsobený cyklistùm	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E832	Nedopravní úraz   zpùsobený posádce motocyklu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E833	Nedopravní úraz, jde-li o nìkolik motorových vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz    pøi nastupování a vystupování	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-
E835	Nedopravní úraz    jiné nebo neurèené povahy	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E836	Úraz zpùsobený traktorem	11	-	-	-	-	-	1	3	1	1	4	-	1	-	-	-
																	
D4	Úrazy jinými silnièními vozidly	16	-	-	-	1	-	-	-	-	1	4	6	1	3	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	8	-	-	-	1	-	-	-	-	-	1	3	1	2	-	-
E841	Jiný úraz poulièní drahou , mimo srážku s motorovým vozidlem 	4	-	-	-	-	-	-	-	-	-	1	2	-	1	-	-
E842	Úraz zpùsobený chodcùm cyklisty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E843	Úraz zpùsobený cyklistùm, vyjma srážku  s motorovým  vozidlem 	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-
E844	Úraz chodcù nemotorovými silnièními vozidly 	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E845	Jiný úraz nemotorovými silnièními vozidly 	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
																	
D5	Úrazy pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících potopením na malých èlunech 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní úrazy pøi vodní dopravì zpùsobené potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodù nebo žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovinì pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznaèený pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný neoznaèený úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz pøi vodní dopravì neurèené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D6	Letecké úrazy 	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E860	Úraz zpùsobený posádce vojenského letadla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E861	Poranìní cestujících pøi nehodách dopravních letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E862	Jiné poranìní v dopravních letadlech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E863	Poranìní cestujících pøi nehodách jiných letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E864	Letecký úraz zpùsobený na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E865	Letecký úraz mimo letadlo jinde než na letišti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E866	Jiný a blíže neoznaèený letecký úraz	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
																	
	Náhodné otravy látkami pevnými a tekutinami	34	-	3	-	2	1	3	-	2	8	4	5	4	2	-	-
E870	Náhodná otrava morfiem a jinými deriváty opia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E871	Náhodná otrava kyselinou barbiturovou a jejími deriváty	4	-	-	-	-	-	-	-	-	2	-	2	-	-	-	-
E872	Náhodná otrava aspirinem a salicyláty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E873	Náhodná otrava bromidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E874	Náhodná otrava jinými analgetiky a uspávacími prostøedky	3	-	-	-	-	-	-	-	-	2	-	-	1	-	-	-
E875	Náhodná otrava sulfonamidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E876	Náhodná otrava strychninem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E877	Náhodná otrava belladonou, skopolaminem a atropinem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E878	Náhodná otrava jinými a neurèenými léèivy	3	-	-	-	1	-	1	-	-	1	-	-	-	-	-	-
E879	Náhodná otrava škodlivými potravinami	7	-	-	-	-	1	-	-	1	1	1	2	1	-	-	-
E880	Náhodná otrava alkoholem	3	-	-	-	-	-	-	-	-	2	-	-	1	-	-	-
E881	Náhodná otrava naftovými produkty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E882	Náhodná otrava prùmyslovými rozpustidly	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-
E883	Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami	2	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-
E884	Náhodná otrava rtutí a jejími slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E885	Náhodná otrava olovem a jeho slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E886	Náhodná otrava arsenem a antimonem a jejich slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E887	Náhodná otrava fluoridy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E888	Náhodná otrava jinými a neurèenými látkami pevnými a tekutými	11	-	2	-	1	-	2	-	1	-	2	1	1	1	-	-
																	
	Náhodné otravy plynem a parami	109	-	3	1	2	-	4	8	6	7	9	15	22	30	2	-
E890	Náhodná otrava svítiplynem	68	-	-	-	2	-	1	6	5	3	6	10	17	16	2	-
E891	Náhodná otrava výfukovým plynem motorových vozidel	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E892	Náhodná otrava jiným kyslièníkem uhelnatým	40	-	3	1	-	-	3	2	-	4	3	5	5	14	-	-
E893	Náhodná otrava kyanovodíkem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E894	Náhodná otrava jinými urèenými plyny nebo parami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E895	Náhodná otrava neurèenými plyny nebo parami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Náhodné pády	709	2	3	3	1	2	5	2	4	4	19	43	144	318	159	-
E900	Pád na schodech 	29	-	-	-	-	-	1	1	-	-	2	3	5	15	2	-
E901	Pád se žebøíku 	8	-	-	-	-	-	-	-	-	1	1	-	4	2	-	-
E902	Jiný pád do hloubky	76	2	3	3	1	1	2	1	3	2	9	13	16	11	9	-
E903	Pád na rovinì	215	-	-	-	-	1	1	-	-	-	2	9	41	109	52	-
E904	Neurèený pád 	381	-	-	-	-	-	1	-	1	1	5	18	78	181	96	-
																	
	Jiné náhodné úrazy	353	61	21	9	11	5	30	12	22	18	35	33	31	54	11	-
E910	Náhodný úraz zpùsobený padajícími pøedmìty	10	-	-	-	-	-	5	-	1	1	2	1	-	-	-	-
E911	Náhodný úraz zpùsobený vozidly	8	-	-	1	-	-	1	-	-	1	1	2	1	1	-	-
E912	Náhodný úraz zpùsobený stroji a nástroji	10	-	-	-	-	-	1	-	2	2	2	2	1	-	-	-
E913	Náhodný úraz zpùsobený øeznými a bodnými nástroji	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E914	Náhodný úraz zpùsobený elektrickým proudem	15	-	-	-	-	-	1	1	3	3	4	2	-	1	-	-
E915	Náhodný úraz zpùsobený výbuchem parního kotle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E916	Náhodný úraz zpùsobený ohnìm a výbuchem hoølavých látek	63	1	-	-	1	1	3	2	3	3	8	5	9	23	4	-
E917	Náhodný úraz zpùsobený vøelou substancí, leptavou tekutinou nebo parou	15	-	1	1	-	-	1	-	-	1	-	1	2	6	2	-
E918	Náhodný úraz zpùsobený záøením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E919	Náhodný úraz zpùsobený støelnou zbraní	2	-	-	-	-	1	-	-	1	-	-	-	-	-	-	-
E920	Cizí tìleso vniklé do oka a jeho adnexù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E921	Dušení potravou v hrtanu nebo jiných cestách dýchacích 	72	52	3	-	2	-	1	-	2	-	1	3	3	4	1	-
E922	Dušení jinými pøedmìty v hrtanu nebo jiných cestách dýchacích 	3	-	-	1	-	-	1	-	-	-	-	-	-	1	-	-
E923	Cizí tìleso vniklé do jiných otvorù tìla	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E924	Náhodné mechanické udušení v posteli a koèárku	5	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-
E925	Náhodné mechanické udušení za jiných nebo neoznaèených okolností	3	-	1	1	-	-	-	1	-	-	-	-	-	-	-	-
E926	Nedostatek péèe o dìti ve vìku do jednoho roku	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E927	Úraz kousnutím nebo uštknutím  živoèichy a hmyzem	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E928	Jiný náhodný úraz zpùsobený zvíøaty	4	-	-	-	-	-	-	-	1	1	-	1	1	-	-	-
E929	Náhodné tonutí	74	3	14	5	8	3	12	4	7	2	5	5	1	3	2	-
E930	Vysoký a  nízký tlak vzduchu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E931	Nadmìrné horko, úžeh a úpal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E932	Nadmìrný chlad	4	-	-	-	-	-	-	-	1	-	1	-	-	2	-	-
E933	Hlad, žízeò a  jiné strádání 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E934	Pøírodní katastrofa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E935	Blesk	11	-	-	-	-	-	-	3	1	2	3	2	-	-	-	-
E936	Jiný a neurèený náhodný úraz	50	1	-	-	-	-	3	1	-	2	7	9	12	13	2	-
E937	Úraz v dolech, v lomech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Komplikace zpùsobené neléèebnými lékaøskými zákroky	2	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-
E940	Generalisovaná vakcína po vakcinaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E941	Zánìt mozku povakcinaèní	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E942	Jiné komplikace oèkování proti neštovicím	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E943	Hepatitis po profylaktické injekci a podobné imunisaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E944	Jiné komplikace profylaktického oèkování 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E945	Komplikace pøi anestesii u neléèebných zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E946	Jiné komplikace neléèebných lékaøských zákrokù	2	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-
																	
	Léèebné  nehody a pozdní komplikace léèebných zákrokù	2	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-
E950	Léèebná nehoda pøi chirurgickém ošetøení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E951	Léèebná nehoda pøi infusi nebo transfusi	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E952	Léèebná nehoda pøi místní aplikaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E953	Léèebná nehoda pøi užívání léèiv a biologických látek	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E954	Léèebná nehoda pøi anestesii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E955	Jiná nebo blíže neurèená léèebná nehoda 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E956	Pozdní komplikace chirurgických operací	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E957	Pozdní komplikace amputaèních pahýlù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E958	Pozdní komplikace po ozaøování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E959	Pozdní komplikace jiných druhù léèení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Pozdní následky úrazù a otrav  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E960	Pozdní následek náhodných úrazù motorovými vozidly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E961	Pozdní následek náhodných otrav	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E962	Pozdní následek jiných náhodných úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E963	Pozdní následek sebepoškození	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E964	Pozdní následek úrazù zpùsobených úmyslnì jinou osobou 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E965	Pozdní následek úrazù vzniklých váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
SE	Sebevraždy a sebepoškození	745	-	-	-	-	-	6	46	61	100	172	171	107	73	9	-
E970	Sebevražda a sebepoškození analgetiky a uspávacími prostøedky	23	-	-	-	-	-	-	2	3	2	7	5	3	1	-	-
E971	Sebevražda a sebepoškození jinými pevnými látkami a tekutinami	39	-	-	-	-	-	-	3	5	8	8	5	6	4	-	-
E972	Sebevražda a sebepoškození plyny v domácím používání	165	-	-	-	-	-	5	18	15	30	36	27	18	15	1	-
E973	Sebevražda a sebepoškození jinými plyny	2	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-
E974	Sebevražda a sebepoškození vìšením a škrcením	359	-	-	-	-	-	-	6	22	44	87	99	57	38	6	-
E975	Sebevražda a sebepoškození  tonutím (utonutím)	71	-	-	-	-	-	-	3	6	6	15	16	14	9	2	-
E976	Sebevražda a sebepoškození  zbranìmi a výbušninami	3	-	-	-	-	-	-	-	1	-	1	1	-	-	-	-
E977	Sebevražda a sebepoškození  nástroji øeznými a bodnými	6	-	-	-	-	-	-	1	-	-	1	3	1	-	-	-
E978	Sebevražda a sebepoškození  skokem s výše	38	-	-	-	-	-	1	4	3	5	9	8	5	3	-	-
E979	Sebevražda a sebepoškození  jinými prostøedky 	6	-	-	-	-	-	-	1	1	1	-	-	1	2	-	-
E97a	Sebevražda vlakem	33	-	-	-	-	-	-	8	4	4	7	7	2	1	-	-
																	
NA	Usmrcení a poranìní zpùsobená úmyslnì jinou osobou (ne ve válce)	43	6	-	-	-	-	8	7	8	7	2	2	2	1	-	-
E980	Úmyslné otrávení	4	-	-	-	-	-	3	-	1	-	-	-	-	-	-	-
E981	Napadení  støelnou zbraní a výbušninou	7	-	-	-	-	-	-	3	1	2	1	-	-	-	-	-
E982	Napadení  nástroji øeznými a bodnými	13	-	-	-	-	-	3	1	3	3	-	1	1	1	-	-
E983	Napadení  jinými prostøedky	19	6	-	-	-	-	2	3	3	2	1	1	1	-	-	-
E984	Zranìní zpùsobená zákrokem policie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E985	Poprava	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Poranìní vzniklá váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
