1954	Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
																	
VN	Úrazy a otravy podle vnější příčiny	4767	155	55	52	49	27	198	619	677	595	804	571	492	387	86	-
																	
D1	Úrazy na železnicích	182	-	1	1	-	-	2	20	27	39	51	23	9	8	1	-
E800	Úrazy na železnicích postihující železniční zaměstnance	95	-	-	-	-	-	-	7	13	29	31	11	2	2	-	-
E801	Úrazy na železnicích postihující cestující	17	-	-	-	-	-	-	6	1	3	4	3	-	-	-	-
E802	Úrazy na železnicích postihující jiné a blíže neoznačené osoby	70	-	1	1	-	-	2	7	13	7	16	9	7	6	1	-
																	
D2	Dopravní úrazy motorovými vozidly	503	1	2	5	9	5	26	127	109	78	66	32	23	15	5	-
E810	Dopravní úraz motorovými vozidly při srážce s vlakem	8	-	-	-	-	-	-	1	3	2	2	-	-	-	-	-
E811	Dopravní úraz motorovými vozidly při srážce s pouliční drahou	2	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-
E812	Dopravní úraz motorovými vozidly způsobený chodcům	123	1	1	4	6	5	21	8	3	12	17	16	16	11	2	-
E813	Dopravní úraz motorovými vozidly způsobený cyklistům	10	-	-	-	-	-	1	2	-	-	3	3	-	-	1	-
E814	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem	11	-	-	-	-	-	-	4	1	3	3	-	-	-	-	-
E815	Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem 	34	-	-	-	-	-	-	7	13	9	5	-	-	-	-	-
E816	Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel	12	-	-	-	-	-	-	2	3	4	1	-	2	-	-	-
E817	Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E818	Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
