1978,Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,,,,,,,,
MKN (1966),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,,,,
VN,"Úrazy, otravy a násilí (vnější příčina)",3870,80,24,15,14,17,39,30,72,88,78,83,65,67,96,117,119,128,292,464,682,687,613
,,,,,,,,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,44,-,-,-,-,-,-,1,4,1,3,5,2,1,1,2,3,1,6,7,3,3,1
E800,Srážka se železničními vozidly v pohybu,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E801,Náraz na nepohyblivý předmět,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E802,Vykolejení bez předchozí srážky ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E803,"Výbuch, oheň, popálení",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E804,Pád ve vlaku nebo z vlaku,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-
E805,Zachycení železničním vozidlem v pohybu,36,-,-,-,-,-,-,1,4,1,3,4,1,1,1,1,3,1,6,4,3,1,1
E806,Jiný blíže popsaný úraz  na železnici,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E807,Úraz na železnici NS,3,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,494,2,2,4,3,7,24,17,26,31,18,15,19,19,19,31,20,19,51,54,61,39,13
E810,Srážka motorového vozidla s vlakem,7,-,-,-,-,-,-,1,1,1,-,2,-,-,1,-,-,-,-,-,-,-,1
E811,Srážka motorového vozidla s vozem pouliční dráhy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E812,Jiná srážka motorového vozidla s jiným motorovým vozidel,74,1,-,-,-,3,-,1,7,9,2,5,6,6,3,9,2,4,4,2,6,3,1
E813,Srážka motorového vozidla s jiným vozidlem,8,-,-,-,-,-,-,1,-,-,-,-,1,1,-,1,1,-,2,-,-,1,-
E814,Srážka motorového vozidla s chodcem,221,-,2,3,2,2,17,9,4,6,3,3,4,2,3,12,12,7,30,33,37,20,10
E815,Náraz motorového vozidla na nepohyblivý předmět ,9,-,-,-,-,-,-,-,1,-,1,1,1,2,-,1,1,-,-,-,1,-,-
E816,Úraz beze srážky následkem ztráty vlády nad vozidlem,11,-,-,-,-,-,-,-,3,1,-,-,-,1,1,1,-,-,1,1,1,1,-
E817,Úraz motorovým vozidlem při nastupování nebo vystupování,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-
E818,Jiný úraz motorovým vozidlem beze srážky,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E819,Úraz motorovým vozidlem NS,160,1,-,1,1,2,7,5,10,13,12,4,7,7,11,7,4,8,13,17,16,13,1
,,,,,,,,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly mimo dopravu,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
E820,Srážka s pohybujícím se předmětem mimo dopravu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E821,Náraz na nepohyblivý předmět mimo dopravu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E822,Úraz při nastupování nebo vystupování mimo dopravu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E823,Jiný nebo NS úraz mimo dopravu,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D4,Jiné úrazy silničními vozidly,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,4,3,1,2
E825,"Úraz pouliční drahou, mimo srážku s motorovým vozidlem",13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,4,3,1,2
E826,"Úraz jízdním kolem ,  mimo srážku s motorovým vozidlem nebo tramvají",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
E827,Úraz způsobený jiným silničním vozidlem bez motoru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E830,"Srážka, ztroskotání, převržení mající za následek potopení ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E831,"Srážka, ztroskotání, převržení bez potopení ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E832,Jiné potopení nebo utonutí při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E833,Pád na schodech nebo ze žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Jiný pád s výšky  při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E835,Jiný a NS pád při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E836,Úraz u stroje při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E837,"Výbuch, oheň, popálení při vodní dopravě",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E838,Jiný nebo NS úraz při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D6,Úrazy při dopravě vzduchem a mimovzdušným prostorem,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
E840,Nehoda motorového letadla při stratu nebo přistávání,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E841,Jiná nebo NS nehoda motorového letadla,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E842,Nehoda letadla bez motoru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E843,"Pád v letadle, na letadle  nebo z letadla",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E844,Jiný blíže psaný úraz při dopravě vzduchem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E845,Nehoda kosmické lodi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E846,Úraz při dopravě vzduchem ne prostorem NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Náhodné otravy léky a drogami,16,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,1,2,3,4,-,-,-
E850,Antibiotiky a jinými prostředky proti infekcím,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
E851,Hormony a jejich syntetickými náhradami,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E852,Látkami primárně působícími na celý organismus a složky krve,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Analgetiky a antipyretiky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Sedativy a hypnotiky,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
E855,Léky působícími primárně na nervovou soustavu a psychofarmaky,4,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
E856,Jinými ataraktiky a stimulaci CNS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E857,Látkami působícími na ústrojí oběhu krevního,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-
E858,Léky působícími na ústrojí trávicí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E859,Náhodné otravy jinými léčivy,4,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Náhodné otravy jinými pevnými nebo tekutými látkami,9,-,-,-,-,-,-,-,2,-,-,1,-,-,2,-,1,-,-,2,-,1,-
E860,Alkohol,6,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,1,-,-,2,-,-,-
E861,Čisticí a lešticí prostředky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E862,Dezinfekční  prostředky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E863,Barvy atd.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E864,Výrobky z ropy a  jiná rozpustidla ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E865,"Pesticidy, umělá hnojiva, prostředky pro výživu rostlin",1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E866,Těžké kovy a jejich páry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E867,Žíravé a leptavé látky nezařaditelné jinam,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E868,Škodlivé potraviny a jedovaté rostliny,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E869,Jiné a NS látky pevné a tekuté,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Náhodné otravy plyny a parami,215,-,-,1,1,-,-,2,3,5,3,1,1,2,4,3,4,6,17,29,51,61,21
E870,Plyn rozváděný potrubím,199,-,-,1,1,-,-,2,2,5,3,1,1,2,4,3,4,5,17,28,47,56,17
E871,Zkapalněný plyn z ropy rozvážený v přenosných nádobách,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E872,Jiný užitkový plyn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E873,Výfukový plyn motorových vozidel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E874,Kysličník uhelnatý z neúplného spalování domácích paliv,14,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,4,4,3
E875,Kysličník uhelnatý vzniklý jiným způsobem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E876,Jiné plyny a páry,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E877,Plyny a páry NS,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Náhodné pády,1819,3,1,-,2,1,-,1,2,2,4,3,1,4,2,13,15,27,88,216,416,494,524
E880,Pád na schodech nebo se schodů nebo stupňů,39,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,3,5,10,9,9
E881,Pád na žebříku nebo se žebříku nebo lešení,7,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,2,-,-,-,1
