1995,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1993),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,58 988,301,40,18,11,10,73,67,157,149,131,197,339,655,1 081,1 453,1 781,3 035,5 296,8 598,7 012,13 032,15 552
,,,,,,,,,,,,,,,,,,,,,,,,
I,Některé infekční a parazitární nemoci,123,3,2, -, -, -, -, -,2,1,3,1,1,2,3,5,3,5,20,19,16,22,15
A02,Jiné infekce způsobené salmonelami,4,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,2, -, -
A03,Shigellosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A04,Jiné bakteriální střevní infekce,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -
A05,Jiné bakteriální otravy (intoxikace) , -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A06,Amoebiasis - amébóza, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A08,Virové a jiné specifikované střevní infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A09,Průjem-diarrhoea a gastroenteritida předpokládaného infekčního původu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A15,"TBC dýchacího ústrojí bakteriologicky
a histologicky ověřená ",17, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -,1,4,4,6, -
A16,"TBC dýchacího ústrojí bakteriologicky 
a histologicky neověřená ",14, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,3,2,2,4,2
A17,Tuberkulóza nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A18,TBC jiných orgánů,4, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,1, -,2
A19,Miliární tuberkulóza,4, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,1,1, -, -,1, -
A20,Mor-pestis, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A21,Tularémie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A23,Brucellosis - vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A24,"Malleus - vozhřivka a pseudomalleus 
- meliodosis",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A26,Erysipeloid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A27,Leptospiróza, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A31,Nemoci způsobené jinými mykobakteriemi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A32,Listerióza - listeriosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A33,Tetanus novorozenců,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A35,Tetanus jiný,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -
A39,Meningokokové infekce,5,1, -, -, -, -, -, -,1,1, -, -, -, -, -, -, -,1, -, -, -,1, -
A40,Streptokoková septikémie,5, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -,1, -, -,1,2
A41,Jiná septikémie,45, -,1, -, -, -, -, -,1, -,1, -, -,1, -,3,2,2,6,9,5,5,9
A42,Aktinomykóza - actinomycosis, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A46,Růže - erysipelas,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -
A48,Jiné bakteriální nemoci jinde nezařazené,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -
A49,Bakteriální infekce neurčené lokalizace,4,1, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,2, -, -, -, -
A50,Vrozená syfilis - příjice - lues, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A51,Časná syfilis, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A52,Pozdní syfilis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A54,Gonokoková infekce, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A55,Lymphogranuloma venereum ,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -
A68,Návratná horečka - typhus recurrens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A69,Jiné spirochétové infekce, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A70,Infekce původce: Chlamydia psittaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A79,Jiné rickettsiózy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A80,Akutní poliomyelitida - akutní dětská obrna ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A81,Pomalé virové infekce centrální nervové soustavy,2, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -,1, -, -, -, -
A83,Virová encefalitida přenášená komáry, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
A84,Virová encefalitida přenášená klíšťaty,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -
A85,Jiná virová encefalitida jinde nezařazená ,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -
A86,Neurčená virová encefalitida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A87,Virová meningitida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A88,"Jiné virové infekce centrální nervové 
soustavy, jinde nezařazené",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A89,Neurčená virová infekce centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B00,Infekce virem Herpes simplex,2, -,1, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -
B01,Varicella - plané neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B02,Herpes zoster - pásový opar,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -
B06,Zarděnky - rubeola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B15,Akutní hepatitida A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B16,Akutní hepatitida B,5, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,1, -,2, -,1, -
B17,Jiná akutní virová hepatitida,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -
B18,Chronická virová hepatitida, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
B19,Neurčená virová hepatitida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B20,"Onemocnění HIV projevující se infekčními 
a parazitárními nemocemi",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B21,Onemocnění HIV projevující se zhoubnými novotvary ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B22,Onemocnění HIV projevující se jinými určenými nemocemi ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B23,Onemocnění HIV projevující se jinými stavy,1, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -
B24,Neurčené onemocnění virem HIV,1, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -
B25,Cytomegalovirová nemoc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B26,Epidemický zánět příušnic - parotitis epidemica ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B27,Infekční mononukleóza, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
B33,Jiné virové nemoci nezařazené jinde, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
B34,Virové nemoci neurčené lokalizace,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -
B37,Kandidóza - candidiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
