1954,Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,2079,114,38,34,16,20,88,106,135,153,226,258,329,411,150,1
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,26,-,-,1,-,1,-,4,2,3,4,5,4,2,-,-
E800,Úrazy na železnicích postihující železniční zaměstnance,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
E801,Úrazy na železnicích postihující cestující,3,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,21,-,-,1,-,1,-,2,1,1,4,5,4,2,-,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,115,-,1,4,1,6,20,16,11,10,8,16,13,9,-,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,81,-,1,4,1,5,15,8,6,5,6,14,8,8,-,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E818,Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E819,Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E820,Dopravní úraz motorovými vozidly během sestupování a nastupování,3,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
E821,"Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E822,Dopravní úraz motorovými vozidly při převrhnutí na silnici,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E823,Dopravní úraz motorovými vozidly při vybočení ze silnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E824,Jiný dopravní úraz motorovými vozidly bez srážky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E825,Dopravní úraz motorovými vozidly neurčené povahy,29,-,-,-,-,1,5,8,3,5,2,1,3,1,-,-
,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly nedopravní,12,-,-,-,-,-,3,3,1,-,2,1,-,1,1,-
E830,Nedopravní úraz motorovými vozidly  způsobený chodcům,3,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-
E831,Nedopravní úraz motorovými vozidly  způsobený cyklistům,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E832,Nedopravní úraz motorovými vozidly  způsobený řidičům nebo spolujezdcům na motocyklech,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E833,"Jiný nedopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Nedopravní úraz motorovými vozidly  při nastupování a sestupování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E835,Nedopravní úraz motorovými vozidly  jiné nebo neurčené povahy,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E836,Úraz motorovými vozidly nedopravní způsobený,7,-,-,-,-,-,-,2,1,-,1,1,-,1,1,-
,,,,,,,,,,,,,,,,,
D4,Úrazy jinými silničními vozidly,6,-,-,-,-,-,3,-,-,-,-,-,3,-,-,-
E840,Úraz způsobený chodcům vozy pouliční dopravy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E841,"Ostatní druhy úrazu vozy pouliční dopravy , vyjma srážku s motorovým vozidlem ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E842,Úraz způsobený chodcům cyklisty,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
E843,"Úraz způsobený cyklistům, ne však při srážce  s motorovým  vozidlem ",2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
E844,Úraz způsobený chodcům jinými nemotorovými silničními vozidly ,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E845,Jiný druh úrazu nemotorovými silničními vozidly ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E850,Úraz cestujících na malých člunech způsobený potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E851,Ostatní druhy úrazu při vodní dopravě způsobený potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E852,Pád se schodů nebo žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Jiný pád do hloubky při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Pád na rovině při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E855,Neoznačený pád při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E856,Úraz stroji při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E857,Jiný označený úraz při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E858,Úraz při vodní dopravě neurčené povahy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
D6,Letecké úrazy ,4,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-
E860,Úraz způsobený posádce vojenské letadla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E861,Poranění způsobené cestujícím při nehodách dopravních letadel,3,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-
E862,Jiné poranění v dopravních letadlech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E863,Poranění způsobené cestujícím při nehodách jiných letadel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E864,Letecký úraz způsobený na letišti osobám mimo letadlo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E865,Letecký úraz způsobený jinde než na letišti osobám mimo letadlo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E866,Jiný a blíže neoznačený letecký úraz ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné otravy látkami pevnými a tekutinami,31,-,2,2,-,-,3,2,3,4,7,4,2,1,1,-
E870,Náhodná otrava morfiem a jinými deriváty opia,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E871,Náhodná otrava kyselinou barbiturovou a jejími deriváty,3,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-
E872,Náhodná otrava aspirinem a salicyláty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E873,Náhodná otrava bromidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E874,Náhodná otrava jinými analgetiky a uspávacími prostředky,8,-,2,-,-,-,-,1,1,-,2,1,-,1,-,-
E875,Náhodná otrava sulfonamidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E876,Náhodná otrava strychninem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E877,"Náhodná otrava belladonou, skopolaminem a atropinem",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E878,Náhodná otrava jinými a neurčenými léčivy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E879,Náhodná otrava škodlivými potravinami,3,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-
E880,Náhodná otrava alkoholem,7,-,-,-,-,-,-,-,1,-,3,1,2,-,-,-
E881,Náhodná otrava naftovými produkty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E882,Náhodná otrava průmyslovými rozpustidly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E883,"Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami",2,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-
E884,Náhodná otrava rtutí a jejími sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E885,Náhodná otrava olovem a jeho sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E886,Náhodná otrava arsenem a antimonem a jejich sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E887,Náhodná otrava fluoridy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E888,Náhodná otrava jinými a neurčenými látkami pevnými a tekutými,7,-,-,-,-,-,-,1,1,3,1,-,-,-,1,-
,,,,,,,,,,,,,,,,,
,Náhodné otravy plynem a parami,80,-,5,2,1,1,4,6,1,4,11,8,17,16,4,-
E890,Náhodná otrava svítiplynem,26,-,1,-,-,1,2,3,1,1,1,4,4,6,2,-
E891,Náhodná otrava výfukovým plynem motorových vozidel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E892,Náhodná otrava jiným kysličníkem uhelnatým,54,-,4,2,1,-,2,3,-,3,10,4,13,10,2,-
E893,Náhodná otrava kyanovodíkem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E894,Náhodná otrava jinými určenými plyny a parami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E895,Náhodná otrava neurčenými plyny a parami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné pády,558,-,1,2,-,-,2,5,5,5,14,36,106,259,123,-
E900,Pád na schodech ,12,-,-,-,-,-,-,1,-,-,1,2,3,3,2,-
E901,Pád se žebříku ,3,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
E902,Jiný pád do hloubky,57,-,1,2,-,-,2,3,3,3,8,8,9,14,4,-
E903,Pád na rovině,34,-,-,-,-,-,-,-,-,1,1,5,7,15,5,-
E904,Neurčený pád ,452,-,-,-,-,-,-,1,2,1,4,20,85,227,112,-
,,,,,,,,,,,,,,,,,
,Jiné náhodné úrazy,540,107,29,23,14,11,47,16,14,22,39,49,83,73,13,-
E910,Náhodný úraz způsobený padajícími předměty,6,1,-,-,-,-,2,-,-,2,-,-,1,-,-,-
E911,Náhodný úraz způsobený vozidly,8,-,1,-,1,-,1,-,-,-,4,-,1,-,-,-
E912,Náhodný úraz způsobený stroji a nástroji,5,-,-,-,-,-,1,1,1,-,2,-,-,-,-,-
E913,Náhodný úraz způsobený řeznými a bodnými nástroji,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E914,Náhodný úraz způsobený elektrickým proudem,12,-,-,-,-,-,3,1,-,2,2,3,-,-,1,-
E915,Náhodný úraz způsobený výbuchem parního kotle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E916,Náhodný úraz způsobený ohněm a výbuchem hořlavých látek,51,2,2,2,1,2,-,2,2,2,3,6,10,14,3,-
E917,"Náhodný úraz způsobený vřelou substancí, leptavou tekutinou nebo parou",45,-,6,4,2,-,1,-,-,1,3,7,6,13,2,-
E918,Náhodný úraz způsobený zářením,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E919,Náhodný úraz způsobený střelnou zbraní,9,-,-,-,-,1,3,-,2,2,-,-,-,1,-,-
E920,Cizí těleso vniklé do oka a jeho adnexů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E921,Vdechnutí nebo vniknutí potravy do hrtanu a jiných cest dýchacích působící ucpání nebo udušení,101,87,4,1,-,-,-,2,-,-,3,-,2,2,-,-
E922,Vdechnutí nebo vniknutí jiných předmětů do hrtanu působící ucpání nebo udušení,5,1,2,-,-,1,-,-,-,-,-,1,-,-,-,-
E923,Cizí těleso vniklé do jiných otvorů těla,2,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
E924,Náhodné mechanické udušení v posteli a kočárku,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E925,Náhodné mechanické udušení za jiných nebo neoznačených okolností,7,3,1,-,-,-,2,1,-,-,-,-,-,-,-,-
E926,Nedostatek péče o děti ve věku do jednoho roku,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E927,Náhodný úraz způsobený kousnutím nebo uštknutím  jedovatými  živočichy a hmyzem,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E928,Jiný náhodný úraz způsobený zvířaty,9,-,-,-,-,-,1,-,-,-,1,-,3,4,-,-
E929,Náhodné tonutí,96,-,12,14,6,6,21,7,6,3,2,1,6,11,1,-
E930,Vysoký a  nízký tlak vzduchu,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E931,"Nadměrné horko, úžeh a úpal",1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
E932,Nadměrný chlad,8,-,-,-,-,-,-,1,-,-,2,-,5,-,-,-
E933,"Hlad, žízeň a  jiné strádání ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E934,Přírodní katastrofa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E935,Blesk,11,-,-,-,-,-,2,-,-,1,4,4,-,-,-,-
