1968,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1966),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,60 936,1 747,104,60,48,45,211,189,571,838,588,589,821,1 337,1 869,2 225,5 494,8 089,9 874,9 042,7 489,5 781,3 925,
,,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci infekční a parazitární,784,29,3,4,4,-,2,1,2,5,5,4,11,27,34,36,84,110,144,110,97,59,13,
0,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
1,Břišní tyfus,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,1,
2,Paratyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
3,Jiné infekce způsobené salmonelami,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,
4,Bacilární úplavice ,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,
5,Alimentární intoxikace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
6,Úplavice amébová,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Jiná střevní onemocnění protozoární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Střevní zánět způsobený jiným určeným mikroorganismem,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,
9,Průjmová onemocnění,29,17,-,1,-,-,-,-,-,-,-,-,-,1,-,-,2,1,1,1,2,2,1,
10,Koniotuberkulóza,49,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,6,13,9,10,4,2,-,
11,Tuberkulóza plic,446,-,-,-,-,-,-,-,-,1,3,3,9,13,24,24,42,54,96,72,63,34,8,
12,Jiná tuberkulóza dýchacího ústrojí,30,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,2,5,2,3,5,7,1,
13,Tuberkulóza mozkomíšních plen a centrální nervové soustavy,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,
14,"Tuberkulóza střev, pobřišnice a uzlin okruží",5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,1,-,
15,Tuberkulóza kostí a kloubů,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,
16,Tuberkulóza ústrojí močového a pohlavního ,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,1,-,-,
17,Tuberkulóza jiných orgánů,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,
18,Diseminovaná tuberkulóza několika orgánových soustav,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,
19,Pozdní následky tuberkulózy,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,1,1,1,2,-,
20,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21,Tularemie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23,Vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24,Vozhřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25,Melioidosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26,Horečka z krysího kousnutí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27,Ostatní zoonotické bakteriální nemoci,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
31,Jiné nemoci působené mykobaktériemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
32,Záškrt,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,
33,Dávivý kašel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
34,Streptokoková angína a spála,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
35,Růže,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,
36,Meningokové infekce,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,
37,Tetanus,19,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,3,5,2,2,1,1,-,
38,Septikémie,17,2,-,-,-,-,-,-,1,-,-,-,-,2,-,-,2,3,4,-,1,2,-,
