2005,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,,,,,,,,
MKN (1993),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 +
,,,,,,,,,,,,,,,,,,,,,,,,
VN,Vnější příčiny poranění a otrav,4333,12,3,5,1, -,17,18,141,265,300,304,277,313,360,490,464,277,201,224,230,246,185
,,,,,,,,,,,,,,,,,,,,,,,,
DN,Dopravní nehody,949,2,1,2, -, -,11,6,73,133,108,85,73,52,79,90,62,48,35,34,30,16,9
,,,,,,,,,,,,,,,,,,,,,,,,
,Chodec zraněný při dopravní nehodě     V01-V09,232, -, -, -, -, -,2,1,13,18,17,10,16,16,24,26,21,13,18,15,12,6,4
V01,Chodec zraněný při srážce s jízdním kolem,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -
V02,"Chodec zraněný při srážce s dvou
nebo tříkolovým motorovým vozidlem",3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,1, -, -,1
V03,"Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním",95, -, -, -, -, -,2,1,3,6,3,5,3,6,9,13,11,5,9,6,8,3,2
V04,Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,19, -, -, -, -, -, -, -, -,1,1, -,3,2,1,2,1,2,2,2,2, -, -
V05,Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem,95, -, -, -, -, -, -, -,10,7,10,5,10,5,13,9,8,5,6,4,2,1, -
V06,Chodec zraněný při srážce s jiným nemotorovým vozidlem,6, -, -, -, -, -, -, -, -, -,1, -, -, -,1,1, -, -, -,1, -,1,1
V09,Chodec zraněný při jiných a neurčených dopravních nehodách,13, -, -, -, -, -, -, -, -,4,2, -, -,3, -,1, -,1,1, -, -,1, -
,,,,,,,,,,,,,,,,,,,,,,,,
,Cyklista zraněný při dopravní nehodě     V10-V19,63, -, -, -, -, -,1,1, -,1,1,6,4,2,9,8,6,6,4,8,3,3, -
V10,Cyklista zraněný při srážce s chodcem nebo zvířetem,1, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -
