1957,Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,2222,120,35,33,19,12,96,110,132,132,255,269,354,492,163,-
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,57,-,2,-,-,-,4,4,6,5,8,6,11,9,2,-
E800,Úrazy na železnicích postihující železniční zaměstnance,8,-,-,-,-,-,-,-,2,2,2,2,-,-,-,-
E801,Úrazy na železnicích postihující cestující,22,-,-,-,-,-,3,4,3,1,2,2,6,1,-,-
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,27,-,2,-,-,-,1,-,1,2,4,2,5,8,2,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,164,1,1,3,4,2,24,17,16,14,14,17,28,20,3,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,109,-,1,2,4,2,21,4,3,9,7,14,22,17,3,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,2,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",3,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E818,Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E819,Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E820,Dopravní úraz motorovými vozidly během sestupování a nastupování,3,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-
E821,"Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku",4,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-
E822,Dopravní úraz motorovými vozidly při převrhnutí na silnici,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E823,Dopravní úraz motorovými vozidly při vybočení ze silnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E824,Jiný dopravní úraz motorovými vozidly bez srážky,2,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-
E825,Dopravní úraz motorovými vozidly neurčené povahy,33,1,-,1,-,-,1,8,5,5,5,3,3,1,-,-
,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly nedopravní,22,-,-,-,2,2,2,2,1,3,2,2,1,5,-,-
