1937,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,68835,6805,1439,1757,2025,3340,3959,5389,9548,34572,1
,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,8462,470,563,957,1003,1343,1055,834,963,1274,-
1,Tyf břišní,137,1,3,21,21,34,18,14,17,8,-
2,Paratyfy,11,-,-,3,2,1,-,1,2,2,-
3,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-,-
5,"Horečka vlnitá, maltská",-,-,-,-,-,-,-,-,-,-,-
6,Neštovice pravé,-,-,-,-,-,-,-,-,-,-,-
7,Spalničky,56,25,22,7,1,-,-,1,-,-,-
8,Spála,148,8,47,83,3,6,1,-,-,-,-
9,Kašel zádušný,121,75,43,2,-,1,-,-,-,-,-
10,Záškrt,886,21,248,566,27,9,4,4,3,4,-
11a,Chřipka neboli influenza s komplikacemi dýchadel,393,73,18,4,12,18,29,25,48,166,-
11b,Chřipka neboli influenza bez údaje takových komplikací,281,31,7,8,4,10,14,17,24,166,-
13a,Úplavice střevní amoebová,-,-,-,-,-,-,-,-,-,-,-
13b,Úplavice střevní bacilární,-,-,-,-,-,-,-,-,-,-,-
13c,Úplavice střevní nerozlišená nebo z jiné příčiny,4,-,-,1,-,-,1,-,1,1,-
15,Růže,185,50,2,-,-,11,4,13,35,70,-
16,Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové,14,-,3,5,2,3,1,-,-,-,-
17,Zánět mozku lethargický neboli epidemický,45,1,-,1,2,11,17,8,3,2,-
18,Epidemický zánět plen mozkových a míšních,15,4,3,2,3,-,-,3,-,-,-
19,Ozhřivka ,-,-,-,-,-,-,-,-,-,-,-
20,Uhlák,-,-,-,-,-,-,-,-,-,-,-
21,Vzteklina,-,-,-,-,-,-,-,-,-,-,-
22,Ztrnutí,54,7,1,6,3,8,12,3,8,6,-
23(4),Tuberkulosa ústrojí dýchacího,4975,42,49,108,840,1141,855,614,671,655,-
24,Tuberkulosa plen a ústřední soustavy čivové,255,22,85,81,31,12,10,7,3,4,-
25,Tuberkulosa střev a pobřišnice,95,4,2,13,8,22,11,18,7,10,-
26,Tuberkulosa páteře,84,-,2,10,4,5,9,8,22,24,-
27,Tuberkulosa kostí a kloubů,187,-,1,9,5,5,8,20,42,97,-
28,Tuberkulosa kůže a podkožního tuku,19,-,-,5,-,1,-,-,6,7,-
29,Tuberkulosa soustavy mízní,21,1,3,1,2,1,2,2,4,5,-
30,Tuberkulosa ústrojí pohlavního a močového,14,-,-,-,1,6,4,2,-,1,-
31,Tuberkulosa jiných míst,5,-,-,-,1,-,1,3,-,-,-
32,Tuberkulosa roztroušená,57,6,11,4,12,7,3,6,4,4,-
33,Malomocenství,-,-,-,-,-,-,-,-,-,-,-
34a,Příjice vrozená,43,38,3,2,-,-,-,-,-,-,-
34b,Příjice získaná,99,-,-,-,-,-,16,37,30,16,-
34c,Příjice nerozlišená,61,-,-,-,10,12,15,9,10,5,-
35,Kapavka a jiné nemoci pohlavní,3,1,-,-,1,-,1,-,-,-,-
,,,,,,,,,,,,
