1939,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,47869,5766,1186,1167,1563,2376,3304,4683,7600,20219,5
,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,6984,429,460,520,607,948,1057,1130,976,857,-
1,Tyf břišní,113,-,6,9,30,21,21,14,12,-,-
2,Paratyfy,7,-,-,-,1,-,3,-,2,1,-
3,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-,-
5,"Horečka vlnitá, maltská",-,-,-,-,-,-,-,-,-,-,-
6,Neštovice pravé,-,-,-,-,-,-,-,-,-,-,-
7,Spalničky,106,42,53,11,-,-,-,-,-,-,-
8,Spála,61,7,32,21,-,1,-,-,-,-,-
9,Kašel zádušný,99,78,19,2,-,-,-,-,-,-,-
10,Záškrt,486,17,157,284,23,3,-,-,1,1,-
11a,Chřipka neboli influenza s komplikacemi dýchadel,275,46,13,6,6,12,17,18,37,120,-
11b,Chřipka neboli influenza bez údaje takových komplikací,181,33,7,3,9,4,6,9,20,90,-
13a,Úplavice střevní amoebová,-,-,-,-,-,-,-,-,-,-,-
13b,Úplavice střevní bacilární,1,-,-,-,-,-,-,-,1,-,-
13c,Úplavice střevní nerozlišená nebo z jiné příčiny,3,1,-,-,-,-,-,1,1,-,-
15,Růže,88,30,3,1,2,5,7,3,10,27,-
16,Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové,85,5,25,21,12,16,2,3,1,-,-
17,Zánět mozku lethargický neboli epidemický,23,-,-,-,1,3,5,6,5,3,-
18,Epidemický zánět plen mozkových a míšních,94,11,15,18,32,8,5,2,3,-,-
19,Ozhřivka ,-,-,-,-,-,-,-,-,-,-,-
20,Uhlák,1,-,-,-,-,-,-,1,-,-,-
21,Vzteklina,-,-,-,-,-,-,-,-,-,-,-
22,Ztrnutí,75,15,4,16,4,5,8,10,5,8,-
23(4),Tuberkulosa ústrojí dýchacího,4429,36,35,41,419,810,894,944,750,500,-
24,Tuberkulosa plen a ústřední soustavy čivové,195,24,70,47,19,11,7,9,1,7,-
25,Tuberkulosa střev a pobřišnice,52,3,4,2,10,8,8,7,7,3,-
26,Tuberkulosa páteře,56,-,-,5,11,6,6,5,14,9,-
27,Tuberkulosa kostí a kloubů,89,-,1,9,9,5,6,14,19,26,-
28,Tuberkulosa kůže a podkožního tuku,10,-,-,1,-,-,-,2,3,4,-
29,Tuberkulosa soustavy mízní,9,2,-,1,-,1,1,1,1,2,-
30,Tuberkulosa ústrojí pohlavního a močového,17,-,-,-,1,2,4,2,4,4,-
31,Tuberkulosa jiných míst,4,-,-,-,-,-,-,1,1,2,-
32,Tuberkulosa roztroušená,39,2,6,5,8,4,5,4,4,1,-
33,Malomocenství,-,-,-,-,-,-,-,-,-,-,-
34a,Příjice vrozená,29,27,1,1,-,-,-,-,-,-,-
34b,Příjice získaná,102,-,-,-,-,5,14,29,32,22,-
34c,Příjice nerozlišená,86,-,-,-,-,4,20,28,26,8,-
35,Kapavka a jiné nemoci pohlavní,4,1,-,-,-,1,1,-,-,1,-
,,,,,,,,,,,,
36a,Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve,140,42,8,13,8,11,15,14,11,18,-
36b,Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve,13,4,1,-,1,1,2,1,3,-,-
36c,Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová,1,-,-,-,-,-,-,-,1,-,-
38a,Zimnice malarická,-,-,-,-,-,-,-,-,-,-,-
38b,Kachexie malarická,-,-,-,-,-,-,-,-,-,-,-
39,"Jiné nemoci, zaviněné cizopasnými prvoky",-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasa,-,-,-,-,-,-,-,-,-,-,-
