1942,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,51929,7128,1397,1277,1907,2551,4115,5371,7838,10188,10157,-
,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,9010,411,607,637,945,1098,1500,1512,1392,708,200,-
1,Tyf břišní,92,-,3,13,23,15,22,6,9,1,-,-
2,Paratyf,1,-,-,-,-,-,1,-,-,-,-,-
3,Mor,-,-,-,-,-,-,-,-,-,-,-,-
4,Cholera,-,-,-,-,-,-,-,-,-,-,-,-
5,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-
6,Epidemický zánět plen mozkových a míšních,22,5,5,4,1,2,3,1,1,-,-,-
7,Uhlák,2,-,-,-,-,-,-,-,1,1,-,-
8,Spála,226,9,132,75,4,-,4,1,1,-,-,-
9,Kašel zádušný,70,53,15,2,-,-,-,-,-,-,-,-
10,Záškrt,758,48,289,364,49,5,3,-,-,-,-,-
11,Růže,86,32,1,2,1,3,3,5,10,13,16,-
12,Ztrnutí (tetanus),65,15,3,9,4,8,6,5,7,5,3,-
13,Tuberkulosa ústrojí dýchacího,6009,23,34,55,753,973,1266,1226,1076,494,109,-
14a,Tuberkulosa plen a ústřední soustavy nervové: plen mozkových,203,24,58,48,40,10,8,8,3,4,-,-
14b,Tuberkulosa plen a ústřední soustavy nervové: jiných míst,3,-,1,1,-,-,-,1,-,-,-,-
15a,Tuberkulosa střev a pobřišnice: střev,20,-,-,1,4,2,1,3,7,2,-,-
15b,Tuberkulosa střev a pobřišnice: jiných míst,35,-,3,1,10,2,8,7,2,2,-,-
16,Tuberkulosa páteře,56,-,2,2,11,5,10,4,11,9,2,-
17,Tuberkulosa kostí a kloubů (vyjma páteře),94,-,-,4,8,8,7,8,23,25,11,-
18,Tuberkulosa kůže a podkožního vaziva,9,-,-,1,2,-,2,-,1,2,1,-
19,Tuberkulosa soustavy mízní,17,-,1,2,2,1,-,3,3,3,2,-
20,Tuberkulosa ústrojí močového a pohlavního,27,-,-,2,3,3,4,10,1,3,1,-
21a,Addisonova nemoc tuberkulosního původu,1,-,-,-,-,-,1,-,-,-,-,-
21b,Addisonova nemoc tuberkulosního původu ostatních orgánů,6,-,-,-,1,-,2,1,-,1,1,-
22,Tuberkulosa miliární,44,3,6,8,5,6,2,7,3,2,2,-
24a,Otrava krve,208,76,4,15,10,10,28,17,22,17,9,-
24b,Sněť plynová,1,-,-,-,-,-,1,-,-,-,-,-
