1952,Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,2138,59,51,43,35,16,90,146,149,187,273,252,292,392,152,1
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,53,-,1,2,1,1,2,8,8,5,7,7,7,2,1,1
E800,Úrazy na železnicích postihující železniční zaměstnance,10,-,-,-,-,-,-,3,3,3,1,-,-,-,-,-
E801,Úrazy na železnicích postihující cestující,25,-,-,1,-,1,1,2,4,2,3,7,2,1,-,1
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,18,-,1,1,1,-,1,3,1,-,3,-,5,1,1,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,108,-,1,3,4,2,21,11,10,11,11,12,12,9,1,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,6,-,-,-,-,-,1,1,-,2,1,1,-,-,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,65,-,1,2,4,1,15,5,4,3,5,9,10,6,-,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E818,Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E819,Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E820,Dopravní úraz motorovými vozidly během sestupování a nastupování,4,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-
E821,"Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E822,Dopravní úraz motorovými vozidly při převrhnutí na silnici,2,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
E823,Dopravní úraz motorovými vozidly při vybočení ze silnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E824,Jiný dopravní úraz motorovými vozidly bez srážky,4,-,-,-,-,-,-,-,1,2,-,-,1,-,-,-
E825,Dopravní úraz motorovými vozidly neurčené povahy,25,-,-,1,-,1,5,5,4,3,3,-,1,2,-,-
,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly nedopravní,22,-,-,2,-,3,2,4,2,1,4,1,1,2,-,-
E830,Nedopravní úraz motorovými vozidly  způsobený chodcům,8,-,-,2,-,2,1,1,-,-,-,-,1,1,-,-
E831,Nedopravní úraz motorovými vozidly  způsobený cyklistům,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E832,Nedopravní úraz motorovými vozidly  způsobený řidičům nebo spolujezdcům na motocyklech,3,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-
E833,"Jiný nedopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Nedopravní úraz motorovými vozidly  při nastupování a sestupování,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E835,Nedopravní úraz motorovými vozidly  jiné nebo neurčené povahy,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E836,Úraz motorovými vozidly nedopravní způsobený,9,-,-,-,-,1,1,1,1,1,3,-,-,1,-,-
,,,,,,,,,,,,,,,,,
D4,Úrazy jinými silničními vozidly,5,-,-,-,1,-,-,1,-,1,-,2,-,-,-,-
E840,Úraz způsobený chodcům vozy pouliční dopravy,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E841,"Ostatní druhy úrazu vozy pouliční dopravy , vyjma srážku s motorovým vozidlem ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E842,Úraz způsobený chodcům cyklisty,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E843,"Úraz způsobený cyklistům, ne však při srážce  s motorovým  vozidlem ",2,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
E844,Úraz způsobený chodcům jinými nemotorovými silničními vozidly ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E845,Jiný druh úrazu nemotorovými silničními vozidly ,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E850,Úraz cestujících na malých člunech způsobený potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E851,Ostatní druhy úrazu při vodní dopravě způsobený potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E852,Pád se schodů nebo žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Jiný pád do hloubky při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Pád na rovině při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E855,Neoznačený pád při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E856,Úraz stroji při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E857,Jiný označený úraz při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E858,Úraz při vodní dopravě neurčené povahy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
D6,Letecké úrazy ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E860,Úraz způsobený posádce vojenské letadla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E861,Poranění způsobené cestujícím při nehodách dopravních letadel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E862,Jiné poranění v dopravních letadlech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E863,Poranění způsobené cestujícím při nehodách jiných letadel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E864,Letecký úraz způsobený na letišti osobám mimo letadlo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E865,Letecký úraz způsobený jinde než na letišti osobám mimo letadlo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E866,Jiný a blíže neoznačený letecký úraz ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné otravy látkami pevnými a tekutinami,40,1,2,2,1,-,2,7,3,6,3,5,7,1,-,-
E870,Náhodná otrava morfiem a jinými deriváty opia,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E871,Náhodná otrava kyselinou barbiturovou a jejími deriváty,3,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
E872,Náhodná otrava aspirinem a salicyláty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E873,Náhodná otrava bromidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
