1927,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,78211,16433,3571,1690,4397,6004,5473,14110,26515,18
,,,,,,,,,,,
I,Nemoci epidemické a endemické,3217,818,749,270,249,188,163,259,521,-
1a,Tyf střevní,228,2,7,16,108,51,21,19,4,-
1b,Paratyfy,7,-,-,-,3,2,-,1,1,-
2,Tyf skvrnitý,1,-,-,-,-,-,-,1,-,-
3,Tyf zvratný,-,-,-,-,-,-,-,-,-,-
5a,Malarie,14,-,-,-,-,2,9,3,-,-
5b,Malarická sešlost,-,-,-,-,-,-,-,-,-,-
6,Neštovice,-,-,-,-,-,-,-,-,-,-
7,Spalničky,440,179,230,29,2,-,-,-,-,-
8,Spála,126,6,59,43,12,5,1,-,-,-
9,Zajíkavý kašel,330,237,89,3,1,-,-,-,-,-
10,Záškrt,340,29,183,123,1,2,-,1,1,-
11a,Chřipka s plicními komplikacemi,921,213,112,19,46,58,72,127,274,-
11b,Chřipka bez komplikací plic,486,74,48,16,30,22,38,61,197,-
13,Zánět příušnic,7,1,-,2,1,-,-,1,2,-
15,Choleroidní zánět střev,6,2,1,-,1,-,-,1,1,-
16,Úplavice,10,-,-,2,2,-,2,3,1,-
19,Spirochetosa ikterohaemor,2,-,-,-,-,1,-,1,-,-
21,Růže,160,62,3,-,4,13,11,32,35,-
22,Prudký zánět předních rohů míšních,12,1,6,4,-,-,-,-,1,-
23,Lethargův zánět střev,70,2,4,8,12,28,6,6,4,-
24,Epidemické ztrnutí šíje,50,5,6,5,26,4,2,2,-,-
25,Ostatní nemoci epidemické,7,5,1,-,-,-,1,-,-,-
,,,,,,,,,,,
II,Nemoci infekční,10580,600,529,427,1824,2693,1695,2078,734,-
26,Ozhřivka,-,-,-,-,-,-,-,-,-,-
27,Uhlák a sněť slezinná,3,-,-,-,-,1,-,1,1,-
28,Vzteklina,4,-,-,2,-,1,1,-,-,-
29,Ztrnutí ranné,189,56,14,26,22,18,15,29,9,-
30,Mykosy,10,4,-,-,-,1,-,3,2,-
31,Tuberkulosa ústrojí dýchacího,8679,195,230,185,1618,2482,1533,1833,603,-
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,560,94,219,137,51,27,17,12,3,-
33,Tuberkulosa střev neb pobřišnice ,148,9,18,16,25,30,20,23,7,-
34,Tuberkulosa obratlů,82,2,4,8,13,16,7,22,10,-
35,Tuberkulosa kloubů,56,2,5,5,13,4,7,8,12,-
36a,Tuberkulosa kůže nebo podkožního vaziva,10,1,-,-,1,3,4,1,-,-
36b,Tuberkulosa kostí,122,4,4,10,15,21,14,29,25,-
36c,Tuberkulosa lymfatického systému,30,10,7,2,3,3,-,2,3,-
36d,Tuberkulosa ústrojí urogenitálního,18,2,-,3,1,4,3,4,1,-
36,Tuberkulosa jiných orgánů,14,1,-,-,2,2,3,3,3,-
37a,Tuberkulosa prudká,63,7,10,11,31,3,-,1,-,-
37b,Tuberkulosa vleklá,3,-,-,1,-,-,-,1,1,-
37c,Tuberkulosa bez bližšího označení,57,-,-,-,-,20,11,21,5,-
38,Příjice,199,84,7,2,7,17,32,41,9,-
40,Kapavka,6,-,-,-,-,2,1,3,-,-
41,Otrava krve,327,129,11,19,22,38,27,41,40,-
42,Ostatní nemoci a infekční,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
RA,,6491,11,22,28,54,190,523,2688,2975,0
KR,,147,19,13,4,4,19,20,47,21,0
EN,,864,149,72,17,39,63,66,205,253,0
DU,,218,0,0,1,3,21,41,90,62,0
III,Celkové nemoci výše nejmenované,7701,185,112,52,100,289,648,3015,3300,-
43,Rakovina neb jiné zhoubné nádory dutiny ústní,156,-,-,-,1,4,10,57,84,-
44,"Rakovina neb jiné zhoubné nádory žaludku, jater",4168,-,-,1,6,73,317,1808,1963,-
45,"Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku",818,1,2,2,1,23,64,333,392,-
46,Rakovina neb jiné zhoubné nádory rodidel,x,x,x,x,x,x,x,x,x,x
47,Rakovina neb jiné zhoubné nádory prsu,6,-,-,-,-,-,1,-,5,-
48,Rakovina neb jiné zhoubné nádory kůže,80,-,-,-,-,3,8,15,54,-
49,Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených,1001,3,5,7,28,55,93,397,413,-
50,"Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná",139,4,3,9,8,12,17,38,48,-
51,Prudký horečatý hostec kloubní,28,2,2,7,9,3,2,1,2,-
52,"Vleklý hostec, dna",89,-,-,2,2,7,3,22,53,-
53,Kurděje,4,2,1,-,-,-,-,1,-,-
56,Křivice,180,118,61,1,-,-,-,-,-,-
57,Cukrovka,490,-,4,7,25,47,43,172,192,-
59,Nedokrevnost zhoubná,120,14,9,4,3,13,16,43,18,-
58a,Jiné nedokrevnosti a blednička,18,4,3,-,1,2,2,3,3,-
58b,Nemoci hypophysy,2,-,-,-,-,-,1,1,-,-
60a,Basedowova nemoc,17,-,-,-,-,1,10,5,1,-
60b,Jiná onemocnění štítné žlázy,15,-,-,-,1,2,5,3,4,-
61,Nemoci žlázek přištítných,16,14,2,-,-,-,-,-,-,-
62,Nemoci brzlíku,17,13,2,-,2,-,-,-,-,-
63,Nemoci nadledvinek (nemoc Addisonova),6,-,-,-,-,3,2,-,1,-
64,Nemoci sleziny,9,1,1,-,-,4,2,1,-,-
65,Bělokrevnost neb Hodgkinova nemoc,123,3,12,9,10,20,13,40,16,-
66,Alkoholismus,165,-,-,-,1,14,37,66,47,-
67,Vleklé otravy nerostnými látkami,6,-,-,-,-,-,-,5,1,-
68,Vleklé otravy ústrojnými látkami,3,-,-,-,-,1,1,-,1,-
69,Ostatní celkové nemoci,25,6,5,3,2,2,1,4,2,-
,,,,,,,,,,,
IV,Choroby systému nervového a smyslových orgánů,7646,1860,309,176,231,380,476,1523,2690,1
70,Zánět mozku,101,13,13,7,15,18,12,16,7,-
71,Zánět mozkových blan,601,143,174,92,61,50,27,35,19,-
72,Úbytě míchy,174,-,-,-,2,9,32,90,41,-
73,Jiné choroby míchy,199,2,3,9,23,30,21,66,45,-
74a,Výlev krevní do mozku,3447,-,-,3,6,50,185,996,2206,1
74b,Záhať žil mozkových,57,-,-,-,2,4,5,13,33,-
75a,Jednostranná obrna těla,161,-,-,-,-,3,9,34,115,-
75b,Paralysis progressiva,363,-,-,-,11,92,97,113,50,-
75c,Jiné obrny,59,-,-,3,-,7,6,13,30,-
76,Ochrnutí spojené s duševní chorobou,5,-,-,-,-,-,2,3,-,-
77,Jiné duševní choroby,48,-,-,1,2,7,2,21,15,-
78,Padoucnice,178,5,7,16,51,49,19,16,15,-
79,Božec nepuerperální,5,-,-,2,1,-,1,-,1,-
80,Křeče u dětí,1744,1666,78,-,-,-,-,-,-,-
81,Posunčina,1,-,-,1,-,-,-,-,-,-
82b,Zánět nervů,14,-,-,1,-,2,4,5,2,-
83,Změknutí mozku,102,-,-,-,1,2,8,25,66,-
84,Ostatní choroby systému nervového,265,6,18,22,32,43,41,63,40,-
86,Choroby ucha nebo dutin mastoideu,122,25,16,19,24,14,5,14,5,-
,,,,,,,,,,,
V,Choroby oběhu krevního,10201,46,37,117,232,500,771,2891,5604,3
87,Zánět osrdce,30,1,-,5,3,4,1,10,6,-
88,Prudký zánět nitroblány nebo svalu srdečního,159,-,7,19,25,57,45,3,3,-
89,Srdeční angina,168,-,-,-,1,7,16,67,77,-
90,Jiné nemoci srdce,7549,42,25,90,192,400,653,2335,3809,3
91a,Výduť,124,-,-,-,3,12,22,58,29,-
91b,Zkornatění a jiné choroby tepen,2064,-,-,1,-,11,24,375,1653,-
92,Záhať (nikoliv mozkový),67,1,1,1,5,6,8,33,12,-
93,Choroby žil,21,1,-,-,1,2,1,8,8,-
94,Choroby systému mízního,16,1,4,1,1,1,1,2,5,-
95,Ostatní choroby oběhu krevního,2,-,-,-,1,-,-,-,1,-
96,Ostatní choroby oběhu krevního,1,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,
VI,Choroby ústrojí dýchacího,11709,3668,1150,137,210,331,435,1611,4166,1
97,Choroby dutin nosních a jejich adnex,2,1,-,-,1,-,-,-,-,-
98,Choroby hrtanu,32,14,8,1,-,3,1,2,3,-
99a,Zánět průdušek prudký,698,613,34,1,-,-,2,10,38,-
99b,Zánět průdušek vleklý,512,19,16,1,3,10,20,105,338,-
99c,Zánět průdušek bez bližšího označení (pod 5 let),443,307,136,-,-,-,-,-,-,-
99d,Zánět průdušek bez bližšího označení (v 5 a více letech),553,-,-,7,2,8,17,82,437,-
100,Lalůčkový zánět plic včetně zánětu průdušinek,2292,1269,326,25,22,38,29,138,444,1
101a,Zánět plic lalokový,951,162,102,22,45,72,73,190,285,-
101b,Zánět plic bez bližšího označení,4108,1243,499,59,94,132,192,574,1315,-
102,Zánět pohrudnice,364,23,19,16,33,32,34,91,116,-
103,Překrvení nebo krvácení parenchymatosní plic,159,13,3,1,5,4,5,15,113,-
104,Sněť plicní,79,1,-,1,1,14,13,29,20,-
105,Záducha,365,1,2,-,-,4,15,105,238,-
106,Rozedma plic,1093,-,-,2,1,9,29,254,798,-
107,Ostatní choroby ústrojí dýchacího,58,2,5,1,3,5,5,16,21,-
,,,,,,,,,,,
VII,Choroby ústrojí zažívacího,7252,4414,331,144,192,319,382,738,732,-
108b,Choroby ústní dutiny a jejich adnex,14,8,3,1,-,2,-,-,-,-
109,Choroby hltanu nebo mandlí,81,11,14,15,8,12,7,7,7,-
110,Choroby jícnu,11,-,-,-,-,1,1,3,6,-
111a,Vřed žaludeční,426,2,1,2,15,94,92,153,67,-
111b,Vřed dvanácterníku,75,-,-,1,6,16,19,28,5,-
112,Jiné choroby žaludeční,50,1,-,1,-,4,4,8,32,-
113,Průjem a zánět střev (pod 2 roky),4525,4319,206,-,-,-,-,-,-,-
114,Průjem a zánět střev (nad 2 roky),247,-,48,26,12,16,13,32,100,-
115,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-
116,Choroby zaviněné intestinálními cizopasníky,-,-,-,-,-,-,-,-,-,-
117,Zánět červu a jeho okolí,340,1,22,54,74,59,48,52,30,-
118a,Kýla ,268,17,4,2,8,10,19,60,148,-
118b,Záhať střevní,233,20,6,13,11,24,24,60,75,-
119b,Jiné choroby střev,54,5,4,2,3,4,6,12,18,-
120,Prudká atrofie jater,33,-,-,2,6,6,6,8,5,-
121,Hydativní nádor jater,1,-,-,-,-,-,-,-,1,-
122a,Svraštění jater alkoholické,14,-,-,-,-,2,3,6,3,-
122b,Svraštění jater neoznačené jako alkoholické,382,-,2,-,2,18,70,190,100,-
123,Žlučové kaménky,56,-,-,1,1,2,12,20,20,-
124,Jiné choroby jater,166,1,5,1,9,11,22,53,64,-
125,Choroby mikteru,17,-,-,1,-,3,7,3,3,-
126,Zánět pobřišnice bez označení příčiny,259,29,16,22,37,35,29,43,48,-
,,,,,,,,,,,
VIII,Nevenerické choroby ústrojí urogenitálního a jejich adnex,2325,19,38,41,89,194,231,657,1056,-
128,Prudký zánět ledvin,91,16,28,19,9,1,4,11,3,-
129,Vleklý zánět ledvin,1505,-,7,20,77,180,205,549,467,-
130,Chylurie, -, -, -, -, -, -, -, -, -, -
131,Jiné choroby ledvin a jejich adnex,87,1,1,1,-,8,12,25,39,-
132,Močové kaménky,28,-,1,-,-,1,3,5,18,-
133,Choroby měchýře,169,2,-,1,1,3,4,12,146,-
134,Choroby močové roury,21,-,1,-,2,-,-,7,11,-
135,Choroby žlázy předstojné,423,-,-,-,-,1,3,48,371,-
136,Nevenerické choroby mužských pohlavních orgánů,1,-,-,-,-,-,-,-,1,-
137,Boubel a jiné nezhoubné nádory vaječníku,x,x,x,x,x,x,x,x,x,x
138,Zánět vejcovodu nebo vřed v pánvi,x,x,x,x,x,x,x,x,x,x
139,Nádory děložní,x,x,x,x,x,x,x,x,x,x
140,Nepuerperální krvácení z dělohy,x,x,x,x,x,x,x,x,x,x
141,Ostatní choroby rodidel,x,x,x,x,x,x,x,x,x,x
142,Nepuerperální choroby prsu,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,
IX,Puerperální stav,x,x,x,x,x,x,x,x,x,x
143a,Potrat ,x,x,x,x,x,x,x,x,x,x
143b,Mimoděložní těhotenství,x,x,x,x,x,x,x,x,x,x
143c,Jiné nehody těhotenské,x,x,x,x,x,x,x,x,x,x
144,Krvácení těhotných a v šestinedělí,x,x,x,x,x,x,x,x,x,x
145,Jiné nehody při porodu,x,x,x,x,x,x,x,x,x,x
146,Horečka omladnic,x,x,x,x,x,x,x,x,x,x
147,"Phlegmasia albadolens, embolie nebo náhlá smrt puerperální",x,x,x,x,x,x,x,x,x,x
148,Albuminurie nebo božec v šestinedělí,x,x,x,x,x,x,x,x,x,x
149,Následky porodu (bez bližšího označení),x,x,x,x,x,x,x,x,x,x
150,Puerperální choroby prsu,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,
X,Choroby kůže a vaziva,550,353,8,3,7,14,14,30,121,-
151,Sněť,98,3,1,-,-,5,6,15,68,-
152,Nežit,266,223,4,2,6,5,5,7,14,-
153,"Zánět podkožního vaziva, horečnatý vřed",64,40,2,1,1,3,-,4,13,-
155,Ostatní choroby kůže neb jejich adnex,122,87,1,-,-,1,3,4,26,-
,,,,,,,,,,,
XI,Choroby kostí a ústrojí pohybového,178,10,8,47,29,20,15,21,28,-
156,Choroby kostí,152,9,8,43,25,19,11,20,17,-
157,Choroby kloubů,20,1,-,4,2,1,2,1,9,-
158,Ostatní choroby kostí nebo ústrojí pohybového,6,-,-,-,2,-,2,-,2,-
,,,,,,,,,,,
XII,Zrůdnost vrozená,192,187,4,1,-,-,-,-,-,-
159,Zrůdnost vrozená,192,187,4,1,-,-,-,-,-,-
,,,,,,,,,,,
XIII,Raný věk,4130,4130,-,-,-,-,-,-,-,-
160b,"Vrozená slabost, žloutenka a skleroma",2390,2390,-,-,-,-,-,-,-,-
161,Předčasné narození nebo různé následky porodu,1420,1420,-,-,-,-,-,-,-,-
162,Ostatní zvláštní choroby raného věku,319,319,-,-,-,-,-,-,-,-
163,Nedostatek péče,1,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XIV,,6772,6,5,3,2,3,2,56,6694,1
164,Stáří,6738,-,-,-,-,-,-,47,6690,1
,,,,,,,,,,,
XV,Zevní příčiny ,5156,58,257,261,1209,1038,588,1032,701,12
SE,,2384,0,0,29,650,485,283,540,388,9
165,Sebevražda otravou jedy,70, -, -,1,20,20,9,17,3, -
166,Sebevražda otravou požitím žíravin,37, -, -, -,14,9,5,5,4, -
167,Sebevražda vdechováním jedovatých plynů,16, -, -, -,3,7,3,1,2, -
168,Sebevražda oběšením neb uškrcením,1280, -, -,17,209,221,177,367,284,5
169,Sebevražda utopením,137, -, -,1,25,25,19,38,27,2
170,Sebevražda zastřelením,556, -, -,3,258,149,48,68,28,2
171,Sebevražda nástroji řeznými neb bodnými,42, -, -, -,8,9,7,8,10, -
172,Sebevražda skokem s výše,10, -, -,1,2,2, -,3,2, -
173,Sebevražda rozdrcením,166, -, -,5,89,30,12,17,13, -
174,Sebevražda jiným způsobem,70, -, -,1,22,13,3,16,15, -
175,Otrava potravinami,14, -, -, -,1,5, -,7,1, -
176,Uštknutí neb štípnutí, -, -, -, -, -, -, -, -, -, -
177,Jiné prudké otravy náhodné (vyjma plyny),20, -,6, -,4,2,6,1,1, -
178,Úraz při požáru,12, -,1,1,2,3,3,1,1, -
179,Náhodné popálení (vyjma při požáru),151,10,82,9,10,14,6,9,10,1
180,Náhodné mechanické udušení (vyjma při požáru),57,7,7,5,6,14,1,9,8, -
181,Vdechování plynů nedýchatelných neb jedovatých,55,1,7,3,15,8,8,7,6, -
182,Náhodné utopení,473,5,89,112,147,40,25,31,24, -
183,Poranění střelnou zbraní,75, -,4,6,30,17,6,7,4,1
184,Poranění nástroji řeznými neb bodnými,24, -,2,4,2,2, -,10,4, -
185,Poranění pádem,126, -,4,7,25,19,15,31,25, -
186,Poranění v dolech neb lomech,125, -, -, -,22,62,21,18,2, -
187,Poranění stroji,24, -, -,1,5,8,8,2, -, -
DN,,302,0,11,22,53,92,43,49,32,0
188a,Poranění železnicemi a tramvajemi,144, -, -,3,25,51,30,21,14, -
188b,Poranění automobily,86, -,7,11,11,23,8,16,10, -
188c,Poranění motocykly,17, -, -,4,5,7, -,1, -, -
188d,Poranění aeroplány a balony,7, -, -, -,2,5, -, -, -, -
188,Poranění jinými dopravními prostředky,48, -,4,4,10,6,5,11,8, -
188f,Poranění jiným zhmožděním,513,1,13,26,88,116,70,133,66, -
189,Poranění způsobená zvířaty,26, -, -,4,3,3,1,9,6, -
192b,Hlad nebo žízeň, -, -, -, -, -, -, -, -, -, -
193,Přílišný chlad,61, -, -, -,1,4,13,32,10,1
194,Přílišný žár,3, -, -, -, -,1,1,1, -, -
195,Blesk,25, -,1, -,6,5,3,7,3, -
196,Jiné úrazy elektrickým proudem,71, -,1,4,31,27,5,3, -, -
NA,,262,33,23,17,44,51,31,40,23,0
197,Zabití střelnou zbraní,45,1,4,4,10,7,10,8,1, -
198,Zabití nástroji řeznými neb bodnými,32, -,4,1,7,10,4,4,2, -
199,Zabití jinými prostředky,36, -,3,6,2,8,5,10,2, -
200,Zabití dítěte do 1 roku,30,30, -, -, -, -, -, -, -, -
201c,Zlomeniny (bez bližšího označení),353,1,6,11,64,60,39,85,87, -
202a,Ostatní násilná zevní poranění,116,2,12,6,24,24,12,18,18, -
202b,Poprava legální,3, -, -, -,1,2, -, -, -, -
203,Násilná smrt neznáme příčiny,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XVI,Nemoci špatně definované,636,85,39,14,25,38,55,208,172,-
204,Náhlé úmrtí,5,1,-,-,-,1,1,1,1,-
205,Nemoci nespecifikované nebo špatně definované,631,84,39,14,25,37,54,207,171,-
