1930,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,72694,14210,2723,1981,3923,6244,5178,14240,24195,-
,,,,,,,,,,,
I,Nemoci epidemické a endemické,2558,609,681,677,128,143,75,129,116,-
1a,Tyf střevní,225,-,7,21,71,71,21,25,9,-
1b,Paratyfy,9,-,1,-,2,3,1,2,-,-
2,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-
3,Tyf zvratný,-,-,-,-,-,-,-,-,-,-
5a,Malarie,11,-,-,-,-,3,4,4,-,-
5b,Malarická sešlost,-,-,-,-,-,-,-,-,-,-
6,Neštovice,-,-,-,-,-,-,-,-,-,-
7,Spalničky,297,122,145,30,-,-,-,-,-,-
8,Spála,154,4,70,70,3,7,-,-,-,-
9,Zajíkavý kašel,338,251,81,5,1,-,-,-,-,-
10,Záškrt,924,51,336,525,5,2,2,2,1,-
11a,Chřipka s plicními komplikacemi,89,10,14,6,4,7,11,14,23,-
11b,Chřipka bez komplikací plic,110,45,9,5,7,6,10,13,15,-
13,Zánět příušnic,3,-,1,1,-,1,-,-,-,-
15,Choleroidní zánět střev,1,-,-,-,-,-,-,1,-,-
16,Úplavice,4,-,1,1,2,-,-,-,-,-
19,Spirochetosa ikterohaemor,2,-,1,1,-,-,-,-,-,-
21,Růže,279,106,7,2,8,18,15,58,65,-
22,Prudký zánět předních rohů míšních,9,2,3,1,1,1,-,1,-,-
23,Lethargův zánět střev,59,-,-,5,10,22,10,9,3,-
24,Epidemické ztrnutí šíje,36,12,4,3,14,2,1,-,-,-
25,Ostatní nemoci epidemické,8,6,1,1,-,-,-,-,-,-
,,,,,,,,,,,
II,Nemoci infekční,9477,489,353,334,1556,2537,1484,2023,701,-
26,Ozhřivka,-,-,-,-,-,-,-,-,-,-
27,Uhlák a sněť slezinná,1,-,-,-,-,-,-,1,-,-
28,Vzteklina,4,-,2,-,1,-,1,-,-,-
29,Ztrnutí ranné,156,41,10,30,15,17,11,21,11,-
30,Mykosy,8,-,-,-,1,-,2,2,3,-
31,Tuberkulosa ústrojí dýchacího,7807,133,121,112,1379,2360,1342,1781,579,-
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,495,94,159,122,50,38,19,11,2,-
33,Tuberkulosa střev neb pobřišnice ,133,7,9,13,25,19,19,32,9,-
34,Tuberkulosa obratlů,56,-,8,6,8,7,6,13,8,-
35,Tuberkulosa kloubů,47,-,2,9,5,4,2,10,15,-
36a,Tuberkulosa kůže nebo podkožního vaziva,8,-,2,-,-,1,-,4,1,-
36b,Tuberkulosa kostí,74,-,4,9,17,4,4,19,17,-
36c,Tuberkulosa lymfatického systému,23,5,4,2,3,1,4,-,4,-
36d,Tuberkulosa ústrojí urogenitálního,26,-,2,-,4,9,3,6,2,-
36,Tuberkulosa jiných orgánů,13,-,3,-,-,1,1,6,2,-
37a,Tuberkulosa prudká,50,9,13,11,16,1,-,-,-,-
37b,Tuberkulosa vleklá,1,-,-,-,-,-,-,1,-,-
37c,Tuberkulosa bez bližšího označení,54,-,-,-,-,18,13,14,9,-
38,Příjice,210,64,4,1,5,31,35,60,10,-
40,Kapavka,4,3,-,-,1,-,-,-,-,-
41,Otrava krve,307,133,10,19,26,26,22,42,29,-
42,Ostatní nemoci a infekční,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
RA,,7001,13,14,26,49,231,552,2784,3332,0
KR,,120,5,5,4,9,10,26,44,17,0
EN,,844,,,,,,,,,
DU,,197,0,0,2,6,27,30,84,48,0
III,Celkové nemoci výše nejmenované,8127,150,65,59,97,314,671,3114,3657,-
43,Rakovina neb jiné zhoubné nádory dutiny ústní,201,-,1,1,1,5,13,74,106,-
44,"Rakovina neb jiné zhoubné nádory žaludku, jater",4443,-,-,-,1,88,305,1894,2155,-
45,"Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku",899,2,1,1,6,37,62,326,464,-
46,Rakovina neb jiné zhoubné nádory rodidel,x,x,x,x,x,x,x,x,x,x
47,Rakovina neb jiné zhoubné nádory prsu,3,-,-,-,-,-,-,1,2,-
48,Rakovina neb jiné zhoubné nádory kůže,96,-,-,-,-,2,6,25,63,-
49,Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených,1061,1,4,6,23,52,130,384,461,-
50,"Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná",165,8,3,4,7,22,16,42,63,-
51,Prudký horečatý hostec kloubní,19,1,2,8,1,4,1,2,-,-
52,"Vleklý hostec, dna",84,-,-,1,4,2,9,19,49,-
53,Kurděje,1,-,-,-,1,-,-,-,-,-
56,Křivice,113,72,36,3,2,-,-,-,-,-
57,Cukrovka,534,1,2,10,21,38,56,190,216,-
59,Nedokrevnost zhoubná,94,2,4,1,6,8,19,41,13,-
58a,Jiné nedokrevnosti a blednička,19,3,1,2,1,1,6,2,3,-
58b,Nemoci hypophysy,3,-,-,-,-,2,1,-,-,-
60a,Basedowova nemoc,11,-,-,-,-,3,3,4,1,-
60b,Jiná onemocnění štítné žlázy,16,-,-,-,5,2,2,4,3,-
61,Nemoci žlázek přištítných,27,24,3,-,-,-,-,-,-,-
62,Nemoci brzlíku,21,17,2,2,-,-,-,-,-,-
63,Nemoci nadledvinek (nemoc Addisonova),15,-,-,2,1,4,3,3,2,-
64,Nemoci sleziny,7,-,-,1,2,1,1,1,1,-
65,Bělokrevnost neb Hodgkinova nemoc,133,2,5,14,11,25,20,38,18,-
66,Alkoholismus,126,-,-,-,1,14,17,60,34,-
67,Vleklé otravy nerostnými látkami,2,-,-,-,-,-,-,1,1,-
68,Vleklé otravy ústrojnými látkami,1,-,-,-,-,1,-,-,-,-
69,Ostatní celkové nemoci,33,17,1,3,3,3,1,3,2,-
,,,,,,,,,,,
