1928,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,74569,15023,2969,1852,4222,6022,5337,14172,24962,10
,,,,,,,,,,,
I,Nemoci epidemické a endemické,2110,494,552,417,196,139,66,110,136,-
1a,Tyf střevní,253,-,11,27,93,71,21,22,8,-
1b,Paratyfy,9,-,1,-,4,1,1,1,1,-
2,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-
3,Tyf zvratný,-,-,-,-,-,-,-,-,-,-
5a,Malarie,7,-,-,-,-,3,3,1,-,-
5b,Malarická sešlost,-,-,-,-,-,-,-,-,-,-
6,Neštovice,-,-,-,-,-,-,-,-,-,-
7,Spalničky,188,79,93,16,-,-,-,-,-,-
8,Spála,184,2,80,85,12,5,-,-,-,-
9,Zajíkavý kašel,278,198,78,1,1,-,-,-,-,-
10,Záškrt,541,39,237,259,4,-,-,-,2,-
11a,Chřipka s plicními komplikacemi,160,47,16,9,10,7,7,25,39,-
11b,Chřipka bez komplikací plic,130,22,13,5,21,12,7,17,33,-
13,Zánět příušnic,8,4,1,2,-,-,-,-,1,-
15,Choleroidní zánět střev,2,-,1,-,-,-,1,-,-,-
16,Úplavice,7,1,2,-,-,-,2,-,2,-
19,Spirochetosa ikterohaemor,3,-,-,-,1,1,1,-,-,-
21,Růže,219,89,10,2,5,18,14,35,46,-
22,Prudký zánět předních rohů míšních,9,2,-,3,2,1,1,-,-,-
23,Lethargův zánět střev,74,1,6,5,24,19,7,8,4,-
24,Epidemické ztrnutí šíje,33,7,1,3,19,1,1,1,-,-
25,Ostatní nemoci epidemické,5,3,2,-,-,-,-,-,-,-
,,,,,,,,,,,
II,Nemoci infekční,9983,537,464,414,1660,2610,1581,1995,722,-
26,Ozhřivka,-,-,-,-,-,-,-,-,-,-
27,Uhlák a sněť slezinná,2,-,-,-,-,-,-,-,2,-
28,Vzteklina,1,-,-,-,-,1,-,-,-,-
29,Ztrnutí ranné,183,43,11,40,20,16,20,23,10,-
30,Mykosy,-,-,-,-,-,-,-,-,-,-
31,Tuberkulosa ústrojí dýchacího,8111,163,159,137,1460,2423,1433,1742,594,-
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,567,90,222,146,49,37,7,13,3,-
33,Tuberkulosa střev neb pobřišnice ,144,11,20,11,26,22,18,22,14,-
34,Tuberkulosa obratlů,66,-,2,6,13,12,7,14,12,-
35,Tuberkulosa kloubů,43,-,3,6,8,3,4,13,6,-
36a,Tuberkulosa kůže nebo podkožního vaziva,7,2,-,1,-,1,-,1,2,-
36b,Tuberkulosa kostí,109,1,9,10,20,13,7,29,20,-
36c,Tuberkulosa lymfatického systému,26,6,9,4,3,1,-,1,2,-
36d,Tuberkulosa ústrojí urogenitálního,24,-,1,1,2,9,6,4,1,-
36,Tuberkulosa jiných orgánů,18,1,-,-,2,2,2,4,7,-
37a,Tuberkulosa prudká,65,8,13,18,23,3,-,-,-,-
37b,Tuberkulosa vleklá,1,-,-,-,-,1,-,-,-,-
37c,Tuberkulosa bez bližšího označení,55,-,-,-,-,12,17,20,6,-
38,Příjice,224,84,4,4,3,27,35,57,10,-
40,Kapavka,3,1,-,-,1,1,-,-,-,-
