1943,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,48220,6408,1381,1161,1716,1862,2734,3737,6157,10051,13012,1
,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,6795,459,621,598,971,873,877,773,742,626,255,-
1,Tyf břišní,126,-,8,12,37,18,21,14,8,6,2,-
2,Paratyf,7,1,-,-,1,1,2,-,-,2,-,-
3,Mor,-,-,-,-,-,-,-,-,-,-,-,-
4,Cholera,-,-,-,-,-,-,-,-,-,-,-,-
5,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-
6,Epidemický zánět plen mozkových a míšních,12,6,1,3,1,-,1,-,-,-,-,-
7,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-
8,Spála,260,15,140,85,10,4,2,3,1,-,-,-
9,Kašel zádušný,105,79,23,3,-,-,-,-,-,-,-,-
10,Záškrt,700,60,272,277,68,8,4,5,4,1,1,-
11,Růže,116,35,2,2,2,7,8,8,13,18,21,-
12,Ztrnutí (tetanus),62,22,-,4,1,3,6,7,6,10,3,-
13,Tuberkulosa ústrojí dýchacího,4014,18,52,102,743,774,718,586,520,404,97,-
14a,Tuberkulosa plen a ústřední soustavy nervové: plen mozkových,174,22,52,47,27,10,4,4,7,1,-,-
14b,Tuberkulosa plen a ústřední soustavy nervové: jiných míst,1,-,-,1,-,-,-,-,-,-,-,-
15a,Tuberkulosa střev a pobřišnice: střev,29,-,1,4,3,5,4,5,3,4,-,-
15b,Tuberkulosa střev a pobřišnice: jiných míst,37,-,-,7,10,2,4,6,3,3,2,-
16,Tuberkulosa páteře,76,-,-,-,4,1,6,14,24,21,6,-
17,Tuberkulosa kostí a kloubů (vyjma páteře),111,1,1,1,6,4,4,7,20,35,32,-
18,Tuberkulosa kůže a podkožního vaziva,12,-,-,-,-,-,1,1,1,8,1,-
19,Tuberkulosa soustavy mízní,7,1,1,-,1,1,1,-,-,1,1,-
20,Tuberkulosa ústrojí močového a pohlavního,6,-,-,-,1,-,2,1,1,1,-,-
21a,Addisonova nemoc tuberkulosního původu,-,-,-,-,-,-,-,-,-,-,-,-
21b,Addisonova nemoc tuberkulosního původu ostatních orgánů,6,1,-,-,-,-,-,-,2,2,1,-
22,Tuberkulosa miliární,66,10,9,10,21,2,2,3,7,2,-,-
24a,Otrava krve,180,74,2,9,11,8,19,10,13,19,15,-
24b,Sněť plynová,1,-,-,-,-,-,-,-,-,1,-,-
25,Kapavka,2,1,-,-,1,-,-,-,-,-,-,-
26,Jiné nemoci způsobené mikroby (vyjma úplavici),-,-,-,-,-,-,-,-,-,-,-,-
27,Úplavice,14,-,2,-,-,1,4,1,4,-,2,-
28,Střídavka (malarie),-,-,-,-,-,-,-,-,-,-,-,-
29,Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami),-,-,-,-,-,-,-,-,-,-,-,-
30a,Příjice: úbyt míchy (tabes dorsalis),35,-,-,-,-,1,4,8,12,6,4,-
30b,Příjice: postupná obrna povšechná (progresivní paralysa),86,-,-,-,2,2,17,31,23,8,3,-
30c,Příjice: výduť srdečnice (aneurysma aorty),60,-,-,-,-,1,3,11,13,19,13,-
30d,Příjice: příjice vrozená,24,22,-,1,-,1,-,-,-,-,-,-
