1949,Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,1599,26,59,43,31,20,70,164,147,219,250,219,181,133,35,2
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,48,1,2,1,-,1,2,7,3,8,7,4,4,5,1,2
E800,Úrazy na železnicích postihující železniční zaměstnance,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
E801,Úrazy na železnicích postihující cestující,12,1,-,-,-,1,1,5,-,1,1,-,-,-,-,2
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,34,-,2,1,-,-,1,2,3,6,5,4,4,5,1,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,155,-,2,3,5,5,17,29,17,17,15,11,23,11,-,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,7,-,-,-,-,-,-,3,2,1,-,1,-,-,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,75,-,1,2,4,4,14,5,3,6,4,6,19,7,-,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E818,Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E819,Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E820,Dopravní úraz motorovými vozidly během sestupování a nastupování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E821,"Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku",1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E822,Dopravní úraz motorovými vozidly při převrhnutí na silnici,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
E823,Dopravní úraz motorovými vozidly při vybočení ze silnice,3,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-
E824,Jiný dopravní úraz motorovými vozidly bez srážky,14,-,-,-,-,-,-,5,-,3,4,-,1,1,-,-
