1919,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-9,10-14,15-19,20-29,30-39,40-59,60-79,80+,Nezjiš- těno
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,85973,15547,4359,2310,1501,3430,6487,5495,16018,25358,5328,140
,,,,,,,,,,,,,
I,Nemoci epidemické a  endemické,4728,645,833,506,203,321,552,462,701,474,28,3
1a,Tyf střevní,414,2,4,27,45,88,87,61,71,27,2,-
1b,Paratyfy,12,-,1,2,-,2,-,4,3,-,-,-
2,Tyf skvrnitý,132,-,-,1,-,-,47,52,28,4,-,-
3,Tyf zvratný,3,-,-,-,-,-,2,1,-,-,-,-
5a,Malarie,147,-,-,-,-,3,68,49,27,-,-,-
5b,Malarická sešlost,14,-,-,-,-,-,7,5,2,-,-,-
6,Neštovice,716,139,180,154,39,32,33,34,76,27,1,1
7,Spalničky,235,60,131,39,4,-,-,-,-,1,-,-
8,Spála,55,5,29,16,3,-,-,-,2,-,-,-
9,Zajíkavý kašel,356,228,121,4,1,-,-,-,1,1,-,-
10,Záškrt,349,40,201,87,13,5,-,1,1,-,1,-
11a,Chřipka s plicními komplikacemi,683,30,27,17,15,65,136,122,150,114,7,-
11b,Chřipka bez komplikací plic,894,83,68,56,26,81,101,82,204,181,10,2
13,Zánět příušnic,1,1,-,-,-,-,-,-,-,-,-,-
15,Choleroidní zánět střev,3,-,-,-,1,1,-,1,-,-,-,-
16,Úplavice,500,12,68,93,48,29,54,35,94,66,1,-
19,Spirochetosa ikterohaemor,-,-,-,-,-,-,-,-,-,-,-,-
21,Růže,180,42,3,1,1,9,13,14,39,52,6,-
22,Prudký zánět předních rohů míšních,-,-,-,-,-,-,-,-,-,-,-,-
23,Lethargův zánět střev,-,-,-,-,-,-,-,-,-,-,-,-
24,Epidemické ztrnutí šíje,34,3,-,9,7,6,4,1,3,1,-,-
25,Ostatní nemoci epidemické,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
II,Nemoci  infekční,17064,595,717,649,513,1908,3636,2604,4558,1825,44,15
26,Ozhřivka,5,-,-,-,-,1,3,-,-,1,-,-
27,Uhlák a sněť slezinná,2,-,-,-,-,-,-,-,1,1,-,-
28,Vzteklina,14,-,2,3,2,-,3,1,2,1,-,-
29,Ztrnutí ranné,190,73,4,24,17,12,10,9,30,11,-,-
30,Mykosy,6,-,-,-,-,-,1,-,3,2,-,-
31,Tuberkulosa ústrojí dýchacího,14526,312,454,362,297,1666,3368,2385,4085,1546,36,15
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,628,53,164,142,65,59,53,34,46,11,1,-
33,Tuberkulosa střev neb pobřišnice ,288,3,28,31,19,31,35,37,76,28,-,-
34,Tuberkulosa obratlů,79,2,6,9,10,8,10,6,15,13,-,-
35,Tuberkulosa kloubů,68,2,-,5,11,6,12,4,19,9,-,-
36a,Tuberkulosa kůže nebo podkožního vaziva,69,13,17,5,8,8,4,3,3,7,1,-
36b,Tuberkulosa kostí,298,5,14,25,29,31,39,25,64,64,2,-
36c,Tuberkulosa lymfatického systému,26,3,3,5,1,-,5,1,5,3,-,-
36d,Tuberkulosa ústrojí urogenitálního,9,-,-,-,1,2,2,-,4,-,-,-
36,Tuberkulosa jiných orgánů,26,1,2,-,2,5,4,2,10,-,-,-
37a,Tuberkulosa prudká,90,10,7,16,12,23,22,-,-,-,-,-
37b,Tuberkulosa vleklá,15,-,-,-,1,-,-,4,7,3,-,-
37c,Tuberkulosa bez bližšího označení,77,-,1,1,1,3,9,22,32,8,-,-
38,Příjice,68,40,1,2,-,1,3,4,15,2,-,-
40,Kapavka,2,-,-,-,-,-,1,-,-,1,-,-
41,Otrava krve,568,73,13,19,36,52,52,67,138,114,4,-
42,Ostatní nemoci epidemické a infekční,10,5,1,-,1,-,-,-,3,-,-,-
,,,,,,,,,,,,,
RA,,4716,13,6,15,9,17,33,125,1827,2569,101,1
KR,,96,4,7,2,1,1,8,10,35,28,0,0
EN,,841,143,231,26,28,22,36,44,141,165,4,1
DU,,119,0,0,1,0,4,13,13,51,36,0,1
III,Celkové nemoci výše nejmenované,5782,163,252,47,39,42,91,191,2053,2796,105,3
