1939,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,45651,4465,1098,1035,1310,2125,2517,3574,6159,23367,1
,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,5685,352,419,557,693,906,691,533,628,906,-
1,Tyf břišní,108,-,4,18,24,21,18,10,11,2,-
2,Paratyfy,8,1,-,1,2,2,1,-,-,1,-
3,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-,-
5,"Horečka vlnitá, maltská",1,-,-,-,-,-,-,1,-,-,-
6,Neštovice pravé,-,-,-,-,-,-,-,-,-,-,-
7,Spalničky,107,44,48,14,-,-,-,-,1,-,-
8,Spála,82,3,41,32,1,3,1,-,1,-,-
9,Kašel zádušný,109,82,25,2,-,-,-,-,-,-,-
10,Záškrt,449,19,131,262,31,-,2,1,1,2,-
11a,Chřipka neboli influenza s komplikacemi dýchadel,251,36,7,3,5,8,10,12,28,142,-
11b,Chřipka neboli influenza bez údaje takových komplikací,187,21,8,8,2,6,2,2,21,117,-
13a,Úplavice střevní amoebová,-,-,-,-,-,-,-,-,-,-,-
13b,Úplavice střevní bacilární,1,-,-,-,-,1,-,-,-,-,-
13c,Úplavice střevní nerozlišená nebo z jiné příčiny,4,-,-,1,-,-,-,-,-,3,-
15,Růže,94,20,2,1,-,4,4,13,12,38,-
16,Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové,61,4,16,17,10,6,4,1,2,1,-
17,Zánět mozku lethargický neboli epidemický,26,-,1,2,2,6,9,2,4,-,-
18,Epidemický zánět plen mozkových a míšních,59,7,18,17,3,3,4,3,3,1,-
19,Ozhřivka ,-,-,-,-,-,-,-,-,-,-,-
20,Uhlák,-,-,-,-,-,-,-,-,-,-,-
21,Vzteklina,-,-,-,-,-,-,-,-,-,-,-
