1953,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,4752,98,52,62,45,52,226,667,660,649,798,545,442,369,87,-
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,255,-,1,1,2,1,8,37,47,55,55,27,11,9,1,-
E800,Úrazy na železnicích postihující železniční zaměstnance,107,-,-,-,-,-,-,2,18,34,38,13,2,-,-,-
E801,Úrazy na železnicích postihující cestující,66,-,-,-,-,-,6,27,11,5,10,4,1,2,-,-
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,82,-,1,1,2,1,2,8,18,16,7,10,8,7,1,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,459,-,3,7,6,6,32,104,103,74,49,35,21,17,2,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,13,-,-,-,-,-,-,3,1,5,2,2,-,-,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,122,-,3,7,5,5,24,5,9,9,13,14,15,12,1,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,7,-,-,-,-,-,-,3,-,-,-,2,1,1,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,7,-,-,-,-,-,-,-,3,1,3,-,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,27,-,-,-,-,-,-,5,9,8,3,2,-,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E818,Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty,3,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-
E819,Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými,11,-,-,-,-,-,-,5,1,3,2,-,-,-,-,-
E820,Dopravní úraz motorovými vozidly během sestupování a nastupování,4,-,-,-,-,-,1,-,-,-,1,1,-,1,-,-
E821,"Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku",39,-,-,-,-,-,-,17,14,5,2,-,1,-,-,-
E822,Dopravní úraz motorovými vozidly při převrhnutí na silnici,6,-,-,-,-,-,-,3,2,-,-,1,-,-,-,-
E823,Dopravní úraz motorovými vozidly při vybočení ze silnice,8,-,-,-,-,-,-,2,5,1,-,-,-,-,-,-
E824,Jiný dopravní úraz motorovými vozidly bez srážky,17,-,-,-,1,-,-,2,5,3,3,2,-,1,-,-
E825,Dopravní úraz motorovými vozidly neurčené povahy,191,-,-,-,-,1,6,56,52,38,20,11,4,2,1,-
,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly nedopravní,100,-,2,-,1,2,4,32,26,13,11,3,4,2,-,-
E830,Nedopravní úraz motorovými vozidly  způsobený chodcům,7,-,-,-,-,1,-,1,1,-,2,1,-,1,-,-
