1968,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,,,,,,,,
MKN (1966),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,,,,
VN,"Úrazy, otravy a násilí (vnější příčina)",5887,49,23,16,21,28,110,106,438,692,426,334,338,364,371,321,493,442,366,312,274,222,141
,,,,,,,,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,235,-,-,-,1,-,1,4,23,35,24,11,14,22,13,15,31,6,14,9,6,4,2
E800,Srážka se železničními vozidly v pohybu,14,-,-,-,-,-,-,-,1,1,-,1,-,3,3,1,3,1,-,-,-,-,-
E801,Náraz na nepohyblivý předmět,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
E802,Vykolejení bez předchozí srážky ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E803,"Výbuch, oheň, popálení",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E804,Pád ve vlaku nebo z vlaku,15,-,-,-,-,-,-,-,1,6,1,-,1,1,-,-,4,1,-,-,-,-,-
E805,Zachycení železničním vozidlem v pohybu,151,-,-,-,1,-,1,3,17,24,15,6,8,13,6,12,18,3,10,6,5,2,1
E806,Jiný blíže popsaný úraz  na železnici,8,-,-,-,-,-,-,-,-,1,1,2,-,1,1,-,1,-,-,-,-,-,1
E807,Úraz na železnici NS,44,-,-,-,-,-,-,1,4,2,5,2,5,4,3,2,5,1,4,3,1,2,-
,,,,,,,,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,1622,-,2,2,5,11,58,27,202,293,147,86,92,84,99,76,122,95,81,53,39,31,17
E810,Srážka motorového vozidla s vlakem,17,-,-,-,-,-,-,-,-,-,2,5,2,2,3,-,3,-,-,-,-,-,-
E811,Srážka motorového vozidla s vozem pouliční dráhy,3,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-
E812,Jiná srážka motorového vozidla s jiným motorovým vozidel,199,-,-,-,1,1,2,1,33,42,23,9,15,11,17,11,12,7,6,4,2,1,1
E813,Srážka motorového vozidla s jiným vozidlem,96,-,-,-,-,-,1,6,6,16,2,9,7,3,8,6,10,7,9,3,1,2,-
E814,Srážka motorového vozidla s chodcem,446,-,1,1,3,10,45,13,23,26,22,13,14,16,17,21,54,43,42,28,23,21,10
E815,Náraz motorového vozidla na nepohyblivý předmět ,142,-,-,-,1,-,-,1,25,51,24,9,4,5,4,4,4,6,2,1,1,-,-
E816,Úraz beze srážky následkem ztráty vlády nad vozidlem,81,-,-,-,-,-,-,-,15,24,13,2,2,8,7,-,6,1,-,2,-,1,-
E817,Úraz motorovým vozidlem při nastupování nebo vystupování,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-
E818,Jiný úraz motorovým vozidlem beze srážky,131,-,1,-,-,-,3,2,28,25,12,12,5,8,7,7,8,6,2,2,2,-,1
E819,Úraz motorovým vozidlem NS,504,-,-,1,-,-,7,4,72,108,47,27,43,31,36,26,25,25,19,13,9,6,5
,,,,,,,,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly mimo dopravu,36,-,1,-,-,-,-,-,5,4,6,5,4,1,3,2,-,4,1,-,-,-,-
E820,Srážka s pohybujícím se předmětem mimo dopravu,5,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,1,-,-,-,-,-
E821,Náraz na nepohyblivý předmět mimo dopravu,3,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-
E822,Úraz při nastupování nebo vystupování mimo dopravu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E823,Jiný nebo NS úraz mimo dopravu,28,-,1,-,-,-,-,-,5,1,4,5,3,-,3,2,-,3,1,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D4,Jiné úrazy silničními vozidly,73,-,-,-,-,-,1,4,3,3,2,1,1,3,6,8,17,9,5,4,3,3,-
E825,"Úraz pouliční drahou, mimo srážku s motorovým vozidlem",20,-,-,-,-,-,-,1,-,2,2,-,1,1,2,1,5,2,-,1,1,1,-
E826,"Úraz jízdním kolem ,  mimo srážku s motorovým vozidlem nebo tramvají",42,-,-,-,-,-,1,3,3,1,-,1,-,1,4,5,9,6,3,1,2,2,-
E827,Úraz způsobený jiným silničním vozidlem bez motoru,11,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,3,1,2,2,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E830,"Srážka, ztroskotání, převržení mající za následek potopení ",1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E831,"Srážka, ztroskotání, převržení bez potopení ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E832,Jiné potopení nebo utonutí při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E833,Pád na schodech nebo ze žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Jiný pád s výšky  při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E835,Jiný a NS pád při vodní dopravě,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E836,Úraz u stroje při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E837,"Výbuch, oheň, popálení při vodní dopravě",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E838,Jiný nebo NS úraz při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
D6,Úrazy při dopravě vzduchem a mimovzdušným prostorem,14,-,-,-,-,-,-,-,-,2,3,1,2,2,2,1,1,-,-,-,-,-,-
E840,Nehoda motorového letadla při stratu nebo přistávání,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
E841,Jiná nebo NS nehoda motorového letadla,10,-,-,-,-,-,-,-,-,2,1,-,1,2,2,1,1,-,-,-,-,-,-
E842,Nehoda letadla bez motoru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E843,"Pád v letadle, na letadle  nebo z letadla",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E844,Jiný blíže psaný úraz při dopravě vzduchem,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
E845,Nehoda kosmické lodi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E846,Úraz při dopravě vzduchem ne prostorem NS,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Náhodné otravy léky a drogami,8,-,-,1,-,-,-,-,-,3,-,-,1,-,2,-,-,-,-,1,-,-,-
E850,Antibiotiky a jinými prostředky proti infekcím,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E851,Hormony a jejich syntetickými náhradami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E852,Látkami primárně působícími na celý organismus a složky krve,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Analgetiky a antipyretiky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Sedativy a hypnotiky,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-
E855,Léky působícími primárně na nervovou soustavu a psychofarmaky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E856,Jinými ataraktiky a stimulaci CNS,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E857,Látkami působícími na ústrojí oběhu krevního,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E858,Léky působícími na ústrojí trávicí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E859,Náhodné otravy jinými léčivy,5,-,-,1,-,-,-,-,-,1,-,-,1,-,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Náhodné otravy jinými pevnými nebo tekutými látkami,67,-,-,-,1,2,2,2,2,8,7,3,5,7,8,4,6,5,2,-,2,-,1
E860,Alkohol,38,-,-,-,-,-,-,-,1,6,6,3,4,5,5,-,1,5,1,-,1,-,-
E861,Čisticí a lešticí prostředky,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E862,Dezinfekční  prostředky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E863,Barvy atd.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E864,Výrobky z ropy a  jiná rozpustidla ,3,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-
E865,"Pesticidy, umělá hnojiva, prostředky pro výživu rostlin",1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E866,Těžké kovy a jejich páry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E867,Žíravé a leptavé látky nezařaditelné jinam,6,-,-,-,-,-,-,-,-,1,-,-,1,-,1,2,1,-,-,-,-,-,-
E868,Škodlivé potraviny a jedovaté rostliny,10,-,-,-,1,1,2,2,-,-,-,-,-,-,-,1,1,-,1,-,1,-,-
E869,Jiné a NS látky pevné a tekuté,8,-,-,-,-,1,-,-,-,1,-,-,-,1,1,1,3,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Náhodné otravy plyny a parami,256,2,1,2,1,1,1,4,11,16,14,12,10,10,20,12,18,23,21,27,31,12,7
E870,Plyn rozváděný potrubím,210,1,-,2,-,-,1,1,9,12,11,10,6,6,15,10,15,19,20,26,28,11,7
E871,Zkapalněný plyn z ropy rozvážený v přenosných nádobách,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E872,Jiný užitkový plyn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E873,Výfukový plyn motorových vozidel,12,-,-,-,-,-,-,-,-,3,1,-,2,2,3,1,-,-,-,-,-,-,-
E874,Kysličník uhelnatý z neúplného spalování domácích paliv,27,1,1,-,1,-,-,1,1,1,2,1,2,2,2,-,3,3,1,1,3,1,-
E875,Kysličník uhelnatý vzniklý jiným způsobem,5,-,-,-,-,1,-,-,1,-,-,1,-,-,-,1,-,1,-,-,-,-,-
E876,Jiné plyny a páry,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E877,Plyny a páry NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Náhodné pády,676,4,1,-,1,-,9,6,9,30,12,15,13,20,13,21,49,56,54,76,101,105,81
E880,Pád na schodech nebo se schodů nebo stupňů,52,-,-,-,-,-,-,-,2,2,2,1,3,2,2,2,7,5,5,8,4,6,1
E881,Pád na žebříku nebo se žebříku nebo lešení,26,-,-,-,-,-,-,-,-,1,-,3,2,1,1,-,5,3,2,4,3,-,1
E882,Pád z budovy nebo jiné stavby,52,-,-,-,1,-,3,2,-,11,3,4,2,4,-,4,4,6,3,1,3,1,-
E883,Pád do jámy nebo jiného otvoru v půdě,20,-,-,-,-,-,-,1,3,5,-,1,3,-,-,1,1,2,1,-,1,1,-
E884,Jiný pád s jedné úrovně na jinou,116,3,1,-,-,-,3,2,4,8,3,4,2,9,7,8,15,15,8,10,7,5,2
E885,"Pád na rovině následkem uklouznutí, zakopnutí nebo klopýtnutí",261,-,-,-,-,-,1,-,-,1,1,1,1,2,2,3,9,16,20,29,61,59,55
E886,Pád na rovině následkem srážky s jinou osobou,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
E887,Jiný pád na rovině a pád NS,147,1,-,-,-,-,2,1,-,2,3,1,-,2,1,3,8,9,15,23,22,33,21
,,,,,,,,,,,,,,,,,,,,,,,,
,Úrazy způsobené ohněm,60,1,-,3,2,1,-,4,3,1,1,4,1,1,3,3,5,4,5,8,2,4,4
E890,Požár v obytném domě,11,-,-,-,1,-,-,-,2,-,-,1,-,-,1,-,-,-,1,4,1,-,-
E891,Požár v jiné budově nebo stavbě,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E892,Požár mimo budovy a stavby,4,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E893,Vznícení oděvu,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E894,Vznícení vysoce vznětlivých hmot,8,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,2,-,1,1,-,-,-
E895,Kontrolovaný oheň v obytném domě,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1
E896,Kontrolovaný oheň v jiné budově nebo stavbě,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E897,Kontrolovaný oheň mimo budovy a stavby,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
E898,Jiné blíže popsané ohně ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,1
E899,Oheň NS ,24,1,-,2,1,1,-,1,1,-,-,2,1,1,2,1,1,2,1,2,-,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
,Úrazy způsobené přírodními vlivy nebo vlivy životního prostředí,55,-,1,-,-,-,-,1,5,5,-,1,2,5,5,2,8,11,5,1,1,1,1
E900,Účinky horka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E901,Účinky chladu,26,-,-,-,-,-,-,-,1,2,-,-,-,4,4,1,5,6,2,-,1,-,-
E902,Účinky tlaku vzduchu ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E903,Účinky pohybu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E904,"Účinky hladu, žízně, jiného strádání a nedostatku péče",1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E905,Kousnutí nebo bodnutí jedovatými  zvířaty nebo hmyzem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E906,Jiné úrazy způsobené zvířaty,10,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,3,2,1,-,1,-
E907,Blesk,7,-,-,-,-,-,-,1,-,1,-,-,-,-,1,1,1,2,-,-,-,-,-
E908,Přírodní katastrofa,5,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E909,Jiné,6,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2,-,1,-,-,-,1
,,,,,,,,,,,,,,,,,,,,,,,,
,Jiné úrazy,712,36,13,8,10,12,35,32,59,84,47,40,45,40,34,44,55,48,31,17,12,7,3
E910,Tonutí a utonutí,234,-,8,6,7,6,25,14,27,28,13,7,9,11,10,4,17,13,14,9,2,3,1
E911,Dušení vdechnutím nebo polknutím potravy,45,21,-,1,-,1,-,-,-,-,-,-,-,1,2,2,6,4,2,2,3,-,-
E912,Dušení vdechnutím nebo polknutím jiného předmětu,8,3,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-
E913,Náhodné mechanické zadušení,20,10,2,-,-,1,2,-,-,1,-,-,1,1,-,-,-,1,1,-,-,-,-
E914,Vniknutí cizího tělesa do oka nebo jeho adnex,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E915,Vniknutí cizího tělesa do jiného otvoru těla,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-
E916,Udeření padajícím předmětem,129,-,-,-,2,2,3,3,8,19,12,12,17,12,7,10,13,6,2,1,-,-,-
E917,Náraz na předmět nebo udeření předmětem ,16,-,-,-,-,-,1,-,2,-,-,2,2,1,1,2,2,2,1,-,-,-,-
E918,Zachycení v předmětech nebo mezi nimi,10,-,-,-,-,-,1,-,1,2,-,-,1,-,-,3,-,1,-,-,-,1,-
E919,"Přepětí, namožení",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E920,Zranění  řeznými nebo bodnými nástroji,11,-,-,-,-,-,-,-,-,2,2,1,1,1,-,-,1,3,-,-,-,-,-
E921,Výbuchy tlakových nádob,13,-,-,-,-,-,-,-,1,3,3,3,1,1,-,1,-,-,-,-,-,-,-
