1922,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-9,10-14,15-19,20-29,30-39,40-59,60-79,80+,Nezjiš- těno
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,81258,16953,3429,910,1105,1851,4988,4682,12454,27369,7492,25
,,,,,,,,,,,,,
I,Nemoci epidemické a endemické,2504,684,541,95,72,94,178,149,285,359,46,1
1a,Tyf střevní,267,1,4,7,18,38,67,59,59,13,1,-
1b,Paratyfy,4,-,-,-,-,1,1,-,2,-,-,-
2,Tyf skvrnitý,2,-,-,-,-,-,-,1,1,-,-,-
3,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-
5a,Malarie,1,-,-,-,-,-,-,-,1,-,-,-
5b,Malarická sešlost,-,-,-,-,-,-,-,-,-,-,-,-
6,Neštovice,3,1,2,-,-,-,-,-,-,-,-,-
7,Spalničky,199,79,106,8,2,2,1,-,1,-,-,-
8,Spála,195,22,94,40,16,6,12,2,3,-,-,-
9,Zajíkavý kašel,553,374,173,3,1,-,1,-,-,-,1,-
10,Záškrt,134,31,78,15,4,-,2,2,2,-,-,-
11a,Chřipka s plicními komplikacemi,320,33,30,3,5,13,34,26,62,101,13,-
11b,Chřipka bez komplikací plic,541,74,39,13,16,23,39,38,90,184,25,-
13,Zánět příušnic,5,-,-,-,2,-,-,-,2,1,-,-
15,Choleroidní zánět střev,2,-,-,-,-,-,-,-,-,2,-,-
16,Úplavice,37,3,7,1,1,3,4,3,5,9,1,-
19,Spirochetosa ikterohaemor,-,-,-,-,-,-,-,-,-,-,-,-
21,Růže,154,61,2,-,2,3,10,10,24,37,5,-
22,Prudký zánět předních rohů míšních,-,-,-,-,-,-,-,-,-,-,-,-
23,Lethargův zánět střev,70,3,2,2,3,5,7,7,29,11,-,1
24,Epidemické ztrnutí šíje,17,2,4,3,2,-,-,1,4,1,-,-
25,Ostatní nemoci epidemické,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
II,Nemoci infekční,11639,706,485,291,516,1051,2752,1947,2613,1228,49,1
26,Ozhřivka,1,-,-,-,-,-,-,-,1,-,-,-
27,Uhlák a sněť slezinná,-,-,-,-,-,-,-,-,-,-,-,-
28,Vzteklina,13,-,-,2,-,1,1,1,4,4,-,-
29,Ztrnutí ranné,124,59,4,7,12,5,7,13,10,7,-,-
30,Mykosy,-,-,-,-,-,-,-,-,-,-,-,-
31,Tuberkulosa ústrojí dýchacího,9475,269,261,162,372,943,2511,1716,2236,968,36,1
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,495,81,156,68,51,23,39,28,43,6,-,-
33,Tuberkulosa střev neb pobřišnice ,233,6,12,12,10,17,38,36,75,27,-,-
34,Tuberkulosa obratlů,66,1,-,4,1,5,5,5,25,20,-,-
35,Tuberkulosa kloubů,38,1,-,1,3,3,4,3,8,15,-,-
36a,Tuberkulosa kůže nebo podkožního vaziva,54,16,5,2,3,2,7,1,6,11,1,-
36b,Tuberkulosa kostí,274,10,3,14,23,18,19,18,72,89,8,-
36c,Tuberkulosa lymfatického systému,26,8,2,4,4,-,3,1,3,1,-,-
36d,Tuberkulosa ústrojí urogenitálního,11,-,1,-,-,-,4,2,4,-,-,-
36,Tuberkulosa jiných orgánů,20,2,1,-,-,1,1,4,7,4,-,-
37a,Tuberkulosa prudká,49,5,6,4,9,13,12,-,-,-,-,-
37b,Tuberkulosa vleklá,1,-,-,-,1,-,-,-,-,-,-,-
37c,Tuberkulosa bez bližšího označení,56,-,-,-,1,2,4,26,15,8,-,-
38,Příjice,144,92,10,-,-,1,8,10,16,7,-,-
40,Kapavka,-,-,-,-,-,-,-,-,-,-,-,-
41,Otrava krve,557,155,24,11,26,17,89,82,88,61,4,-
42,Ostatní nemoci a infekční,2,1,-,-,-,-,-,1,-,-,-,-
,,,,,,,,,,,,,
RA,,5761,8,9,6,9,14,62,286,2280,2916,171,0
KR,,185,15,10,3,4,5,27,33,65,22,1,0
EN,,826,119,90,14,20,16,47,49,199,264,8,0
DU,,68,0,0,0,1,1,2,9,31,22,2,0
III,Celkové nemoci výše nejmenované,6811,142,109,25,33,36,139,373,2559,3214,181,-
43,Rakovina neb jiné zhoubné nádory dutiny ústní,31,-,-,-,-,-,-,2,10,16,3,-
44,"Rakovina neb jiné zhoubné nádory žaludku, jater",2581,2,1,2,-,2,15,70,867,1542,80,-
45,"Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku",641,1,1,-,-,1,3,25,230,360,20,-
46,Rakovina neb jiné zhoubné nádory rodidel,1069,-,-,-,-,1,13,92,601,354,8,-
47,Rakovina neb jiné zhoubné nádory prsu,299,-,-,-,-,-,4,20,133,132,10,-
48,Rakovina neb jiné zhoubné nádory kůže,76,-,-,-,-,-,1,1,11,48,15,-
49,Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených,980,1,2,1,6,6,22,62,392,454,34,-
50,"Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná",18,2,1,-,1,1,-,1,7,4,1,-
51,Prudký horečatý hostec kloubní,12,-,1,1,2,-,1,-,4,3,-,-
52,"Vleklý hostec, dna",268,-,2,2,8,5,12,15,87,132,5,-
53,Kurděje,6,2,1,-,1,-,1,-,-,1,-,-
56,Křivice,196,108,83,4,-,1,-,-,-,-,-,-
57,Cukrovka,259,-,1,5,7,6,20,21,83,113,3,-
58a,Nedokrevnost zhoubná,153,10,8,3,3,2,24,26,57,19,1,-
58b,Jiné nedokrevnosti a blednička,29,5,2,-,1,3,3,6,6,3,-,-
59,Nemoci hypophysy,-,-,-,-,-,-,-,-,-,-,-,-
60a,Basedowova nemoc,62,-,-,-,1,4,13,10,22,12,-,-
60b,Jiná onemocnění štítné žlázy,2,-,-,-,1,-,-,-,-,1,-,-
61,Nemoci žlázek přištítných,11,7,-,1,-,-,-,2,-,1,-,-
62,Nemoci brzlíku,5,2,2,1,-,-,-,-,-,-,-,-
63,Nemoci nadledvinek (nemoc Addisonova),5,-,-,-,-,-,-,1,3,1,-,-
64,Nemoci sleziny,3,-,-,-,-,-,-,1,2,-,-,-
65,Bělokrevnost neb Hodgkinova nemoc,66,2,4,3,2,3,4,13,29,6,-,-
66,Alkoholismus,26,-,-,-,-,-,-,2,14,9,1,-
67,Vleklé otravy nerostnými látkami,1,-,-,1,-,-,-,-,-,-,-,-
68,Vleklé otravy ústrojnými látkami,-,-,-,-,-,-,-,-,-,-,-,-
69,Ostatní celkové nemoci,12,-,-,1,-,1,3,3,1,3,-,-
,,,,,,,,,,,,,
IV,Choroby systému nervového a smyslových orgánů,8328,2841,479,159,131,115,214,280,1263,2520,325,1
70,Zánět mozku,188,27,28,15,9,15,15,15,45,19,-,-
71,Zánět mozkových blan,982,255,254,120,81,54,70,30,76,37,5,-
72,Úbytě míchy,101,-,-,-,-,-,5,8,52,36,-,-
73,Jiné choroby míchy,229,5,4,3,4,4,17,24,86,79,3,-
74a,Výlev krevní do mozku,3166,-,-,-,-,-,25,61,684,2102,293,1
74b,Záhať žil mozkových,74,9,1,-,1,5,2,12,22,22,-,-
75a,Jednostranná obrna těla,91,-,-,-,-,1,-,4,19,53,14,-
75b,Paralysis progressiva,46,-,-,-,-,-,-,6,27,13,-,-
75c,Jiné obrny,28,1,-,-,1,1,2,2,7,14,-,-
76,Ochrnutí spojené s duševní chorobou,2,-,-,-,-,-,-,-,1,1,-,-
77,Jiné duševní choroby,40,-,-,-,1,1,2,7,16,12,1,-
78,Padoucnice,160,2,2,5,14,17,27,37,46,10,-,-
79,Božec nepuerperální,39,-,-,2,2,1,15,7,8,4,-,-
80,Křeče u dětí,2683,2512,171,-,-,-,-,-,-,-,-,-
81,Posunčina,5,-,-,-,1,2,2,-,-,-,-,-
82b,Zánět nervů,9,1,-,-,-,-,-,2,2,4,-,-
83,Změknutí mozku,101,-,-,-,1,-,5,4,33,53,5,-
84,Ostatní choroby systému nervového,350,18,18,13,14,14,23,57,131,59,3,-
86,Choroby ucha nebo dutin mastoideu,34,11,1,1,2,-,4,4,8,2,1,-
,,,,,,,,,,,,,
V,Choroby oběhu krevního,9260,86,31,68,94,150,326,522,2358,5059,562,4
87,Zánět osrdce,23,-,-,4,-,-,2,2,6,9,-,-
88,Prudký zánět nitroblány nebo svalu srdečního,1656,1,3,11,15,16,40,50,339,1044,135,2
89,Srdeční angina,15,-,-,-,-,-,-,1,6,8,-,-
90,Jiné nemoci srdce,5643,76,28,51,77,130,265,438,1778,2635,164,1
91a,Výduť,40,-,-,-,-,-,1,4,15,17,3,-
91b,Zkornatění a jiné choroby tepen,1732,-,-,-,-,2,3,3,164,1304,255,1
92,Záhať (nikoliv mozkový),68,2,-,1,1,1,10,14,27,11,1,-
93,Choroby žil,46,-,-,-,-,-,2,4,14,22,4,-
94,Choroby systému mízního,17,7,-,1,1,-,1,-,3,4,-,-
95,Ostatní choroby oběhu krevního,20,-,-,-,-,1,2,6,6,5,-,-
96,Ostatní choroby oběhu krevního,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
VI,Choroby ústrojí dýchacího,11410,3378,1172,121,89,91,260,325,1364,4138,470,2
97,Choroby dutin nosních a jejich adnex,6,2,1,-,-,-,-,-,-,3,-,-
98,Choroby hrtanu,29,20,4,1,1,-,1,-,1,1,-,-
99a,Zánět průdušek prudký,1450,1177,204,1,1,-,1,2,12,45,7,-
99b,Zánět průdušek vleklý,236,35,19,2,3,2,5,5,29,125,11,-
99c,Zánět průdušek bez bližšího označení (pod 5 let),119,42,77,-,-,-,-,-,-,-,-,-
99d,Zánět průdušek bez bližšího označení (v 5 a více letech),314,-,-,2,1,2,7,8,44,211,39,-
100,Lalůčkový zánět plic včetně zánětu průdušinek,1149,532,186,11,4,8,15,8,86,257,41,1
101a,Zánět plic lalokový,361,53,24,6,6,5,14,22,81,139,11,-
101b,Zánět plic bez bližšího označení,5382,1476,624,84,62,65,166,227,717,1755,205,1
102,Zánět pohrudnice,354,20,20,11,4,4,23,24,100,138,10,-
103,Překrvení nebo krvácení parenchymatosní plic,150,9,5,2,1,3,10,9,27,73,11,-
104,Sněť plicní,22,-,1,-,3,1,4,1,5,7,-,-
105,Záducha,327,-,-,-,-,-,3,3,59,240,22,-
