1977,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1966),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,65 219,2 053,65,63,56,47,151,140,321,497,570,712,687,1 144,2 122,3 509,4 179,6 038,10 834,11 867,10 129,6 102,3 933,
,,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci infekční a parazitární,506,30,-,2,-,-,2,1,2,3,1,4,5,3,26,32,23,42,81,88,85,45,31,
0,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
1,Břišní tyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2,Paratyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
3,Jiné infekce způsobené salmonelami,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,-,2,
4,Bacilární úplavice,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
5,Alimentární intoxikace,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,
6,Úplavice amébová,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Jiná střevní onemocnění protozoární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Střevní zánět způsobený jiným určeným mikroorganismem,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
9,Průjmová onemocnění,22,10,-,1,-,-,1,-,1,-,-,-,-,-,1,-,1,-,-,3,4,-,-,
10,Koniotuberkulóza,44,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,2,11,11,6,4,2,
11,Tuberkulóza plic,225,-,-,-,-,-,-,-,-,1,-,1,4,2,15,13,5,18,40,35,44,29,18,
12,Jiná tuberkulóza dýchacího ústrojí,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,1,
13,Tuberkulóza mozkomíšních plen a centrální nervové soustavy,3,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,
14,"Tuberkulóza střev, pobřišnice a uzlin okruží",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
15,Tuberkulóza kostí a kloubů,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,
16,Tuberkulóza ústrojí močového a pohlavního,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-,-,-,
17,Tuberkulóza jiných orgánů,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,
18,Diseminovaná tuberkulóza několika orgánových soustav,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,-,-,
19,Pozdní následky tuberkulózy,13,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,2,3,3,-,-,
20,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21,Tularemie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23,Vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24,Vozhřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25,Melioidosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26,Horečka z krysího kousnutí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27,Ostatní zoonotické bakteriální nemoci,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
31,Jiné nemoci působené mykobaktériemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
32,Záškrt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33,Dávivý kašel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
34,Streptokoková angína a spála,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
35,Růže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
36,Meningokové infekce,4,1,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,
37,Tetanus,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,
38,Septikémie,46,8,-,-,-,-,-,-,1,-,-,-,1,-,3,4,3,3,4,7,7,3,2,
39,Jiné bakteriální nemoci,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,
40,Akutní paralytická poliomyelitis určená jako bulbární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
41,Akutní poliomyelitis s jinými obrnami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
42,Akutní neparalytická poliomyelitis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
43,Akutní poliomyelitis blíže neurčená,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
44,Pozdní následky akutní poliomyelitidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
