1968,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1966),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,54 259,1 222,58,41,49,30,88,94,232,226,215,227,412,680,1 100,1 232,2 881,4 362,6 547,8 770,9 745,8 817,7 231
,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci infekční a parazitární,475,12,9,3,2,2,4,1,3,4,2,-,8,4,19,7,42,45,57,83,85,55,28
0,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Břišní tyfus,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
2,Paratyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Jiné infekce způsobené salmonelami,6,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,2,-
4,Bacilární úplavice ,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-
5,Alimentární intoxikace,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
6,Úplavice amébová,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Jiná střevní onemocnění protozoární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Střevní zánět způsobený jiným určeným mikroorganismem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Průjmová onemocnění,17,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,2,1,-,4,2,3,1
10,Koniotuberkulóza,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
11,Tuberkulóza plic,210,-,-,-,-,-,1,-,-,3,2,-,5,3,9,2,21,19,18,41,41,28,17
12,Jiná tuberkulóza dýchacího ústrojí,21,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,4,5,6,2,1
13,Tuberkulóza mozkomíšních plen a centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,"Tuberkulóza střev, pobřišnice a uzlin okruží",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,1
15,Tuberkulóza kostí a kloubů,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,1,1
16,Tuberkulóza ústrojí močového a pohlavního ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
17,Tuberkulóza jiných orgánů,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,3,4,-
18,Diseminovaná tuberkulóza několika orgánových soustav,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,1,-,1,1
19,Pozdní následky tuberkulózy,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,3,-,-
20,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Tularemie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Vozhřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Melioidosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Horečka z krysího kousnutí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Ostatní zoonotické bakteriální nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Jiné nemoci působené mykobaktériemi,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
32,Záškrt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
