1992,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,58 570,509,43,23,20,14,68,69,137,144,169,201,403,672,1 055,1 253,1 923,3 465,5 866,6 686,9 411,13 050,13 389,
,,,,,,,,,,,,,,,,,,,,,,,,,
I,Infekční a parazitární nemoci,178,3,2,-,-,-,-,-,1,2,1,2,-,4,7,4,8,9,18,24,34,35,24,
1,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2,Břišní tyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
3,Jiné infekce způsobené salmonelami,10,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,3,1,4,-,
4,Bacilární úplavice,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
5,Jiné otravy potravinami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
6,Amébová úplavice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Jiné protozoární střevní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Střevní infekce způsobené jinými organismy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
9,"Nepřesně určené střevní infekce, infekční průjmová onemocnění blíže neurčená",7,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,1,
10,Primární tuberkulózní infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
11,Tuberkulóza plic,45,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,2,3,6,8,12,9,
12,Jiná tuberkulóza dýchacího ústrojí,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,3,
13,Tuberkulóza mozkomíšních plen a centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
14,"Tuberkulóza střev, pobřišnice a uzlin okruží",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,
15,Tuberkulóza kostí a kloubů,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,
16,Tuberkulóza močového a pohlavního ústrojí,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,
17,Tuberkulóza jiných orgánů,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,
18,"Miliární, diseminovaná tuberkulóza",8,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,3,1,1,1,
20,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21,Tularémie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22,"Uhlák, sněť slezinná",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23,Vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24,Vozhřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25,Melioidosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26,Horečka z krysího kousnutí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27,Jiné zoonotické bakteriální nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
31,Nemoci způsobené jinými mykobakteriemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
32,Záškrt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33,Dávivý kašel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
34,Streptokoková angína a spála,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
35,Růže,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,
36,Meningokové infekce,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
37,Tetanus,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,
38,Septikémie,63,-,-,-,-,-,-,-,-,1,1,1,-,1,3,2,4,5,10,6,13,11,5,
39,Aktinomykotické infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
40,Jiné bakteriální nemoci,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,
41,Bakteriální infekce při onemocněních zařazených jinde nebo s blíže neurčenou lokalizací,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
42,Syndrom získaného selhání imunity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
45,Akutní dětská obrna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
46,Pomalá virová infekce centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
47,Meningitis způsobené enterovirem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
48,Jiné enterovirové nemoci centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
