1956,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,4733,181,55,39,39,31,238,586,667,563,794,610,479,367,81,3
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,185,-,-,-,-,-,7,18,38,34,43,22,18,5,-,-
E800,Úrazy na železnicích postihující železniční zaměstnance,71,-,-,-,-,-,-,4,13,19,23,10,2,-,-,-
E801,Úrazy na železnicích postihující cestující,24,-,-,-,-,-,3,5,5,2,1,4,4,-,-,-
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,90,-,-,-,-,-,4,9,20,13,19,8,12,5,-,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,653,-,3,1,7,2,44,166,155,87,82,48,33,25,-,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,15,-,-,-,-,-,-,2,4,2,4,3,-,-,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,204,-,2,1,7,2,36,19,19,23,28,27,20,20,-,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,8,-,-,-,-,-,1,-,1,1,4,-,1,-,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,14,-,-,-,-,-,-,4,5,2,3,-,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,55,-,-,-,-,-,-,16,20,9,8,2,-,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",18,-,-,-,-,-,-,4,5,4,3,1,1,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,4,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-
E818,Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty,2,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
E819,Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými,23,-,-,-,-,-,1,9,8,1,4,-,-,-,-,-
E820,Dopravní úraz motorovými vozidly během sestupování a nastupování,4,-,-,-,-,-,-,-,-,1,1,-,-,2,-,-
E821,"Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku",35,-,-,-,-,-,-,14,11,5,4,1,-,-,-,-
E822,Dopravní úraz motorovými vozidly při převrhnutí na silnici,11,-,-,-,-,-,-,6,3,2,-,-,-,-,-,-
E823,Dopravní úraz motorovými vozidly při vybočení ze silnice,7,-,-,-,-,-,-,2,1,2,1,-,-,1,-,-
E824,Jiný dopravní úraz motorovými vozidly bez srážky,9,-,-,-,-,-,-,4,2,1,1,1,-,-,-,-
E825,Dopravní úraz motorovými vozidly neurčené povahy,244,-,1,-,-,-,5,85,75,34,19,12,11,2,-,-
,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly nedopravní,128,-,2,-,1,2,9,37,35,10,15,10,7,-,-,-
E830,Nedopravní úraz motorovými vozidly  způsobený chodcům,6,-,-,-,-,1,1,-,1,-,1,-,2,-,-,-
E831,Nedopravní úraz motorovými vozidly  způsobený cyklistům,5,-,-,-,-,-,-,-,1,-,2,1,1,-,-,-
E832,Nedopravní úraz motorovými vozidly  způsobený řidičům nebo spolujezdcům na motocyklech,3,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
E833,"Jiný nedopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Nedopravní úraz motorovými vozidly  při nastupování a sestupování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E835,Nedopravní úraz motorovými vozidly  jiné nebo neurčené povahy,19,-,-,-,-,-,-,5,5,2,3,2,2,-,-,-
E836,Úraz motorovými vozidly nedopravní způsobený,95,-,2,-,1,1,8,32,25,8,9,7,2,-,-,-
,,,,,,,,,,,,,,,,,
D4,Úrazy jinými silničními vozidly,44,-,-,1,-,-,9,4,2,5,9,8,4,2,-,-
E840,Úraz způsobený chodcům vozy pouliční dopravy,2,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-
E841,"Ostatní druhy úrazu vozy pouliční dopravy , vyjma srážku s motorovým vozidlem ",1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E842,Úraz způsobený chodcům cyklisty,3,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-
E843,"Úraz způsobený cyklistům, ne však při srážce  s motorovým  vozidlem ",23,-,-,-,-,-,5,3,2,3,4,4,1,1,-,-
