1942,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,47774,5520,1225,1201,1651,2040,2716,3764,6233,10255,13168,1
,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,6775,373,580,698,973,948,860,717,715,617,294,-
1,Tyf břišní,97,1,3,15,32,11,13,7,9,4,2,-
2,Paratyf,5,-,-,-,-,-,-,3,-,2,-,-
3,Mor,-,-,-,-,-,-,-,-,-,-,-,-
4,Cholera,-,-,-,-,-,-,-,-,-,-,-,-
5,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-
6,Epidemický zánět plen mozkových a míšních,14,7,-,3,-,3,-,-,1,-,-,-
7,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-
8,Spála,259,9,128,101,12,5,4,-,-,-,-,-
9,Kašel zádušný,112,79,31,2,-,-,-,-,-,-,-,-
10,Záškrt,736,32,264,356,65,5,6,3,4,1,-,-
11,Růže,107,22,-,1,4,2,5,14,15,17,27,-
12,Ztrnutí (tetanus),50,21,-,4,2,1,5,3,7,4,3,-
13,Tuberkulosa ústrojí dýchacího,4024,24,38,106,762,845,690,532,504,383,140,-
14a,Tuberkulosa plen a ústřední soustavy nervové: plen mozkových,186,18,56,60,27,5,6,8,2,4,-,-
14b,Tuberkulosa plen a ústřední soustavy nervové: jiných míst,5,-,-,2,-,1,1,-,1,-,-,-
15a,Tuberkulosa střev a pobřišnice: střev,36,1,1,2,4,9,3,5,2,8,1,-
15b,Tuberkulosa střev a pobřišnice: jiných míst,35,-,3,2,6,4,4,4,6,2,4,-
16,Tuberkulosa páteře,70,-,-,1,6,3,5,10,16,22,7,-
17,Tuberkulosa kostí a kloubů (vyjma páteře),152,1,2,2,6,5,7,21,29,37,42,-
18,Tuberkulosa kůže a podkožního vaziva,21,-,-,-,1,1,1,1,6,6,5,-
19,Tuberkulosa soustavy mízní,16,-,1,-,2,1,1,3,2,3,3,-
20,Tuberkulosa ústrojí močového a pohlavního,17,-,1,-,6,2,2,2,2,2,-,-
21a,Addisonova nemoc tuberkulosního původu,-,-,-,-,-,-,-,-,-,-,-,-
21b,Addisonova nemoc tuberkulosního původu ostatních orgánů,3,-,-,-,-,-,-,-,2,1,-,-
22,Tuberkulosa miliární,44,2,8,13,9,4,1,2,2,3,-,-
24a,Otrava krve,163,68,5,6,5,13,17,11,13,17,8,-
24b,Sněť plynová,-,-,-,-,-,-,-,-,-,-,-,-
25,Kapavka,-,-,-,-,-,-,-,-,-,-,-,-
26,Jiné nemoci způsobené mikroby (vyjma úplavici),-,-,-,-,-,-,-,-,-,-,-,-
27,Úplavice,4,1,-,-,-,-,-,2,-,1,-,-
28,Střídavka (malarie),-,-,-,-,-,-,-,-,-,-,-,-
29,Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami),-,-,-,-,-,-,-,-,-,-,-,-
30a,Příjice: úbyt míchy (tabes dorsalis),49,-,-,1,2,3,9,7,10,13,4,-
30b,Příjice: postupná obrna povšechná (progresivní paralysa),77,-,-,1,-,7,26,19,15,5,4,-
30c,Příjice: výduť srdečnice (aneurysma aorty),75,-,-,1,-,1,6,10,14,36,7,-
30d,Příjice: příjice vrozená,17,12,3,1,-,1,-,-,-,-,-,-
30,Příjice: jiné druhy příjice,94,-,1,1,3,2,16,32,28,8,3,-
31,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-
32a,Infekční žloutenka,-,-,-,-,-,-,-,-,-,-,-,-
32b,Ostatní nemoci způsobené spirochaetami,-,-,-,-,-,-,-,-,-,-,-,-
33a,Chřipka neboli influenza s onemocněním dýchydel,76,37,6,3,-,-,2,1,3,13,11,-
33b,Chřipka neboli influenza bez údaje takového onemocnění,49,19,-,-,2,-,2,3,2,9,12,-
