1948,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,48500,6147,900,499,1211,1268,2305,3889,6342,11406,11097,3432,4
,,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,4432,446,300,150,629,479,466,463,564,616,285,33,1
1,Tyf břišní,79,1,1,2,17,18,14,13,8,4,1,-,-
2,Paratyf,5,-,-,2,1,1,-,1,-,-,-,-,-
3,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Cholera,1,1,-,-,-,-,-,-,-,-,-,-,-
5,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Epidemický zánět plen mozkových a míšních,12,1,2,2,1,1,-,-,-,3,1,1,-
7,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Spála,38,3,20,12,2,-,-,-,1,-,-,-,-
9,Kašel zádušný,117,85,29,2,-,-,-,1,-,-,-,-,-
10,Záškrt,88,24,44,6,3,3,2,2,4,-,-,-,-
11,Růže,45,8,1,-,-,1,-,4,6,15,7,3,-
12,Ztrnutí (tetanus),63,18,-,8,4,-,8,6,8,8,3,-,-
13,Tuberkulosa ústrojí dýchacího,2700,37,58,50,496,406,353,306,401,422,161,10,-
14a,Tuberkulosa plen a ústřední soustavy nervové: plen mozkových,177,17,58,33,41,8,5,5,6,3,1,-,-
14b,Tuberkulosa plen a ústřední soustavy nervové: jiných míst,-,-,-,-,-,-,-,-,-,-,-,-,-
15a,Tuberkulosa střev a pobřišnice: střev,23,1,-,1,2,6,5,6,-,2,-,-,-
15b,Tuberkulosa střev a pobřišnice: jiných míst,20,-,-,1,4,2,6,2,-,4,1,-,-
16,Tuberkulosa páteře,59,-,2,2,5,2,3,9,9,22,4,1,-
17,Tuberkulosa kostí a kloubů (vyjma páteře),87,-,-,-,3,3,3,9,9,28,25,7,-
18,Tuberkulosa kůže a podkožního vaziva,18,1,-,-,-,2,1,1,1,8,4,-,-
19,Tuberkulosa soustavy mízní,6,-,-,-,1,-,1,-,1,2,1,-,-
20,Tuberkulosa ústrojí močového a pohlavního,12,-,-,-,1,2,5,3,1,-,-,-,-
21a,Addisonova nemoc tuberkulosního původu,-,-,-,-,-,-,-,-,-,-,-,-,-
21b,Addisonova nemoc tuberkulosního původu ostatních orgánů,8,-,-,-,1,-,-,1,1,2,3,-,-
22,Tuberkulosa miliární,57,9,6,4,15,3,2,3,2,7,6,-,-
24a,Otrava krve,98,44,6,1,2,5,6,7,11,8,6,2,-
24b,Sněť plynová,2,2,-,-,-,-,-,-,-,-,-,-,-
25,Kapavka,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Jiné nemoci způsobené mikroby (vyjma úplavici),-,-,-,-,-,-,-,-,-,-,-,-,-
27,Úplavice,6,-,-,-,-,1,-,-,1,3,-,1,-
28,Střídavka (malarie),3,2,-,1,-,-,-,-,-,-,-,-,-
29,Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami),-,-,-,-,-,-,-,-,-,-,-,-,-
30a,Příjice: úbyt míchy (tabes dorsalis),37,-,-,-,-,-,3,7,10,13,3,1,-
