1982,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,66 419,1 303,60,46,46,45,168,123,298,383,514,751,951,1 190,1 797,3 421,5 465,6 074,8 093,12 450,11 556,7 573,4 112,
,,,,,,,,,,,,,,,,,,,,,,,,,
I,Infekční a parazitární nemoci,313,16,2,-,-,1,1,1,4,2,-,3,4,8,12,18,32,30,34,54,40,33,18,
1,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2,Břišní tyfus,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,
3,Jiné infekce způsobené salmonelami,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2,-,-,
4,Bacilární úplavice,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,
5,Jiné otravy potravinami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
6,Amébová úplavice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Jiné protozoární střevní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Střevní infekce způsobené jinými organismy,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,
9,"Nepřesně určené střevní infekce, infekční průjmová onemocnění blíže neurčená",11,5,1,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,1,
10,Primární tuberkulózní infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
