2002,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,,,,,,,,
MKN (1993),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 +
,,,,,,,,,,,,,,,,,,,,,,,,
VN,Vnější příčiny poranění a otrav,4593,7,8,4,3,3,26,24,168,294,340,270,291,340,442,487,381,248,224,250,285,229,269
,,,,,,,,,,,,,,,,,,,,,,,,
DN,Dopravní nehody,1098,1,-,-,2,2,9,7,81,148,147,80,88,76,82,87,87,47,41,48,27,26,12
,,,,,,,,,,,,,,,,,,,,,,,,
,Chodec zraněný při dopravní nehodě     V01-V09,237,-,-,-,1,-,3,1,17,17,17,10,12,19,28,22,21,10,15,12,14,10,8
V01,Chodec zraněný při srážce s jízdním kolem,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-
V02,Chodec zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,1,-,-
V03,"Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním",123,-,-,-,1,-,1,1,7,9,11,3,6,8,13,10,16,7,7,6,7,6,4
V04,Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,20,-,-,-,-,-,2,-,3,-,1,1,1,1,1,1,3,-,2,-,1,2,1
V05,Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem,69,-,-,-,-,-,-,-,6,7,4,5,5,6,11,9,2,3,3,2,3,1,2
V06,Chodec zraněný při srážce s jiným nemotorovým vozidlem,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
V09,Chodec zraněný při jiných a neurčených dopravních nehodách,16,-,-,-,-,-,-,-,1,1,1,1,-,3,2,1,-,-,2,1,2,-,1
,,,,,,,,,,,,,,,,,,,,,,,,
,Cyklista zraněný při dopravní nehodě     V10-V19,108,-,-,-,-,-,2,-,5,2,6,3,12,9,10,12,11,12,9,10,3,1,1
V10,Cyklista zraněný při srážce s chodcem nebo zvířetem,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-
V11,Cyklista zraněný při srážce s jiným jízdním kolem,3,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-
V12,Cyklista zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
V13,"Cyklista zraněný při srážce s automobilem osobním,dodávkovým  nebo lehkým nákladním",51,-,-,-,-,-,2,-,1,2,5,1,3,6,2,6,4,8,4,5,1,-,1
V14,Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,8,-,-,-,-,-,-,-,1,-,-,-,2,-,2,-,1,1,1,-,-,-,-
V15,Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
V16,Cyklista zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V17,Cyklista zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem],4,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-
V18,Cyklista zraněný při dopravní nehodě bez srážky,19,-,-,-,-,-,-,-,1,-,-,-,3,-,2,2,3,3,1,2,2,-,-
V19,Cyklista zraněný při jiným a neurčených dopravních nehodách,19,-,-,-,-,-,-,-,1,-,-,2,1,2,2,3,2,-,3,2,-,1,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Jezdec na motocyklu zraněný při dopravní nehodě    V20-V29,76,-,-,-,-,-,-,-,12,22,18,5,4,2,2,2,-,2,1,4,-,2,-
V20,Jezdec na motocyklu zraněný při srážce s chodcem nebo zvířetem,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
V21,Jezdec na motocyklu zraněný při srážce s jízdním kolem,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
V22,Jezdec na motocyklu zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem,3,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-
V23,"Jezdec na motocyklu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním",16,-,-,-,-,-,-,-,3,4,3,-,-,-,1,1,-,-,1,2,-,1,-
V24,Jezdec na motocyklu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,7,-,-,-,-,-,-,-,-,-,2,1,1,1,-,-,-,2,-,-,-,-,-
V25,Jezdec na motocyklu zraněný při srážce s železničním vlakem nebo  železničním vozidlem,3,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
V26,Jezdec na motocyklu zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V27,Jezdec na motocyklu zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem],13,-,-,-,-,-,-,-,1,4,2,4,1,1,-,-,-,-,-,-,-,-,-
V28,Jezdec na motocyklu zraněný při dopravní nehodě bez srážky,5,-,-,-,-,-,-,-,2,-,2,-,1,-,-,-,-,-,-,-,-,-,-
V29,Jezdec na motocyklu zraněný při jiných a neurčených dopravních nehodách,25,-,-,-,-,-,-,-,3,10,7,-,1,-,1,1,-,-,-,1,-,1,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Člen osádky tříkolového motorového vozidla zraněný při dopravní nehodě     V30-V39,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-
V30,Člen osádky tříkolového motorového vozidla zraněný při srážce s chodcem nebo zvířetem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V31,Člen osádky tříkolového motorového vozidla zraněný při srážce s jízdním kolem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V32,Člen osádky tříkolového motorového vozidla zraněný při srážce s jiným 2 nebo 3 kolovým motorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V33,"Člen osádky tříkolového motorového vozidla zraněný při srážce s automobilem osobním, dodávkovým  nebo lehkým nákladním",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V34,Člen osádky tříkolového motorového vozidla zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
