1980,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,66 746,1 049,67,38,43,33,129,91,108,137,208,282,357,533,908,1 662,2 948,2 716,7 026,11 091,13 829,12 891,10 600,
,,,,,,,,,,,,,,,,,,,,,,,,,
I,Infekční a parazitární nemoci,299,7,-,1,-,-,-,1,1,1,1,4,2,2,9,7,14,10,38,44,71,54,32,
1,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2,Břišní tyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
3,Jiné infekce způsobené salmonelami,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,
4,Bacilární úplavice,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,
5,Jiné otravy potravinami,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,
6,Amébová úplavice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Jiné protozoární střevní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Střevní infekce způsobené jinými organismy,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,
9,"Nepřesně určené střevní infekce, infekční průjmová onemocnění blíže neurčená",10,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,2,-,
10,Primární tuberkulózní infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
11,Tuberkulóza plic,102,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,3,4,9,10,27,31,15,
12,Jiná tuberkulóza dýchacího ústrojí,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,1,2,-,
13,Tuberkulóza mozkomíšních plen a centrální nervové soustavy,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,
14,"Tuberkulóza střev, pobřišnice a uzlin okruží",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,
15,Tuberkulóza kostí a kloubů,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,1,-,
16,Tuberkulóza močového a pohlavního ústrojí,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,
17,Tuberkulóza jiných orgánů,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,2,1,-,
18,"Miliární, diseminovaná tuberkulóza",15,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,-,1,2,-,3,2,3,
20,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21,Tularémie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22,"Uhlák, sněť slezinná",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23,Vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24,Vozhřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25,Melioidosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26,Horečka z krysího kousnutí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27,Jiné zoonotické bakteriální nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
31,Nemoci způsobené jinými mykobakteriemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
32,Záškrt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33,Dávivý kašel,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
34,Streptokoková angína a spála,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
35,Růže,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,2,2,
