1987,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,62 840,654,39,20,18,21,80,72,121,115,136,245,407,625,850,1 298,2 424,4 038,5 188,7 759,13 238,13 337,12 155
,,,,,,,,,,,,,,,,,,,,,,,,
I,Infekční a parazitární nemoci,189,5,3,2,-,-,1,-,-,-,2,1,2,3,7,6,11,17,19,23,34,31,22
1,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Břišní tyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Jiné infekce způsobené salmonelami,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,2
4,Bacilární úplavice,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
5,Jiné otravy potravinami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Amébová úplavice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Jiné protozoární střevní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Střevní infekce způsobené jinými organismy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,"Nepřesně určené střevní infekce, infekční průjmová onemocnění blíže neurčená",9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,3,1,-
10,Primární tuberkulózní infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Tuberkulóza plic,56,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,6,4,4,8,11,12,9
