2001,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,,,,,,,,
MKN (1993),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 +
,,,,,,,,,,,,,,,,,,,,,,,,
VN,Vnější příčiny poranění a otrav,4555,9,2,2,1,6,25,22,163,370,329,243,290,367,492,460,323,248,215,246,274,190,278
,,,,,,,,,,,,,,,,,,,,,,,,
DN,Dopravní nehody,1099,-,1,2,1,1,9,8,76,163,109,82,75,104,95,107,71,41,37,41,37,22,17
,,,,,,,,,,,,,,,,,,,,,,,,
,Chodec zraněný při dopravní nehodě     V01-V09,245,-,-,1,1,-,2,2,10,23,15,15,18,24,27,30,19,6,14,13,9,10,6
V01,Chodec zraněný při srážce s jízdním kolem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V02,Chodec zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V03,"Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním",136,-,-,-,-,-,2,2,2,14,7,6,8,13,14,17,9,3,12,9,8,7,3
V04,Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,10,-,-,-,-,-,-,-,1,-,-,-,1,-,2,2,1,1,-,1,-,1,-
V05,Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem,85,-,-,1,-,-,-,-,7,8,7,8,9,10,10,8,7,1,2,2,1,1,3
V06,Chodec zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V09,Chodec zraněný při jiných a neurčených dopravních nehodách,13,-,-,-,-,-,-,-,-,1,1,1,-,1,1,3,2,1,-,1,-,1,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Cyklista zraněný při dopravní nehodě     V10-V19,98,-,-,-,-,-,-,2,4,9,1,5,3,13,10,14,5,5,8,6,10,3,-
V10,Cyklista zraněný při srážce s chodcem nebo zvířetem,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
V11,Cyklista zraněný při srážce s jiným jízdním kolem,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
V12,Cyklista zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V13,"Cyklista zraněný při srážce s automobilem osobním,dodávkovým  nebo lehkým nákladním",51,-,-,-,-,-,-,2,2,3,1,3,-,4,4,9,3,3,2,3,9,3,-
V14,Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,5,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,-,-,-,1,-,-,-
V15,Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
V16,Cyklista zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V17,Cyklista zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem],3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-
V18,Cyklista zraněný při dopravní nehodě bez srážky,14,-,-,-,-,-,-,-,-,2,-,-,3,2,1,2,1,-,2,1,-,-,-
V19,Cyklista zraněný při jiným a neurčených dopravních nehodách,21,-,-,-,-,-,-,-,2,3,-,1,-,5,2,2,1,1,2,1,1,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Jezdec na motocyklu zraněný při dopravní nehodě    V20-V29,55,-,-,-,-,-,-,-,13,13,8,4,1,2,4,3,4,1,-,1,-,1,-
V20,Jezdec na motocyklu zraněný při srážce s chodcem nebo zvířetem,5,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,1,-,-,-,-,-,-
V21,Jezdec na motocyklu zraněný při srážce s jízdním kolem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V22,Jezdec na motocyklu zraněný při srážce s 2 nebo 3 kolovým motorovým vozidlem,3,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-
V23,"Jezdec na motocyklu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním",9,-,-,-,-,-,-,-,1,2,1,1,-,-,2,-,-,-,-,1,-,1,-
V24,Jezdec na motocyklu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,7,-,-,-,-,-,-,-,1,2,1,-,1,1,1,-,-,-,-,-,-,-,-
V25,Jezdec na motocyklu zraněný při srážce s železničním vlakem nebo  železničním vozidlem,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V26,Jezdec na motocyklu zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V27,Jezdec na motocyklu zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem],14,-,-,-,-,-,-,-,3,4,2,2,-,-,-,1,2,-,-,-,-,-,-
V28,Jezdec na motocyklu zraněný při dopravní nehodě bez srážky,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,-,-,-,-,-
V29,Jezdec na motocyklu zraněný při jiných a neurčených dopravních nehodách,11,-,-,-,-,-,-,-,4,2,3,-,-,1,-,1,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Člen osádky tříkolového motorového vozidla zraněný při dopravní nehodě     V30-V39,3,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-
V30,Člen osádky tříkolového motorového vozidla zraněný při srážce s chodcem nebo zvířetem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V31,Člen osádky tříkolového motorového vozidla zraněný při srážce s jízdním kolem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V32,Člen osádky tříkolového motorového vozidla zraněný při srážce s jiným 2 nebo 3 kolovým motorovým vozidlem,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
V33,"Člen osádky tříkolového motorového vozidla zraněný při srážce s automobilem osobním, dodávkovým  nebo lehkým nákladním",2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
V34,Člen osádky tříkolového motorového vozidla zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V35,Člen osádky tříkolového motorového vozidla zraněný při srážce s železničním vlakem nebo železničním vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V36,Člen osádky tříkolového motorového vozidla zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V37,Člen osádky tříkolového motorového vozidla zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V38,Člen osádky tříkolového motorového vozidla zraněný při dopravní nehodě bez srážky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V39,Člen osádky tříkolového motorového vozidla zraněný při jiných a neurčených dopravních nehodách,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Člen osádky osobního automobilu zraněný při dopravní nehodě     V40-V49,225,-,1,-,-,-,1,2,21,48,25,18,22,21,12,16,11,10,4,3,7,1,2
V40,Člen osádky osobního automobilu zraněný při srážce chodcem nebo zvířetem,8,-,-,-,-,-,-,-,-,2,3,-,-,-,-,1,2,-,-,-,-,-,-
V41,Člen osádky osobního automobilu zraněný při srážce s jízdním kolem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V42,Člen osádky osobního automobilu zraněný při srážce s dvou nebo tříkolovým motorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V43,"Člen osádky osobního automobilu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním",73,-,-,-,-,-,-,2,5,15,5,9,9,3,8,5,-,6,2,1,3,-,-
V44,Člen osádky osobního automobilu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,22,-,-,-,-,-,-,-,-,4,2,3,2,3,1,-,1,1,1,-,3,-,1
V45,Člen osádky osobního automobilu zraněný při srážce s železničním vlakem nebo železničním vozidlem,14,-,1,-,-,-,-,-,3,2,1,1,1,1,-,-,2,1,-,-,1,-,-
V46,Člen osádky osobního automobilu zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V47,Člen osádky osobního automobilu zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem],69,-,-,-,-,-,1,-,8,21,4,1,7,11,3,5,5,1,1,-,-,1,-
V48,Člen osádky osobního automobilu zraněný při dopravní nehodě bez srážky,9,-,-,-,-,-,-,-,1,2,2,-,2,-,-,2,-,-,-,-,-,-,-
V49,Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách,30,-,-,-,-,-,-,-,4,2,8,4,1,3,-,3,1,1,-,2,-,-,1
,,,,,,,,,,,,,,,,,,,,,,,,
,Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při dopravní nehodě     V50-V59,5,-,-,-,-,-,-,-,-,1,1,-,-,2,-,-,-,-,-,-,-,1,-
V50,Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V51,Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s jízdním kolem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V52,Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s dvou nebo tříkolovým motorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V53,"Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s automobilem osobním, dodávkovým či lehkým nákladním",1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
V54,Člen osádky dodávkového či lehkého nákladního automobilu zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V55,Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s železničním vlakem nebo železničním vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V56,Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V57,Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s pevnou překážkou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V58,Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při dopravní nehodě bez srážky,2,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
V59,Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při jiných a neurčených dopravních nehodách,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Člen osádky těžkého nákladního vozidla zraněný při dopravní nehodě     V60-V69,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-
V60,Člen osádky těžkého nákladního vozidla zraněný při srážce s chodcem nebo zvířetem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V61,Člen osádky těžkého nákladního vozidla zraněný při srážce s jizdním kolem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V62,Člen osádky těžkého nákladního vozidla zraněný při srážce s dvou nebo tříkolovým motorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V63,"Člen osádky těžkého nákladního vozidla zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V64,Člen osádky těžkého nákladního vozidla zraněný při srážce s těžkým nákladní vozidlem nebo autobusem,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
V65,Člen osádky těžkého nákladního vozidla zraněný při srážce s železničním vlakem nebo železničním vozidlem,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
V66,Člen osádky těžkého nákladního vozidla zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V67,Člen osádky těžkého nákladního vozidla zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V68,Člen osádky těžkého nákladního vozidla zraněný při dopravní nehodě bez srážky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V69,Člen osádky těžkého nákladního vozidla zraněný při jiných a neurčených dopravních nehodách,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Člen osádky autobusu zraněný při dopravní nehodě     V70-V79,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-
V70,Člen osádky autobusu zraněný při srážce s chodcem nebo zvířetem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V71,Člen osádky autobusu zraněný při srážce s jízdním kolem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V72,Člen osádky autobusu zraněný při srážce s dvou nebo tříkolovým motorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V73,"Člen osádky autobusu zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V74,Člen osádky autobusu zraněný při srážce s těžkým nákladním vozidlem nabo autobusem,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-
V75,Člen osádky autobusu zraněný při srážce s železničním vlakem nebo železničním vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V76,Člen osádky autobusu zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V77,Člen osádky autobusu zraněný při srážce s pevnou překážkou [s připevněným nebo stojícím předmětem],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V78,Člen osádky autobusu zraněný při dopravní nehodě bez srážky,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
V79,Člen osádky autobusu zraněný při jiných a neurčených dopravních nehodách,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Jiné nehody při pozemní dopravě     V80 - V89,450,-,-,1,-,1,6,2,28,68,55,36,31,41,40,39,30,19,10,17,11,6,9
V80,Jezdec na zvířeti nebo člen osádky vozidla taženého zvířetem zraněný při dopravní nehodě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V81,Člen osádky železničního vlaku nebo železničního vozidla zraněný při dopravní nehodě,4,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-,-,-,-,-
V82,Člen osádky vozu pouliční dráhy zraněný při dopravní nehodě,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-
V83,Člen osádky zvláštního vozidla určeného zejména pro průmyslové prostory zraněný při dopravní nehodě,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
V84,Člen osádky zvláštního vozidla určeného především pro zemědělství zraněný při dopravní nehodě,5,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,2,-,-,-
V85,Člen osádky zvláštního stavebního vozidla zraněný při dopravní nehodě,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
V86,"Člen osádky terénního či jiného motorového vozidla určeného hlavně pro mimosilniční provoz, zraněný při dopravní nehodě",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V87,"Provozní [silniční] nehoda určeného typu, ale s neznámým způsobem dopravy oběti",1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
V88,"Neprovozní [mimosilniční] nehoda určeného typu, ale s neznámým způsobem dopravy oběti",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V89,"Nehoda motorového nebo nemotorového vozidla, typ vozidla neurčen",435,-,-,1,-,1,6,2,27,68,54,36,30,40,36,36,29,19,9,15,11,6,9
,,,,,,,,,,,,,,,,,,,,,,,,
,Nehody při vodní dopravě     V90 - V94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V90,Nehoda plavidla jako příčina [u]tonutí a potopení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
