1947,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,54936,9051,1035,659,1828,1820,3278,5533,8348,11475,9712,2190,7
,,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,6460,607,354,169,628,621,868,1145,1110,735,213,10,-
1,Tyf břišní,81,3,-,10,15,9,19,16,3,4,2,-,-
2,Paratyf,9,1,1,-,1,2,3,-,1,-,-,-,-
3,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Epidemický zánět plen mozkových a míšních,19,8,3,2,2,-,1,2,1,-,-,-,-
7,Uhlák,1,-,-,-,-,-,-,1,-,-,-,-,-
8,Spála,37,6,22,7,1,1,-,-,-,-,-,-,-
9,Kašel zádušný,77,69,7,1,-,-,-,-,-,-,-,-,-
10,Záškrt,226,59,138,13,6,4,1,2,2,1,-,-,-
11,Růže,43,11,-,-,-,2,4,4,4,11,7,-,-
12,Ztrnutí (tetanus),107,33,3,12,3,4,6,16,12,11,7,-,-
13,Tuberkulosa ústrojí dýchacího,4358,45,66,37,507,550,701,910,870,543,126,3,-
14a,Tuberkulosa plen a ústřední soustavy nervové: plen mozkových,207,26,71,43,36,10,4,11,5,1,-,-,-
14b,Tuberkulosa plen a ústřední soustavy nervové: jiných míst,4,-,-,1,1,-,-,1,-,1,-,-,-
15a,Tuberkulosa střev a pobřišnice: střev,11,1,1,-,5,1,-,-,1,1,1,-,-
15b,Tuberkulosa střev a pobřišnice: jiných míst,21,1,1,4,3,2,4,3,2,1,-,-,-
16,Tuberkulosa páteře,49,-,2,2,7,5,5,8,6,11,2,1,-
17,Tuberkulosa kostí a kloubů (vyjma páteře),78,-,1,2,7,5,16,9,9,15,14,-,-
18,Tuberkulosa kůže a podkožního vaziva,4,-,-,-,-,-,-,-,1,1,1,1,-
19,Tuberkulosa soustavy mízní,8,1,2,1,-,1,-,1,-,2,-,-,-
20,Tuberkulosa ústrojí močového a pohlavního,14,-,-,-,2,1,-,5,3,2,1,-,-
21a,Addisonova nemoc tuberkulosního původu,1,-,-,-,-,-,-,-,1,-,-,-,-
