1958,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,44 566,1 429,155,76,57,33,280,339,613,1 050,3 165,6 524,12 090,14 110,4 645,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci infekční a parasitární,1 491,23,13,12,3,4,37,22,54,80,145,282,476,315,25,-,,,,,,,
1,Tuberkulosa ústrojí dýchacího (z povolání),6,-,-,-,-,-,-,-,1,-,1,3,1,-,-,-,,,,,,,
2,Tuberkulosa plic,933,-,-,-,-,-,-,14,38,61,91,164,337,216,12,-,,,,,,,
3,Tuberkuloda pohrudnice,29,-,-,-,-,-,-,-,-,1,1,3,14,10,-,-,,,,,,,
4,Primární tuberkulosní komplex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
5,Tuberkulosa průdušnicových a průduškových uzlin,7,-,-,-,-,-,-,-,-,-,-,3,2,2,-,-,,,,,,,
6,Roentgenologický nález podezřelý z aktivní tuberkulosy dýchacího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
7,Ostatní tuberkulosa dýchacího ústrojí,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,
8,Tuberkulosa neoznačeného umístění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
10,Tuberkulosa mozkomíšních plen a centrálního nervstva,20,1,-,-,-,-,2,1,1,2,3,9,1,-,-,-,,,,,,,
11,"Tuberkulosa střev, pobřišnice a uzlin okruží",8,-,-,-,-,-,-,-,3,-,1,-,3,1,-,-,,,,,,,
12,"Tuberkulosa kostí a kloubů, aktivní nebo blíže neurčená",67,-,-,-,-,-,-,1,-,-,-,6,29,28,3,-,,,,,,,
13,Pozdní následky tuberkulosy kostí a kloubů,4,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,,,,,,,
14,Tuberkulosa kůže a podkožního vaziva,4,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,,,,,,,
15,Tuberkulosa soustavy mízní,15,-,-,-,-,-,-,2,-,-,-,3,5,4,1,-,,,,,,,
16,Tuberkulosa ústrojí močového a pohlavního,5,-,-,-,-,-,1,-,-,1,-,1,1,1,-,-,,,,,,,
17,Tuberkulosa nadledvinek,3,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,,,,,,,
18,Tuberkulosa jiných orgánů,12,-,-,-,-,-,-,-,-,1,1,3,4,2,1,-,,,,,,,
19,Tuberkulosa několika orgánů,10,1,-,-,-,-,1,-,1,-,-,2,4,1,-,-,,,,,,,
20,Příjice vrozená,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,
21,Příjice získaná,9,-,-,-,-,-,-,-,-,-,1,3,3,2,-,-,,,,,,,
22,Výduť srdečnice,23,-,-,-,-,-,-,-,-,1,3,8,8,2,1,-,,,,,,,
23,Ostatní druhy příjice soustavy cevní,57,-,-,-,-,-,-,-,-,-,12,23,14,8,-,-,,,,,,,
24,Úbytě míchy,12,-,-,-,-,-,-,-,-,-,-,3,8,1,-,-,,,,,,,
25,Progresivní paralysa,15,-,-,-,-,-,-,-,-,2,-,9,2,2,-,-,,,,,,,
26,Ostatní druhy příjice centrálního nervstva,5,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,,,,,,,
27,Jiné druhy pozdní příjice,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,,,,,,,
28,Latentní příjice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
