1952,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,4402,93,59,47,43,40,220,574,614,683,762,500,369,317,81,-
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,172,-,2,-,-,1,7,22,16,48,45,20,7,3,1,-
E800,Úrazy na železnicích postihující železniční zaměstnance,83,-,-,-,-,-,-,4,6,30,30,12,-,-,1,-
E801,Úrazy na železnicích postihující cestující,30,-,-,-,-,1,4,6,6,5,4,2,2,-,-,-
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,59,-,2,-,-,-,3,12,4,13,11,6,5,3,-,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,319,1,1,1,4,8,23,58,59,66,48,26,16,7,1,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,19,-,-,-,-,-,-,3,5,8,2,1,-,-,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,100,-,1,1,2,5,17,9,7,12,17,10,13,5,1,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,7,-,-,-,-,-,-,-,1,-,3,3,-,-,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,7,-,-,-,-,-,-,2,1,3,-,1,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,14,-,-,-,-,-,-,6,3,2,2,1,-,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",12,-,-,-,-,-,-,3,2,4,2,1,-,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
