1979,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,62 430,1 124,78,32,33,26,112,55,114,170,228,312,388,502,935,1 678,2 765,2 705,6 820,10 183,12 916,11 696,9 558,
,,,,,,,,,,,,,,,,,,,,,,,,,
I,Infekční a parazitární nemoci,347,11,1,-,-,-,2,-,1,5,1,5,2,3,7,11,12,14,45,59,72,63,33,
1,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2,Břišní tyfus,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,
3,Jiné infekce způsobené salmonelami,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,
4,Bacilární úplavice,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
5,Jiné otravy potravinami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
6,Amébová úplavice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Jiné protozoární střevní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Střevní infekce způsobené jinými organismy,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,
9,"Nepřesně určené střevní infekce, infekční průjmová onemocnění blíže neurčená",12,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5,1,2,1,2,
10,Primární tuberkulózní infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
11,Tuberkulóza plic,138,-,-,-,-,-,-,-,-,-,-,1,1,1,1,3,5,5,12,26,36,26,21,
12,Jiná tuberkulóza dýchacího ústrojí,14,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,5,2,4,-,
