2006,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,,,,,,,,
MKN (1993),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 +
,,,,,,,,,,,,,,,,,,,,,,,,
VN,Vnější příčiny poranění a otrav,4082,10,3,1,4,3,15,24,143,245,238,256,258,299,338,447,421,299,208,199,235,232,204
,,,,,,,,,,,,,,,,,,,,,,,,
DN,Dopravní nehody,829,-,-,-,1,1,8,14,69,107,73,74,69,55,64,68,69,38,33,30,31,18,7
,,,,,,,,,,,,,,,,,,,,,,,,
,Chodec zraněný při dopravní nehodě     V01-V09,197,-,-,-,1,-,1,4,14,10,11,10,12,17,24,17,21,12,12,8,14,6,3
V01,Chodec zraněný při srážce s jízdním kolem,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
V02,"Chodec zraněný při srážce s dvou
nebo tříkolovým motorovým vozidlem",3,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
V03,"Chodec zraněný při srážce s automobilem osobním, dodávkovým nebo lehkým nákladním",71,-,-,-,1,-,-,1,5,5,3,4,2,3,9,8,9,6,2,4,4,4,1
V04,Chodec zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,12,-,-,-,-,-,-,-,-,1,1,1,1,1,2,1,-,1,1,1,1,-,-
V05,Chodec zraněný při srážce s železničním vlakem nebo s železničním vozidlem,101,-,-,-,-,-,-,2,9,3,6,5,9,11,13,8,11,5,7,2,7,1,2
V06,Chodec zraněný při srážce s jiným nemotorovým vozidlem,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
V09,Chodec zraněný při jiných a neurčených dopravních nehodách,7,-,-,-,-,-,-,1,-,1,1,-,-,1,-,-,-,-,1,1,1,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
,Cyklista zraněný při dopravní nehodě     V10-V19,64,-,-,-,-,-,2,2,3,1,2,3,1,5,10,8,9,5,5,-,2,5,1
V10,Cyklista zraněný při srážce s chodcem nebo zvířetem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V11,"Cyklista zraněný při srážce s jiným 
jízdním kolem",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V12,"Cyklista zraněný při srážce s dvou 
nebo tříkolovým motorovým vozidlem",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
V13,"Cyklista zraněný při srážce s automobilem osobním, dodávkovým  nebo lehkým nákladním",28,-,-,-,-,-,1,2,2,-,-,1,1,5,1,4,1,4,2,-,1,2,1
V14,Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,-,1,-,-,-,-
V15,Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem,4,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-
V16,Cyklista zraněný při srážce s jiným nemotorovým vozidlem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V17,Cyklista zraněný při srážce s pevnou překážkou (s připevněným nebo stojícím předmětem),5,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,-,-,-,-,-
