1955,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1948),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
,,,,,,,,,,,,,,,,,
VN,Úrazy a otravy podle vnější příčiny,4554,126,39,39,43,36,243,558,656,536,800,576,415,380,105,2
,,,,,,,,,,,,,,,,,
D1,Úrazy na železnicích,171,-,1,-,2,-,2,19,35,29,39,23,10,9,2,-
E800,Úrazy na železnicích postihující železniční zaměstnance,72,-,-,-,-,-,-,4,16,17,23,10,1,1,-,-
E801,Úrazy na železnicích postihující cestující,21,-,-,-,-,-,-,5,3,3,2,4,2,1,1,-
E802,Úrazy na železnicích postihující jiné a blíže neoznačené osoby,78,-,1,-,2,-,2,10,16,9,14,9,7,7,1,-
,,,,,,,,,,,,,,,,,
D2,Dopravní úrazy motorovými vozidly,557,1,1,3,4,12,44,133,116,78,73,32,34,17,9,-
E810,Dopravní úraz motorovými vozidly při srážce s vlakem,24,1,-,-,-,-,2,2,8,4,4,2,1,-,-,-
E811,Dopravní úraz motorovými vozidly při srážce s pouliční drahou,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
E812,Dopravní úraz motorovými vozidly způsobený chodcům,165,-,1,2,4,8,25,18,12,14,24,13,24,13,7,-
E813,Dopravní úraz motorovými vozidly způsobený cyklistům,8,-,-,-,-,-,2,1,1,-,1,1,1,1,-,-
E814,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s vozidlem nemotorovým nebo jiným předmětem,7,-,-,-,-,-,-,2,3,2,-,-,-,-,-,-
E815,Dopravní úraz motorovými vozidly způsobený řidičům nebo spolujezdcům na motocyklech při srážce s jiným motorovým vozidlem ,39,-,-,-,-,-,1,8,15,9,5,1,-,-,-,-
E816,"Jiný dopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",8,-,-,-,-,-,-,2,4,2,-,-,-,-,-,-
E817,Dopravní úraz motorovými vozidly způsobený posádce motorového vozidla při srážce s chodcem nebo cyklistou,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E818,Dopravní úraz motorovými vozidly při srážce se zvířaty nebo vozidly taženými zvířaty,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E819,Dopravní úraz motorovými vozidly při srážce s předměty pevnými nebo blíže neurčenými,19,-,-,1,-,-,1,7,7,2,1,-,-,-,-,-
E820,Dopravní úraz motorovými vozidly během sestupování a nastupování,4,-,-,-,-,-,1,-,-,-,-,1,1,1,-,-
E821,"Dopravní úraz motorovými vozidly způsobený řidiči motocyklu, nejde-li o srážku",41,-,-,-,-,-,1,20,8,6,5,-,-,-,1,-
E822,Dopravní úraz motorovými vozidly při převrhnutí na silnici,17,-,-,-,-,1,-,10,2,1,3,-,-,-,-,-
E823,Dopravní úraz motorovými vozidly při vybočení ze silnice,7,-,-,-,-,-,-,3,1,2,1,-,-,-,-,-
E824,Jiný dopravní úraz motorovými vozidly bez srážky,9,-,-,-,-,-,1,1,1,1,4,-,-,1,-,-
E825,Dopravní úraz motorovými vozidly neurčené povahy,205,-,-,-,-,3,9,59,54,35,23,13,7,1,1,-
,,,,,,,,,,,,,,,,,
D3,Úrazy motorovými vozidly nedopravní,120,-,2,-,3,3,12,28,26,13,16,7,5,4,-,1
E830,Nedopravní úraz motorovými vozidly  způsobený chodcům,12,-,1,-,2,-,2,2,-,-,-,1,3,1,-,-
E831,Nedopravní úraz motorovými vozidly  způsobený cyklistům,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E832,Nedopravní úraz motorovými vozidly  způsobený řidičům nebo spolujezdcům na motocyklech,12,-,-,-,-,-,-,3,5,3,1,-,-,-,-,-
E833,"Jiný nedopravní úraz motorovými vozidly, jde-li o dvě motorová vozidla nebo několik vozidel",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E834,Nedopravní úraz motorovými vozidly  při nastupování a sestupování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E835,Nedopravní úraz motorovými vozidly  jiné nebo neurčené povahy,18,-,-,-,-,2,2,4,2,3,3,1,-,-,-,1
E836,Úraz motorovými vozidly nedopravní způsobený,77,-,1,-,1,1,8,19,19,7,12,5,2,2,-,-
,,,,,,,,,,,,,,,,,
D4,Úrazy jinými silničními vozidly,37,-,-,-,1,-,3,6,-,3,7,7,7,3,-,-
E840,Úraz způsobený chodcům vozy pouliční dopravy,4,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-
E841,"Ostatní druhy úrazu vozy pouliční dopravy , vyjma srážku s motorovým vozidlem ",2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
E842,Úraz způsobený chodcům cyklisty,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E843,"Úraz způsobený cyklistům, ne však při srážce  s motorovým  vozidlem ",14,-,-,-,-,-,1,3,-,1,3,4,2,-,-,-
E844,Úraz způsobený chodcům jinými nemotorovými silničními vozidly ,4,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-
E845,Jiný druh úrazu nemotorovými silničními vozidly ,12,-,-,-,-,-,-,1,-,2,-,2,4,3,-,-
,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E850,Úraz cestujících na malých člunech způsobený potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E851,Ostatní druhy úrazu při vodní dopravě způsobený potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E852,Pád se schodů nebo žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Jiný pád do hloubky při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Pád na rovině při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E855,Neoznačený pád při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E856,Úraz stroji při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E857,Jiný označený úraz při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E858,Úraz při vodní dopravě neurčené povahy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
D6,Letecké úrazy ,26,-,-,-,-,-,-,12,11,2,1,-,-,-,-,-
E860,Úraz způsobený posádce vojenské letadla,18,-,-,-,-,-,-,10,7,1,-,-,-,-,-,-
E861,Poranění způsobené cestujícím při nehodách dopravních letadel,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
E862,Jiné poranění v dopravních letadlech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E863,Poranění způsobené cestujícím při nehodách jiných letadel,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E864,Letecký úraz způsobený na letišti osobám mimo letadlo,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
