1964,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,53 901,1 728,120,63,59,43,206,182,477,605,463,565,800,1 226,1 071,3 001,5 155,7 377,7 964,7 527,6 791,5 153,3 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci přenosné a cizopasné,1 202,13,16,4,2,2,8,7,9,5,6,8,24,33,42,74,157,213,185,193,123,53,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tuberkulosa ústrojí dýchacího (z povolání),87,-,-,-,-,-,-,-,-,-,-,-,-,2,2,8,9,22,19,15,8,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tuberkulosa plic,773,-,-,-,-,-,-,1,4,1,2,6,16,23,29,45,111,138,118,137,84,42,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tuberkuloda pohrudnice,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Primární tuberkulosní komplex,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tuberkulosa průdušnicových a průduškových uzlin,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Roentgenologický nález podezřelý z aktivní tuberkulosy dýchacího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ostatní tuberkulosa dýchacího ústrojí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tuberkulosa neoznačeného umístění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tuberkulosa mozkomíšních plen a centrálního nervstva,12,-,-,-,-,-,-,-,1,1,2,-,1,1,1,2,1,1,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Tuberkulosa střev, pobřišnice a uzlin okruží",5,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,2,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Tuberkulosa kostí a kloubů, aktivní nebo blíže neurčená",7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,-,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Pozdní následky tuberkulosy kostí a kloubů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tuberkulosa kůže a podkožního vaziva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tuberkulosa soustavy mízní,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tuberkulosa ústrojí močového a pohlavního,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tuberkulosa nadledvinek,6,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,-,-,-,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tuberkulosa jiných orgánů,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tuberkulosa několika orgánů,8,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,2,-,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Příjice vrozená,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Příjice získaná,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,1,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Výduť srdečnice,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,6,6,4,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
