1927,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,77268,12987,3334,1711,3833,6505,4782,12553,31552,11
,,,,,,,,,,,
I,Nemoci epidemické a endemické,3474,771,794,344,169,260,169,312,655,-
1a,Tyf střevní,263,1,6,25,62,87,35,34,13,-
1b,Paratyfy,9,-,-,-,2,3,2,-,2,-
2,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-
3,Tyf zvratný,-,-,-,-,-,-,-,-,-,-
5a,Malarie,3,-,-,1,1,1,-,-,-,-
5b,Malarická sešlost,-,-,-,-,-,-,-,-,-,-
6,Neštovice,-,-,-,-,-,-,-,-,-,-
7,Spalničky,471,168,260,38,4,1,-,-,-,-
8,Spála,126,7,58,44,11,6,-,-,-,-
9,Zajíkavý kašel,429,264,158,7,-,-,-,-,-,-
10,Záškrt,318,20,144,145,-,4,2,3,-,-
11a,Chřipka s plicními komplikacemi,963,179,100,34,34,80,65,151,320,-
11b,Chřipka bez komplikací plic,546,62,37,33,30,29,32,66,257,-
13,Zánět příušnic,10,2,1,-,1,1,1,2,2,-
15,Choleroidní zánět střev,2,-,-,-,-,1,-,1,-,-
16,Úplavice,7,-,-,-,-,2,2,3,-,-
19,Spirochetosa ikterohaemor,-,-,-,-,-,-,-,-,-,-
21,Růže,190,56,5,4,7,12,14,37,55,-
22,Prudký zánět předních rohů míšních,15,1,6,3,2,-,2,1,-,-
23,Lethargův zánět střev,91,1,9,5,12,31,13,14,6,-
24,Epidemické ztrnutí šíje,21,4,7,5,2,2,1,-,-,-
25,Ostatní nemoci epidemické,10,6,3,-,1,-,-,-,-,-
,,,,,,,,,,,
II,Nemoci infekční,9923,553,488,510,2142,2837,1128,1502,763,-
26,Ozhřivka,-,-,-,-,-,-,-,-,-,-
27,Uhlák a sněť slezinná,-,-,-,-,-,-,-,-,-,-
28,Vzteklina,-,-,-,-,-,-,-,-,-,-
29,Ztrnutí ranné,140,51,9,16,14,16,9,21,4,-
30,Mykosy,5,3,-,-,-,2,-,-,-,-
31,Tuberkulosa ústrojí dýchacího,8145,197,202,308,1964,2633,987,1268,586,-
32,Tuberkulosa mozkových blan nebo centrálního systému nervového,501,72,215,115,43,28,16,9,3,-
33,Tuberkulosa střev neb pobřišnice ,193,8,10,31,28,35,24,42,15,-
34,Tuberkulosa obratlů,93,3,1,2,8,12,12,33,22,-
35,Tuberkulosa kloubů,55,-,1,2,3,3,3,17,26,-
36a,Tuberkulosa kůže nebo podkožního vaziva,22,-,-,-,1,3,6,2,10,-
36b,Tuberkulosa kostí,123,1,2,4,8,13,14,33,48,-
36c,Tuberkulosa lymfatického systému,38,13,10,4,1,2,1,3,4,-
36d,Tuberkulosa ústrojí urogenitálního,22,-,-,2,3,7,4,4,2,-
36,Tuberkulosa jiných orgánů,13,1,-,1,1,2,3,1,4,-
37a,Tuberkulosa prudká,73,12,14,8,35,1,1,2,-,-
37b,Tuberkulosa vleklá,-,-,-,-,-,-,-,-,-,-
37c,Tuberkulosa bez bližšího označení,44,-,-,-,-,24,9,8,3,-
38,Příjice,154,81,6,1,7,15,17,19,8,-
40,Kapavka,2,1,-,-,1,-,-,-,-,-
41,Otrava krve,300,110,18,16,25,41,22,40,28,-
42,Ostatní nemoci a infekční,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
RA,,7155,3,12,10,39,328,865,2785,3113,0
KR,,199,12,4,6,16,36,41,55,29,0
EN,,919,90,58,28,35,59,70,277,302,0
DU,,124,0,0,2,4,14,21,44,39,0
III,Celkové nemoci výše nejmenované,8417,113,81,55,98,450,995,3158,3467,-
