1944,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,49197,6327,1024,823,1828,1855,2804,3891,6309,10655,13676,5
,,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,6230,438,382,325,969,803,871,742,748,673,279,-
1,Tyf břišní,91,1,4,7,25,12,15,14,9,3,1,-
2,Paratyf,8,-,1,-,-,1,3,2,1,-,-,-
3,Mor,-,-,-,-,-,-,-,-,-,-,-,-
4,Cholera,1,-,-,-,-,-,-,-,-,-,1,-
5,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-
6,Epidemický zánět plen mozkových a míšních,37,9,7,6,3,-,4,3,2,-,3,-
7,Uhlák,1,-,-,-,-,-,-,-,-,-,1,-
8,Spála,120,4,65,39,9,2,1,-,-,-,-,-
9,Kašel zádušný,86,69,15,2,-,-,-,-,-,-,-,-
10,Záškrt,355,47,149,84,38,12,9,6,6,4,-,-
11,Růže,128,35,2,2,2,5,6,22,1,21,32,-
12,Ztrnutí (tetanus),61,14,1,6,2,3,4,9,12,4,6,-
13,Tuberkulosa ústrojí dýchacího,3993,31,40,82,777,692,720,532,540,454,125,-
14a,Tuberkulosa plen a ústřední soustavy nervové: plen mozkových,196,20,52,58,31,12,9,4,7,2,1,-
14b,Tuberkulosa plen a ústřední soustavy nervové: jiných míst,4,-,1,-,1,-,-,-,1,-,1,-
15a,Tuberkulosa střev a pobřišnice: střev,14,-,1,-,2,4,-,2,2,2,1,-
15b,Tuberkulosa střev a pobřišnice: jiných míst,42,-,1,3,13,2,7,5,6,5,-,-
16,Tuberkulosa páteře,72,-,1,3,5,3,5,13,22,17,3,-
17,Tuberkulosa kostí a kloubů (vyjma páteře),113,-,1,1,5,2,6,12,20,39,27,-
18,Tuberkulosa kůže a podkožního vaziva,15,-,-,-,-,-,1,3,3,5,3,-
19,Tuberkulosa soustavy mízní,13,-,2,-,3,1,-,2,-,3,2,-
20,Tuberkulosa ústrojí močového a pohlavního,10,-,-,-,2,1,4,2,1,-,-,-
21a,Addisonova nemoc tuberkulosního původu,1,-,-,-,-,1,-,-,-,-,-,-
21b,Addisonova nemoc tuberkulosního původu ostatních orgánů,4,-,-,-,-,1,1,1,-,1,-,-
22,Tuberkulosa miliární,50,4,7,5,20,2,1,3,5,3,-,-
24a,Otrava krve,184,89,1,4,6,10,16,15,18,17,8,-
24b,Sněť plynová,-,-,-,-,-,-,-,-,-,-,-,-
25,Kapavka,-,-,-,-,-,-,-,-,-,-,-,-
26,Jiné nemoci způsobené mikroby (vyjma úplavici),1,-,-,-,-,-,-,-,1,-,-,-
27,Úplavice,13,1,-,1,1,2,1,1,-,3,3,-
28,Střídavka (malarie),-,-,-,-,-,-,-,-,-,-,-,-
29,Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami),-,-,-,-,-,-,-,-,-,-,-,-
30a,Příjice: úbyt míchy (tabes dorsalis),48,-,-,-,1,-,4,13,14,13,3,-
30b,Příjice: postupná obrna povšechná (progresivní paralysa),56,-,-,-,1,5,21,22,3,2,2,-
30c,Příjice: výduť srdečnice (aneurysma aorty),72,-,-,-,1,1,4,9,25,20,12,-
30d,Příjice: příjice vrozená,21,16,3,1,1,-,-,-,-,-,-,-
30,Příjice: jiné druhy příjice,81,-,-,1,3,5,7,29,26,8,2,-
31,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-
32a,Infekční žloutenka,-,-,-,-,-,-,-,-,-,-,-,-
32b,Ostatní nemoci způsobené spirochaetami,1,-,1,-,-,-,-,-,-,-,-,-
33a,Chřipka neboli influenza s onemocněním dýchydel,113,47,8,2,2,2,2,3,5,22,20,-
33b,Chřipka neboli influenza bez údaje takového onemocnění,75,31,2,3,-,1,2,1,7,11,17,-
34,Neštovice,1,-,-,-,-,1,-,-,-,-,-,-
35,Spalničky,34,16,12,5,1,-,-,-,-,-,-,-
36,Prudký zánět šedé hmoty míšní nebo mozkové,29,-,4,8,7,9,1,-,-,-,-,-
37a,Zánět mozku epidemický (lethargický): prudký,-,-,-,-,-,-,-,-,-,-,-,-
37b,Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku,28,-,-,-,1,2,7,5,4,5,4,-
37c,Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení,10,2,1,2,-,-,4,1,-,-,-,-
38a,Jiné nemoci připisované virům: žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-
38b,Jiné nemoci připisované virům: vzteklina,-,-,-,-,-,-,-,-,-,-,-,-
38c,Jiné nemoci připisované virům: plané neštovice (varicella),1,1,-,-,-,-,-,-,-,-,-,-
38d,Jiné nemoci připisované virům: ostatní nemoci připisované virům,-,-,-,-,-,-,-,-,-,-,-,-
39a,Skvrnivka (tyf exanthem.),-,-,-,-,-,-,-,-,-,-,-,-
39b,Jiné rickettsiosy,-,-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasis,1,-,-,-,-,-,-,1,-,-,-,-
41,Boubel měchožilová (echinococcus),-,-,-,-,-,-,-,-,-,-,-,-
42,Jiné nemoci způsobené hlísty,-,-,-,-,-,-,-,-,-,-,-,-
43a,Actinomykosy,2,-,-,-,-,-,2,-,-,-,-,-
43b,Jiné mykosy,1,1,-,-,-,-,-,-,-,-,-,-
44a,nemoci pohlavní vyjma příjici a kapavku,-,-,-,-,-,-,-,-,-,-,-,-
44b,Lymphogranulomatosy,43,-,-,-,6,9,4,7,7,9,1,-
44c,Epidemický zánět příušnic,-,-,-,-,-,-,-,-,-,-,-,-
44d,Ostatní nemoci přenosné,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
II,Rakovina a jiné nádory,6115,8,15,13,49,124,491,1028,1555,1832,1000,-
45a,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů,5,-,-,-,-,-,-,-,-,-,5,-
45b,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka,13,-,-,-,-,-,-,5,4,3,1,-
45c,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst,27,-,-,-,-,1,1,4,9,10,2,-
46a,Rakovina a jiné zhoubné nádory: jícnu,92,-,-,-,-,-,4,10,30,27,21,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,1638,2,-,-,5,9,40,170,414,646,352,-
46c,"Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku",380,-,-,-,-,6,18,52,80,144,80,-
46d,Rakovina a jiné zhoubné nádory: konečníku,225,-,-,-,-,6,19,40,50,71,39,-
46,Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů,621,-,-,-,2,2,19,81,180,223,114,-
46f,"Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní",167,1,1,-,5,4,19,18,45,49,25,-
46g,Rakovina a jiné zhoubné nádory: slinivky břišní,52,-,-,-,-,1,5,9,20,12,5,-
46h,Rakovina a jiné zhoubné nádory: pobřišnice,99,-,-,-,-,5,3,20,35,30,6,-
46i,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích,2,-,-,-,-,-,1,-,-,-,1,-
47a,Rakovina a jiné zhoubné nádory: hrtanu a průdušnice,28,1,-,-,1,1,2,3,7,8,5,-
47b,"Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice",162,-,1,1,4,5,17,26,44,57,7,-
47c,Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených,-,-,-,-,-,-,-,-,-,-,-,-
48a,Rakovina a jiné zhoubné nádory: hrdla děložního,104,-,-,-,-,7,19,28,36,10,4,-
48b,Rakovina a jiné zhoubné nádory: dělohy,981,-,-,-,-,24,140,250,270,201,96,-
49,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských,221,-,-,-,1,3,30,58,58,46,25,-
50,Rakovina a jiné zhoubné nádory: prsů,460,-,-,-,-,10,68,107,116,107,52,-
51a,Rakovina a jiné zhoubné nádory: šourku,x,x,x,x,x,x,x,x,x,x,x,x
51b,Rakovina a jiné zhoubné nádory: předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x
51c,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských,x,x,x,x,x,x,x,x,x,x,x,x
52,Rakovina a jiné zhoubné nádory: ústrojí močového,83,-,1,-,-,2,7,8,23,29,13,-
53,Rakovina a jiné zhoubné nádory: kůže,111,-,-,-,-,-,1,9,12,25,64,-
54,Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového,25,-,-,1,2,1,6,7,1,6,1,-
55a,Rakovina a jiné zhoubné nádory: nadledvinek,14,-,-,-,-,-,2,5,4,3,-,-
55b,Rakovina a jiné zhoubné nádory: kostí,82,1,1,1,8,6,10,17,12,16,10,-
55c,Rakovina a jiné zhoubné nádory: žlázy štítné,47,-,-,-,-,1,3,9,19,11,4,-
55d,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů,156,-,2,1,5,9,12,19,35,39,34,-
55,"Carcinomatosy, sarkomatosy",20,-,-,-,-,-,1,5,6,6,2,-
55f,Metastasy bez udání prvotního místa,4,-,-,-,-,-,-,2,1,-,1,-
56a,Nádory nezhoubné: vaječníku,35,-,-,-,2,5,7,11,2,5,3,-
56b,Nádory nezhoubné: dělohy,31,-,-,-,-,2,10,12,2,3,2,-
56c,Nádory nezhoubné: jiných pohlavních ústrojů ženských,3,-,-,-,-,-,-,1,-,1,1,-
56d,Nádory nezhoubné: mozku a jiných částí ústrojí nervového,8,-,-,-,2,3,1,2,-,-,-,-
56,Nádory nezhoubné: jiných a blíže neoznačených ústrojů,6,-,1,-,1,-,-,1,1,1,1,-
57a,"Nádory, jejichž zhoubný ráz není rozlišen: vaječníku",5,-,-,1,2,1,-,-,1,-,-,-
57b,"Nádory, jejichž zhoubný ráz není rozlišen: dělohy",36,-,1,-,-,-,4,4,6,11,10,-
57c,"Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských",1,-,-,-,1,-,-,-,-,-,-,-
57d,"Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového",101,1,6,5,8,10,20,23,14,9,5,-
57,"Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů",70,2,1,3,-,-,2,12,18,23,9,-
,,,,,,,,,,,,,
III,"Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos",838,34,16,53,40,19,45,91,187,236,117,-
58a,Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce,67,-,6,43,7,2,3,3,2,1,-,-
