1935,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,69400,7314,1728,2069,2307,3591,3769,5334,9205,34082,1
,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,9259,533,702,1197,1164,1557,1058,828,979,1241,-
1,Tyf břišní,128,-,2,12,24,25,24,17,16,8,-
2,Paratyfy,5,-,-,1,1,-,-,1,1,1,-
3,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-,-
5,"Horečka vlnitá, maltská",-,-,-,-,-,-,-,-,-,-,-
6,Neštovice pravé,-,-,-,-,-,-,-,-,-,-,-
7,Spalničky,78,26,36,16,-,-,-,-,-,-,-
8,Spála,193,3,84,87,7,6,4,1,1,-,-
9,Kašel zádušný,197,131,61,5,-,-,-,-,-,-,-
10,Záškrt,1010,18,278,665,31,4,5,5,2,2,-
11a,Chřipka neboli influenza s komplikacemi dýchadel,412,53,16,18,16,19,29,36,45,180,-
11b,Chřipka neboli influenza bez údaje takových komplikací,292,32,12,11,12,10,15,14,30,156,-
13a,Úplavice střevní amoebová,1,-,-,-,1,-,-,-,-,-,-
13b,Úplavice střevní bacilární,-,-,-,-,-,-,-,-,-,-,-
13c,Úplavice střevní nerozlišená nebo z jiné příčiny,7,1,-,1,-,-,-,1,1,3,-
15,Růže,250,66,6,7,6,17,22,27,33,66,-
16,Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové,11,-,5,4,-,-,1,1,-,-,-
17,Zánět mozku lethargický neboli epidemický,51,-,-,8,4,15,13,7,-,4,-
18,Epidemický zánět plen mozkových a míšních,28,7,6,7,1,2,2,2,1,-,-
19,Ozhřivka ,-,-,-,-,-,-,-,-,-,-,-
20,Uhlák,1,-,-,-,-,-,-,-,-,1,-
21,Vzteklina,-,-,-,-,-,-,-,-,-,-,-
22,Ztrnutí,62,15,3,9,1,5,6,4,12,7,-
23(4),Tuberkulosa ústrojí dýchacího,5337,39,59,173,966,1354,832,607,703,604,-
24,Tuberkulosa plen a ústřední soustavy čivové,312,29,101,117,30,12,12,5,2,4,-
25,Tuberkulosa střev a pobřišnice,103,4,3,6,15,15,13,15,15,17,-
26,Tuberkulosa páteře,85,1,3,4,8,8,6,7,20,28,-
27,Tuberkulosa kostí a kloubů,186,1,1,7,4,12,14,13,40,94,-
28,Tuberkulosa kůže a podkožního tuku,25,-,-,1,-,2,2,3,2,15,-
29,Tuberkulosa soustavy mízní,13,1,1,1,1,1,1,3,1,3,-
30,Tuberkulosa ústrojí pohlavního a močového,21,-,-,2,3,2,4,3,2,5,-
31,Tuberkulosa jiných míst,4,-,-,-,-,1,-,2,-,1,-
32,Tuberkulosa roztroušená,63,11,9,10,10,9,2,2,3,7,-
33,Malomocenství,-,-,-,-,-,-,-,-,-,-,-
34a,Příjice vrozená,46,41,3,-,1,1,-,-,-,-,-
34b,Příjice získaná,19,-,-,-,1,3,5,4,4,2,-
34c,Příjice nerozlišená,113,-,-,-,6,14,26,35,22,10,-
35,Kapavka a jiné nemoci pohlavní,2,-,-,-,-,1,1,-,-,-,-
,,,,,,,,,,,,
36a,Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve,186,50,11,23,13,18,16,11,22,22,-
36b,Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve,6,3,-,1,-,-,1,1,-,-,-
36c,Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová,1,-,-,-,1,-,-,-,-,-,-
38a,Zimnice malarická,-,-,-,-,-,-,-,-,-,-,-
38b,Kachexie malarická,-,-,-,-,-,-,-,-,-,-,-
39,"Jiné nemoci, zaviněné cizopasnými prvoky",1,-,-,-,-,-,1,-,-,-,-
40,Ankylostomiasa,-,-,-,-,-,-,-,-,-,-,-
41a,Boubel měchožilová jater,1,-,-,-,-,-,-,1,-,-,-
41b,Boubel měchožilová jiných míst,2,-,-,-,1,-,-,-,1,-,-
42,Jiné nemoci zaviněné červy,-,-,-,-,-,-,-,-,-,-,-
43,Mykosy,3,-,-,-,-,1,1,-,-,1,-
44,Jiné nemoci nakažlivé nebo cizopasníky působené,4,1,2,1,-,-,-,-,-,-,-
,,,,,,,,,,,,
II,Rakoviny a jiné nádory,8456,7,10,32,45,213,635,1471,2188,3855,-
45,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu,73,-,-,1,-,1,5,17,11,38,-
,,,,,,,,,,,,
46a,Rakovina a jiné zhoubné nádory: požeráku,136,-,-,-,-,-,3,13,39,81,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,2894,-,-,-,2,28,105,342,771,1646,-
46c,Rakovina a jiné zhoubné nádory: konečníku,310,-,-,-,2,11,21,56,85,135,-
46d,Rakovina a jiné zhoubné nádory: jater a žlučovodů,804,-,1,1,1,9,19,119,224,430,-
46,Rakovina a jiné zhoubné nádory: slinivky břišní,66,-,-,-,2,1,6,11,30,16,-
46f,Rakovina a jiné zhoubné nádory: pobřišnice,107,-,-,-,1,3,7,25,30,41,-
46g,Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice,530,-,-,-,2,6,24,71,119,308,-
47,Rakovina a jiné zhoubné nádory: ústrojí dýchacího,162,-,1,-,4,8,13,29,59,48,-
48,Rakovina a jiné zhoubné nádory: dělohy,1355,-,-,-,1,56,196,385,369,348,-
49,Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských,273,-,-,1,3,12,40,72,81,64,-
50,Rakovina a jiné zhoubné nádory: prsů,626,-,-,-,1,22,82,148,164,209,-
51,Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských,x,x,x,x,x,x,x,x,x,x,x
52,Rakovina a jiné zhoubné nádory: kůže,180,-,-,-,-,1,4,12,13,150,-
53,Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených,517,1,3,14,15,19,42,83,117,223,-
,,,,,,,,,,,,
54a,Nádory nezhoubné: pohlavních ústrojů ženských,82,-,-,-,-,6,24,34,9,9,-
54b,Nádory nezhoubné: jiných ústrojů,9,-,-,-,-,1,1,-,3,4,-
,,,,,,,,,,,,
55a,"Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských",41,-,-,-,1,4,3,9,8,16,-
55b,"Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů",291,6,5,15,10,25,40,45,56,89,-
,,,,,,,,,,,,
III,"Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové",1334,87,24,42,32,55,80,143,294,577,-
56,"Rheumatismus kloubní prudký, horečnatý",60,-,2,23,12,8,5,5,3,2,-
57,"Rheumatismus vleklý, osteoarthritis",193,-,-,-,-,4,10,11,18,150,-
58,Dna,13,-,-,-,-,-,-,-,4,9,-
59,Úplavice cukrová,757,-,3,11,13,19,28,75,226,382,-
,Kurděje,-,-,-,-,-,-,-,-,-,-,-
60a,Dětské kurděje,3,1,1,1,-,-,-,-,-,-,-
60b,Kurděje,-,-,-,-,-,-,-,-,-,-,-
62,Pellagra,3,-,-,-,-,1,1,1,-,-,-
63,Křivice,59,35,15,1,1,-,1,3,2,1,-
64,Měknutí kostí,10,-,-,-,1,1,-,-,6,2,-
65,Nemoci podvěsku mozkového,2,-,-,-,-,1,-,1,-,-,-
,,,,,,,,,,,,
66a,Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté,28,-,-,-,-,1,3,3,10,11,-
66b,Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické,102,-,-,2,3,12,26,29,16,14,-
66c,Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus,18,-,1,1,2,2,2,4,4,2,-
66d,Nemoci žlázy štítné a přídavných žlázek štítných: tetanie,37,36,-,1,-,-,-,-,-,-,-
66,Nemoci žlázy štítné a přídavných žlázek štítných: jiné,2,-,-,-,-,-,-,-,1,1,-
67,Nemoci brzlíku,19,15,2,2,-,-,-,-,-,-,-
68,"Nemoci nadledvinek (nemoc Addisonova), neoznačené za tuberkulosní ",21,-,-,-,-,5,3,9,2,2,-
69,"Jiné nemoci rheumatické, výživové, endokrinních žláz",7,-,-,-,-,1,1,2,2,1,-
,,,,,,,,,,,,
IV ,Nemoci krve a ústrojů krvetvorných,390,16,15,28,24,40,46,67,84,70,-
,,,,,,,,,,,,
70a,Stavy krvácivé: purpury prvotní,28,2,2,4,3,1,5,3,4,4,-
70b,Stavy krvácivé: vrozená krvácivost,6,1,1,1,-,-,-,-,2,1,-
71a,Postupná zhoubná chudokrevnost,146,5,4,8,5,10,11,32,30,41,-
71b,Jiné chudokrevnosti,19,3,3,-,-,4,4,1,2,2,-
72a,Bělokrevnost pravá,128,3,4,12,10,15,17,17,35,15,-
72b,Bělokrevnost nepravá,53,2,1,1,4,10,8,12,9,6,-
73,Nemoci sleziny,5,-,-,-,1,-,1,1,1,1,-
74,Jiné nemoci krve a ústrojů krvetvorných,5,-,-,2,1,-,-,1,1,-,-
,,,,,,,,,,,,
V,Otravy vleklé a prudké,12,-,-,-,-,1,1,2,4,4,-
75,Alkoholismus vleklý nebo prudký,12,-,-,-,-,1,1,2,4,4,-
,,,,,,,,,,,,
76a,Vleklé otravy látkami anorganickými: živnostenské,-,-,-,-,-,-,-,-,-,-,-
76b,Vleklé otravy látkami anorganickými: jiné,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
77a,Vleklé otravy látkami organickými: živnostenské,-,-,-,-,-,-,-,-,-,-,-
77b,Vleklé otravy látkami organickými: jiné,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
DU,,97,0,0,0,4,15,22,20,19,17,0
,,,,,,,,,,,,
VI,Nemoci soustavy nervové a čidel,6516,700,116,110,80,160,275,514,990,3571,-
,,,,,,,,,,,,
78a,Zánět mozku: hlíza mozková,11,1,-,3,-,3,1,-,-,3,-
78b,Zánět mozku: jiné záněty mozku,75,5,11,8,7,10,4,8,13,9,-
79,Prostý zánět plen mozkových,252,54,55,56,19,11,22,22,6,7,-
80,Úbyt míchy,121,-,-,-,-,7,11,37,32,34,-
81,Jiné nemoci míchy,146,-,2,2,5,10,18,33,33,43,-
82a,Krvácení mozkové ,4095,-,-,1,3,16,66,274,729,3006,-
82b,Vmetek nebo záhať mozková,206,-,-,-,3,3,7,14,38,141,-
82c,Jednostranná obrna těla a příčiny nerozlišené,293,2,-,3,4,7,12,19,48,198,-
83,Postupná obrna povšechná,166,-,-,-,3,15,51,42,28,27,-
84a,Předčasná zblbělost,12,-,-,-,1,5,4,1,1,-,-
84b,Jiné psychosy,73,-,-,-,3,9,17,17,14,13,-
85,Padoucnice,111,-,3,11,12,29,20,14,11,11,-
86,Křeče u dětí mladších 6 let,639,605,34,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
87b,Jiné nemoci soustavy nervové: neuritis,18,-,-,-,-,1,-,2,4,11,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,40,-,2,3,2,6,1,-,5,21,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,106,1,1,3,7,14,24,16,13,27,-
"87a,e",Jiné nemoci soustavy nervové: chorea a jiné nemoci nervové,42,2,1,4,1,4,8,7,6,9,-
88,Nemoci oční,-,-,-,-,-,-,-,-,-,-,-
89a,Zánět ušní,109,30,7,16,10,10,9,8,8,11,-
89b,Jiné nemoci ucha a dutiny výčnělku soscovitého,1,-,-,-,-,-,-,-,1,-,-
,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,15153,24,38,126,157,327,564,1097,2595,10225,-
90,Zánět osrdečníku,34,-,4,3,2,2,3,3,10,7,-
91,Prudký zánět nitroblány srdeční,93,2,4,28,17,14,19,4,4,1,-
92,"Vleklý zánět nitroblány srdeční, počítaje v to choroby chlopenní",1543,2,1,35,37,96,145,253,332,642,-
93a,Prudký zánět svalu srdečního,100,2,3,9,3,12,29,7,10,25,-
93b,Vleklý zánět svalu srdečního a zvrhlost svalu srdečního,5738,-,8,10,19,44,87,271,812,4487,-
93c,Nerozlišené nemoci svalu srdečního,992,-,-,-,-,-,-,54,201,737,-
94,Nemoci tepen věnčitých,377,-,-,-,-,2,15,33,92,235,-
95a,Funkcionální nemoci srdce,23,1,-,-,3,-,2,2,4,11,-
95b,Jiné a nerozlišené nemoci srdeční,3903,10,16,39,72,142,234,397,881,2112,-
96,"Výduť, vyjma výduť srdeční",76,-,-,-,-,-,4,12,16,44,-
97,"Zkornatění tepen, vyjma nemocí tepen věnčitých",1920,-,-,-,-,1,1,26,169,1723,-
98a,Sněť stařecká,105,-,-,-,-,-,-,-,4,101,-
98b,Jiné sněti,16,2,-,1,-,1,-,5,6,1,-
