1936,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH MUŽŮ,70112,9210,1991,2129,2502,3604,4507,6499,10779,28890,1
,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,10081,591,721,995,916,1454,1495,1506,1373,1030,-
1,Tyf břišní,136,1,-,20,27,49,15,10,10,4,-
2,Paratyfy,8,-,-,3,1,-,-,-,3,1,-
3,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-,-
5,"Horečka vlnitá, maltská",-,-,-,-,-,-,-,-,-,-,-
6,Neštovice pravé,-,-,-,-,-,-,-,-,-,-,-
7,Spalničky,168,61,78,26,1,1,-,-,-,1,-
8,Spála,188,8,83,86,6,1,1,2,-,1,-
9,Kašel zádušný,127,103,23,-,-,-,-,-,-,1,-
10,Záškrt,929,21,321,556,23,3,3,-,2,-,-
11a,Chřipka neboli influenza s komplikacemi dýchadel,203,57,10,4,11,10,11,16,22,62,-
11b,Chřipka neboli influenza bez údaje takových komplikací,124,30,7,6,6,3,6,11,10,45,-
13a,Úplavice střevní amoebová,-,-,-,-,-,-,-,-,-,-,-
13b,Úplavice střevní bacilární,-,-,-,-,-,-,-,-,-,-,-
13c,Úplavice střevní nerozlišená nebo z jiné příčiny,8,-,-,-,-,2,1,1,3,1,-
15,Růže,206,59,6,1,2,5,22,27,26,58,-
16,Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové,17,1,1,8,4,1,1,-,1,-,-
17,Zánět mozku lethargický neboli epidemický,52,-,1,4,3,7,12,11,11,3,-
18,Epidemický zánět plen mozkových a míšních,32,8,6,2,8,2,3,2,-,1,-
19,Ozhřivka ,-,-,-,-,-,-,-,-,-,-,-
20,Uhlák,1,-,-,-,-,-,1,-,-,-,-
21,Vzteklina,-,-,-,-,-,-,-,-,-,-,-
22,Ztrnutí,93,20,-,22,7,6,14,12,5,7,-
23(4),Tuberkulosa ústrojí dýchacího,6443,43,58,90,716,1246,1251,1244,1117,678,-
24,Tuberkulosa plen a ústřední soustavy čivové,303,34,91,105,25,16,13,11,4,4,-
25,Tuberkulosa střev a pobřišnice,93,2,3,10,8,18,15,20,9,8,-
26,Tuberkulosa páteře,99,-,4,8,13,13,14,12,16,19,-
27,Tuberkulosa kostí a kloubů,151,6,-,13,15,13,10,15,28,51,-
28,Tuberkulosa kůže a podkožního tuku,6,-,-,1,-,-,-,1,1,3,-
