1940,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,46453,4765,870,888,1227,2058,2449,3632,6268,24294,2
,,,,,,,,,,,,
I,Nemoci nakažlivé a cizopasné,5475,296,302,452,745,943,708,546,621,862,-
1,Tyf břišní,124,2,4,18,28,23,21,15,7,6,-
2,Paratyfy,3,-,-,-,-,1,-,-,-,2,-
3,Tyf skvrnitý,-,-,-,-,-,-,-,-,-,-,-
5,"Horečka vlnitá, maltská",-,-,-,-,-,-,-,-,-,-,-
6,Neštovice pravé,-,-,-,-,-,-,-,-,-,-,-
7,Spalničky,15,3,8,3,1,-,-,-,-,-,-
8,Spála,69,1,27,35,3,2,1,-,-,-,-
9,Kašel zádušný,60,45,14,1,-,-,-,-,-,-,-
10,Záškrt,363,20,118,197,19,5,2,1,1,-,-
11a,Chřipka neboli influenza s komplikacemi dýchadel,127,36,3,-,3,5,5,8,10,57,-
11b,Chřipka neboli influenza bez údaje takových komplikací,96,13,3,2,4,2,3,6,11,52,-
13a,Úplavice střevní amoebová,-,-,-,-,-,-,-,-,-,-,-
13b,Úplavice střevní bacilární,-,-,-,-,-,-,-,-,-,-,-
13c,Úplavice střevní nerozlišená nebo z jiné příčiny,4,-,-,-,-,1,1,1,-,1,-
15,Růže,80,25,1,1,3,3,6,12,10,19,-
16,Prudký zánět šedé hmoty míšní a prudký zánět šedé hmoty mozkové,21,-,6,7,2,3,1,-,-,2,-
17,Zánět mozku lethargický neboli epidemický,38,-,1,-,2,8,10,6,9,2,-
18,Epidemický zánět plen mozkových a míšních,61,11,14,14,6,4,3,6,2,1,-
19,Ozhřivka ,-,-,-,-,-,-,-,-,-,-,-
20,Uhlák,-,-,-,-,-,-,-,-,-,-,-
21,Vzteklina,-,-,-,-,-,-,-,-,-,-,-
22,Ztrnutí,52,11,1,5,2,4,7,8,8,6,-
23(4),Tuberkulosa ústrojí dýchacího,3546,13,23,83,603,816,581,416,453,558,-
24,Tuberkulosa plen a ústřední soustavy čivové,187,27,60,49,31,6,6,3,4,1,-
25,Tuberkulosa střev a pobřišnice,72,2,2,5,8,19,11,8,12,5,-
26,Tuberkulosa páteře,67,-,1,2,5,6,4,5,12,32,-
27,Tuberkulosa kostí a kloubů,133,-,-,3,5,12,4,9,32,68,-
28,Tuberkulosa kůže a podkožního tuku,23,-,-,-,2,-,-,3,7,11,-
29,Tuberkulosa soustavy mízní,4,-,-,-,1,2,-,-,1,-,-
30,Tuberkulosa ústrojí pohlavního a močového,15,-,-,-,2,4,4,1,2,2,-
31,Tuberkulosa jiných míst,7,-,-,-,-,-,1,2,2,2,-
32,Tuberkulosa roztroušená,48,4,9,14,9,3,1,3,3,2,-
33,Malomocenství,-,-,-,-,-,-,-,-,-,-,-
34a,Příjice vrozená,33,27,1,4,1,-,-,-,-,-,-
34b,Příjice získaná,39,-,-,-,-,3,10,10,10,6,-
34c,Příjice nerozlišená,66,-,-,1,-,5,18,12,16,14,-
35,Kapavka a jiné nemoci pohlavní,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
36a,Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve,104,51,4,7,4,5,6,10,8,9,-
36b,Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve,7,3,-,-,1,1,1,-,-,1,-
36c,Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová,-,-,-,-,-,-,-,-,-,-,-
38a,Zimnice malarická,-,-,-,-,-,-,-,-,-,-,-
38b,Kachexie malarická,-,-,-,-,-,-,-,-,-,-,-
39,"Jiné nemoci, zaviněné cizopasnými prvoky",-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasa,-,-,-,-,-,-,-,-,-,-,-
41a,Boubel měchožilová jater,-,-,-,-,-,-,-,-,-,-,-
41b,Boubel měchožilová jiných míst,-,-,-,-,-,-,-,-,-,-,-
42,Jiné nemoci zaviněné červy,-,-,-,-,-,-,-,-,-,-,-
43,Mykosy,5,-,-,1,-,-,1,1,1,1,-
44,Jiné nemoci nakažlivé nebo cizopasníky působené,6,2,2,-,-,-,-,-,-,2,-
,,,,,,,,,,,,
II,Rakoviny a jiné nádory,5710,5,12,21,22,121,429,963,1508,2629,-
45,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu,50,-,-,-,1,2,6,6,14,21,-
,,,,,,,,,,,,
46a,Rakovina a jiné zhoubné nádory: požeráku,77,-,-,-,-,1,2,9,12,53,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,1733,-,-,-,-,10,64,172,409,1078,-
46c,Rakovina a jiné zhoubné nádory: konečníku,198,-,-,-,1,6,7,38,54,92,-
46d,Rakovina a jiné zhoubné nádory: jater a žlučovodů,568,-,-,-,-,2,19,57,163,327,-
46,Rakovina a jiné zhoubné nádory: slinivky břišní,47,-,-,-,-,-,-,9,22,16,-
46f,Rakovina a jiné zhoubné nádory: pobřišnice,64,-,1,-,-,1,6,9,17,30,-
46g,Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice,304,-,1,-,2,4,12,46,81,158,-
47,Rakovina a jiné zhoubné nádory: ústrojí dýchacího,134,-,-,-,-,3,14,21,48,48,-
48,Rakovina a jiné zhoubné nádory: dělohy,978,-,1,-,-,28,127,274,290,258,-
49,Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských,216,-,-,1,3,11,28,51,61,61,-
50,Rakovina a jiné zhoubné nádory: prsů,500,-,-,-,-,13,47,143,143,154,-
51,Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských,x,x,x,x,x,x,x,x,x,x,x
52,Rakovina a jiné zhoubné nádory: kůže,107,-,-,-,1,-,1,4,15,86,-
53,Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených,393,2,4,7,5,14,34,64,106,157,-
,,,,,,,,,,,,
54a,Nádory nezhoubné: pohlavních ústrojů ženských,40,-,-,-,-,2,17,15,5,1,-
54b,Nádory nezhoubné: jiných ústrojů,6,-,-,-,-,-,-,1,-,5,-
,,,,,,,,,,,,
55a,"Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských",22,-,-,-,1,3,7,1,5,5,-
55b,"Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů",273,3,5,13,8,21,38,43,63,79,-
,,,,,,,,,,,,
III,"Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové",1097,64,22,27,21,24,63,101,240,535,-
56,"Rheumatismus kloubní prudký, horečnatý",33,-,2,18,6,2,1,1,2,1,-
57,"Rheumatismus vleklý, osteoarthritis",174,-,-,-,-,1,9,10,25,129,-
58,Dna,5,-,-,-,-,-,-,-,1,4,-
59,Úplavice cukrová,647,-,-,5,10,8,16,55,181,372,-
,Kurděje,,,,,,,,,,,
60a,Dětské kurděje,-,-,-,-,-,-,-,-,-,-,-
60b,Kurděje,-,-,-,-,-,-,-,-,-,-,-
62,Pellagra,-,-,-,-,-,-,-,-,-,-,-
63,Křivice,54,29,15,3,-,1,2,3,-,1,-
64,Měknutí kostí,1,-,-,-,-,-,-,-,1,-,-
65,Nemoci podvěsku mozkového,2,-,-,-,-,-,1,1,-,-,-
,,,,,,,,,,,,
66a,Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté,12,-,-,-,-,1,1,2,1,7,-
66b,Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické,95,-,-,-,3,6,20,25,21,20,-
66c,Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus,8,-,1,1,-,2,2,-,2,-,-
66d,Nemoci žlázy štítné a přídavných žlázek štítných: tetanie,20,19,1,-,-,-,-,-,-,-,-
66,Nemoci žlázy štítné a přídavných žlázek štítných: jiné,3,-,1,-,-,-,1,1,-,-,-
67,Nemoci brzlíku,17,15,2,-,-,-,-,-,-,-,-
68,"Nemoci nadledvinek (nemoc Addisonova), neoznačené za tuberkulosní ",18,-,-,-,1,2,9,3,3,-,-
69,"Jiné nemoci rheumatické, výživové, endokrinních žláz",8,1,-,-,1,1,1,-,3,1,-
,,,,,,,,,,,,
IV ,Nemoci krve a ústrojů krvetvorných,282,9,5,13,11,33,27,50,70,64,-
,,,,,,,,,,,,
70a,Stavy krvácivé: purpury prvotní,9,-,1,1,3,1,1,-,2,-,-
70b,Stavy krvácivé: vrozená krvácivost,5,1,-,1,-,-,-,3,-,-,-
71a,Postupná zhoubná chudokrevnost,90,-,-,-,-,3,6,15,26,40,-
71b,Jiné chudokrevnosti,24,4,-,1,2,1,6,1,4,5,-
72a,Bělokrevnost pravá,94,2,4,6,2,11,7,24,25,13,-
72b,Bělokrevnost nepravá,48,1,-,4,4,16,7,3,9,4,-
73,Nemoci sleziny,8,1,-,-,-,1,-,4,2,-,-
74,Jiné nemoci krve a ústrojů krvetvorných,4,-,-,-,-,-,-,-,2,2,-
,,,,,,,,,,,,
V,Otravy vleklé a prudké,10,-,-,-,-,-,-,3,3,4,-
75,Alkoholismus vleklý nebo prudký,9,-,-,-,-,-,-,3,3,3,-
,,,,,,,,,,,,
76a,Vleklé otravy látkami anorganickými: živnostenské,-,-,-,-,-,-,-,-,-,-,-
76b,Vleklé otravy látkami anorganickými: jiné,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
77a,Vleklé otravy látkami organickými: živnostenské,-,-,-,-,-,-,-,-,-,-,-
77b,Vleklé otravy látkami organickými: jiné,1,-,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,,
DU,,83,0,0,1,2,4,13,18,16,29,0
,,,,,,,,,,,,
VI,Nemoci soustavy nervové a čidel,4363,337,82,60,44,88,189,383,709,2470,1
,,,,,,,,,,,,
78a,Zánět mozku: hlíza mozková,10,-,-,1,3,1,1,2,2,-,-
78b,Zánět mozku: jiné záněty mozku,36,1,4,6,4,2,5,5,6,3,-
79,Prostý zánět plen mozkových,169,24,42,32,6,15,14,17,6,13,-
80,Úbyt míchy,68,-,-,-,-,6,12,13,15,22,-
81,Jiné nemoci míchy,104,1,1,3,5,5,18,20,17,34,-
82a,Krvácení mozkové ,2753,-,1,1,1,11,41,201,526,1971,-
82b,Vmetek nebo záhať mozková,218,-,2,1,4,7,8,11,33,152,-
