1978,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1966),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
,,,,,,,,,,,,,,,,,,,,,,,,,
,CELKEM ZEMŘELÝCH ŽEN,61 813,1 230,61,48,34,38,103,85,135,183,213,254,353,473,946,1 751,2 480,2 981,7 078,10 238,12 571,11 406,9 152,
,,,,,,,,,,,,,,,,,,,,,,,,,
I,Nemoci infekční a parazitární,406,17,1,1,-,1,-,2,1,2,4,2,2,4,5,8,22,17,48,61,97,67,44,
0,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
1,Břišní tyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
2,Paratyfus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
3,Jiné infekce způsobené salmonelami,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,
4,Bacilární úplavice,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,
5,Alimentární intoxikace,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,
6,Úplavice amébová,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Jiná střevní onemocnění protozoární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8,Střevní zánět způsobený jiným určeným mikroorganismem,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,
9,Průjmová onemocnění,17,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,1,2,5,-,
10,Koniotuberkulóza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
11,Tuberkulóza plic,132,-,-,-,-,-,-,-,-,-,1,1,-,1,1,3,3,5,22,15,40,25,15,
12,Jiná tuberkulóza dýchacího ústrojí,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,1,
13,Tuberkulóza mozkomíšních plen a centrální nervové soustavy,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,
14,"Tuberkulóza střev, pobřišnice a uzlin okruží",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,
15,Tuberkulóza kostí a kloubů,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,
16,Tuberkulóza ústrojí močového a pohlavního,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,
17,Tuberkulóza jiných orgánů,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,1,
18,Diseminovaná tuberkulóza několika orgánových soustav,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,2,1,1,1,
19,Pozdní následky tuberkulózy,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,1,2,-,1,
20,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21,Tularemie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23,Vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24,Vozhřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25,Melioidosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26,Horečka z krysího kousnutí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27,Ostatní zoonotické bakteriální nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
31,Jiné nemoci působené mykobaktériemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
32,Záškrt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33,Dávivý kašel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
34,Streptokoková angína a spála,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
35,Růže,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,
36,Meningokové infekce,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
37,Tetanus,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,
38,Septikémie,130,2,-,-,-,-,-,-,-,-,-,-,-,1,1,2,6,3,15,28,30,25,17,
39,Jiné bakteriální nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
40,Akutní paralytická poliomyelitis určená jako bulbární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
41,Akutní poliomyelitis s jinými obrnami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
42,Akutní neparalytická poliomyelitis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
43,Akutní poliomyelitis blíže neurčená,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
44,Pozdní následky akutní poliomyelitidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
45,Aseptická meningitis způsobená enterovirem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
46,Jiné enterovirové nemoci centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
50,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
51,Kravské neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
52,Plané neštovice,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
53,Pásový opar,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,
54,Prostý opar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
55,Spalničky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
56,Zarděnky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
57,Jiné virové nemoci s vyrážkou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
60,Žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
61,Dengue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
62,Virový zánět mozku - přenášený komáry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
63,Virový zánět mozku - přenášený klíšťaty,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,
64,Virový zánět mozku - přenášený jinými členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
65,Virový zánět mozku bez bližšího označení,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,
66,Pozdní následky virového zánětu mozku,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
67,Hemoragická horečka přenášená členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
68,Jiné virové nemoci přenášené členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
70,Infekční zánět jater,43,4,-,-,-,-,-,-,1,2,2,1,1,2,2,1,4,2,1,5,9,4,2,
71,Vzteklina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
72,Epidemický zánět příušnic,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,
73,Psittacosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
74,Specifická onemocnění způsobená virem Coxsackie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
75,Infekční mononukleóza,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
